location,unified_form,url,location
to Cloisters,,,
to Cloysters,,,
to Cross-Well,,,
to Horse-Guard,,,
to Niddrey's-Wynd,,,
to Niddry's-Wynd,,,
to Rose Tavern,,,
to Somerset-House,,,
Tom's Coffee-House,,,
Tower-Hill,Tower Hill,https://mapoflondon.uvic.ca/TOWE1.htm,
town and country,,,
Town and Country,,,
Town and Country.,,,
Trongate,,,
Tully's Head,,,
Tully's-Head,,,
Tunbridge-Wells,,,
Turk's Head,,,
Turk's-Head,,,
Turl,,,
Turle,,,
Turn-again-Lane,,,
Turn-Again-Lane,,,
Turnpike,,,
Two Bibles,,,
Two Temple Gates,,,
two Temple-Gates,,,
Tycho Brahe's Head,,,
Tyne Bridge End,,,
Unicorn,,,
Universal Register-Office,,,
University,,,
University-Press,,,
Univorne,,,
Upper Eaton-Street,,,
Upper-Moorfields,,,
Vine,,,
Vine-Court,,,
Wakefield,,,
Walsall,,,
Wapping,,,
Wardour street,,,
Wardour-Street,,,
Warwick Lane,Warwick Lane,,
Warwick lane,Warwick Lane,,
Warwick-Lane,Warwick Lane,,
Warwick-lane,Warwick Lane,,
watch-house,,,
Water-Side,,,
Water-side,,,
Water-Side.,,,
Welsh-Pool,,,
West,,,
West - Smithfield,,,
West End,,,
West Smithfield,,,
West-smithfield,,,
West-Smithfield,,,
West-Street,,,
Westminster,,,
Westminster Hall,,,
Westminster-Bridge,,,
Westminster-Hall,,,
Westminster-hall,,,
Wheatsheaf,,,
Wheel alley,,,
Whitchurch,,,
White chapel,,,
White Fryers,,,
White Hart,,,
White Swan,,,
White-Chapel,Whitechapel,,
White-Friers,,,
White-Fryars,,,
White-Fryers,,,
White-hall,,,
White-Hart,,,
White-hart-court,,,
White-Hart-Yard,,,
White-Swan,,,
White's Chocolate House,,,
White's Chocolate-House,,,
Whiteball,,,
Whitechapel,Whitechapel,,
Whitehall,Whitehall,https://mapoflondon.uvic.ca/WHIT5.htm,
Wild-Court,,,
Will's Coffee-House,,,
Winchester,,,
Winckworth's Buildings,,,
Windmill,,,
Wine office-court,,,
Wine-Office-Court,,,
Wine-Street,,,
Winkworth's-Buildings,,,
Wisbech,,,
Witch-Street,,,
Worcester,,,
Worcestershire,,,
World,,,
Worship-Street,,,
Wrexham,,,
Wych-Street,,,
Yarmouth,,,
York,,,
York - Buildings,,,
York Buildings,,,
York Street,,,
York-house,,,
York-Streeet,,,
York-Street,,,
York-street,,,
York.,,,
