author.unique	publication.title	n
NA	The honest informer or Tom-tell-troth's observations	1
NA	The Hollanders embassage to England	1
NA	The Heads of severall proceedings in this present Parliament	1
NA	The great expedition for Ireland	1
NA	The general resolution of the two kingdoms of England and Scotland, concerning, His Royall Majesty, the prince, and the evill incendiaries which are now about them	1
NA	The Friers last fare-well, or, Saint Francis must pack for France	1
NA	The exercise of the English, in the militia of the kingdome of England	1
NA	The examination of Sir Ralph Hopton, Sir Iohn Winter, Sir John Stowell	1
NA	The examination of George Leddoze of Dorchester merchant, taken before Master Henry Maber mayor, and Mr Richard Burce, His Majesties iustices of the peace, the 27 of August. 1642	1
NA	The examination of Colonell Lunsford, Colonell Vavasor, Captaine Noes, Lieutenant Colonell Ballard, Sergeant Major Wallis, Cornet Strangewaites, Lieutenant VVh[i]te, Sergeant Iones, and Mr. Bland, Delinquents	1
NA	The envy of the popish prelates	1
NA	The English fortune-teller. Or A new almanacke and prognostication, for the yeer of our lordlesse god-lesse meridian, one thousand six hundred forty to two but we suffer an ecclipse	1
NA	The effect of all letters read in the House of Parliament from the 14. to the 23. of November from all places of the Kingdome. Viz. Surrey. Shropshire Berkshire Yorke Sussex. Holland Cornwall. Middlesex Leicester Ireland Sea Worcester Wales	1
NA	The Earle of Warwickes glorious victory over fifty ships of the King of Denmarkes in the narrow seas	1
NA	The Earle of Stamfords resolution	1
NA	The Earle of Portlands charge, delivered to the Lords House by M. Pym	1
NA	The Earle of Essex his desires to the Parliament	1
NA	The Divrnal occvrrences, or Proceedings in the Parliament the last weeke	1
NA	The Divrnal occvrrences, or, Proceedings in Parliament	1
NA	The divrnal occvrrances	1
NA	The Divisions of the Church of England crept in at XV. several doores by divers	1
NA	The distractions of our times	1
NA	The demands of the rebels in Ireland	1
NA	The declaration, votes, and order of assistance of both Houses of Parliament, concerning the magazine at Hull, and Sir Iohn Hotham governour thereof	1
NA	The declaration or resolution of the officers in the countie of Essex	1
NA	The declaration or remonstrance of the Lords and Commons, in Parliament assembled	1
NA	The declaration of the Lords and Commons now assembled in Parliament, for the suppressing of divers papists, and other malignant persons	1
NA	The declaration of the Lords and Commons in Parliament assembled, in answer to his Majesties letter to the Lord Major and the Court of Aldermen of the citie of London	1
NA	The declaration of the Lords and Commons, in Parliament assembled, concerning His Maiesties severall messages about the militia. Jovis 5. Maii. 1642	1
NA	The declaration of the Lords and Commons in Parliament assembled, concerning His Maiesties severall messages about the militia. Jovis 5. Maii. 1642	1
NA	The declaration of the Lords and Commons in Parliament assembled, concerning His Maiesties severall messages about the militia	1
NA	The declaration of the Lords and Commons assembled in the Parliament of England to the subjects of Scotland	1
NA	The declaration of the Lords and Commons assembled in Parliament concerning his Majesties letter	1
NA	The declaration of the Lords and Commons assembled in Parliament, concerning His Maiesties letter·	1
NA	The declaration of the Lords and Commons assembled in Parliament, concerning His Maiesties letter	1
NA	The declaration of the Lords and Commons assembled in Parliament	1
NA	The Declaration of the knights, gentry, and trained bands of the couuty [sic] of Kent, presented to the honourable House of Commons	1
NA	The declaration and votes of both Houses of Parliament, concerning the magazine at Hull, and Sir John Hotham governour thereof	1
NA	The declaration and votes of both houses of Parliament concerning the magazine at Hull, and Sir John Hotham, governour thereof	1
NA	The declaration and votes of both Houses of Parliament. Concerning the magazine at Hull; and Sir John Hotham	1
NA	The declaration and severall votes of both houses of Parliament	1
NA	The declaration and resolution of the countie of Leicester	1
NA	The declaration and remonstrance of the lords, knights, and gentry of the countie of Cornwall	1
NA	The declaration and propositions of the Lord Maior of London to the Kings most Excellent Maiesty and and [sic] both Houses of Parliament, concerning a treaty for Peace	1
NA	The declaration and petition of both Houses of Parliament	1
NA	The declaration and desires of the Lords and Commons assembled in Parliament	1
NA	The dangers of new discipline, to the state and church discovered	1
NA	The Danes plot discovered against this kingdome	1
NA	The daily proceedings of his Majesties fleet on the narrow seas, from the 17. of October to the 15. day of November, since the departure of the Earle of Warwick, lord admirall of the Navie	1
NA	The Crosses case in Cheapside	1
NA	The copy of a letter sent to an Honourable Lord, by Doctor Paske, Subdeane of Canterbury	1
NA	The copy of a letter presented by a Member of the Commons House of Parliament	1
NA	The copy of a letter from Master Tristram Whittecombe, Major of Kingsale, in Ireland	1
NA	The coppie of a letter vvritten to the Duke of Buckingham concerning the match with Spaine	1
NA	The Coppie of a letter sent from one of the Queenes servants at the Hague to a gentleman in Westminster dated the second of May. 1642	1
NA	The copie of a letter, sent from divers knights and gentlemen of Nottinghamshire, to the knights serving for that county in Parliament. York 1 Iuly. 1642	1
NA	The copie of a letter from Paris, the 24. Jun. 4. Jul. 1642	1
NA	The continuation of our forraine occurrences	1
NA	The commission of array arraigned and condemned: or, A declaration of the illegalitie of the said commission	1
NA	The City of Londons resolution, concerning their loyalty to the King, and their love and affection to the Parliament	1
NA	The charge given to the Committee of the county of Essex. For the preservation of the peace of the kingdome and for the seizing of armes, ammunition, plate and money, from the disturbers thereof	1
NA	The charge drawne up against Sir Richard Gurnet [sic], Lord Major or the City of London, by the House of Commons, and by them presented to the House of Peers, July the 11. 1642	1
NA	The certificate of the deputy lieutenants for the county of Warwick	1
NA	The certificate of the deputy lieutenants for county of Warwick	1
NA	The censure of the Earl of Berkshire by the Lords in Parliament	1
NA	The cavalliers advice to his Maiesty, with his Majesties answer to their desires, together with his intentions for the avoyding of my Lord of Essex his approach neere his person	1
NA	The case of the Commission of Array stated	1
NA	The camp of Christ, and the camp of Antichrist, all troopers after the Lambe	1
NA	The best newes from York, that ever came to London and VVestminster	1
NA	The best and truest nevves from Ireland	1
NA	The best and happiest tydings from Ireland	1
NA	The beginning of civil-warres in England or, A skirmish between the Lord Strange, and the inhabitants of Manchester in Lancashire, July 4	1
NA	The atheisticall polititian or A briefe discourse concerning Ni. Machiavell	1
NA	The arraignement of superstition, or, a discourse betweene a Protestant, a glasier, and a separatist. Concerning the pulling downe of church-windowes	1
NA	The aprentices advice to the XII. bishops lately accused of high treason, by the honourable assemblies of both Houses	1
NA	The apprehending of Captayne Butler at Portchmouth in the county of Southampton and his followers, who were bound with bullets and ammunirion [sic] for Ireland, in the shipp called the Olive	1
NA	The aphorismes of the kingdome	1
NA	The answer of the House of Commons to the citisens of Londons petition for peace: wherein they declare their resolution concerning the same	1
NA	The answer of both houses of Parliament to the Kings message. Sent to his most excellent Majesty, the 16th of March. 1641	1
NA	The answer of both Houses of Parliament, presented to His Majestie at York, the ninth of May	1
NA	The ansvver of the deputie lieutenants of the countie of Devon. [sic] to the declaration of Sir Ralph Hopton and other his trayterous adherents that have lately in an hostile manner invaded the said countie, and plundered, and pillaged many of the inhabitants thereof	1
NA	The ansvver of both Houses of Parliament, presented to His Majestie at York the ninth of May, 1642	1
NA	The ansvver of both Houses of Parliament, presented to His Maiesty at York the ninth of May, 1642	1
NA	The ansvver of both Houses of Parliament, presented to His Maiestie at Yorke the ninth of May, 1642	1
NA	The ansvver and resolution of the states of Holland, concerning the Queenes Majesties desire to the states	1
NA	The ansvver and resolution of the Lord Fairefax, Sir Phillip Stapleton, Sir Henry Cholmly, and the rest of the Committee of the Lords and Commons now resident at Yorke	1
NA	The advice and direction of both Houses of Parliament, to Sir William Brereton, and to the rest of the deputy lieutenants, for the county of Chester	1
NA	That great expedition for Ireland	1
NA	Terrible newes from York sent in a letter to London concerning great and weighty affairs of high cousequence [sic	1
NA	Terrible newes from Edenburgh in the kingdome of Scotland	1
NA	Terrible nevves from York	1
NA	Terrible nevves from Warwick, Leicester, and Stafford-shire	1
NA	Terrible nevves from Leicester, Warwick, and Stafford-shire. Declaring the proceedings in each severall county, from the 21. of Iuly, to the 27. 1642	1
NA	Terrible nevves from Hull	1
NA	Terrible and true neuues from Beuerley and the city of Yorke	1
NA	Terrble [sic] newes from Hartford discovering the manner how the town was set on fire	1
NA	Suppositions, with this humble request and advice of many thousands	1
NA	Sundry observations of severall passages and proceedings in the North	1
NA	Strange newes from Yorke, Hull, Beverley, and Manchester. Or A continuation of the proceedings passages, and matters of consequence that hath passed this last weeke in his Maiesties army before Hull	1
NA	Strange newes from VVarvvicke, which hapned on Thursday last being the 17. day of November, 1642	1
NA	Strange nevves from Stafford-Shire. Of the discovery of many papists taken and apprehended and examined before Justice Bidulph	1
NA	Strange nevves from Kent	1
NA	Strange nevves from France, or, The copie of a letter which was sent from thence to the ordinary ambassador for the King of France, unto his Majesty of great Brittaine	1
NA	Strange apparitions, or The ghost of King Iames	1
NA	Strange and terrible nevves from the Queene in Holland	1
NA	Strange and bloody nevves from Miniard: or a bloodie massacre upon five Protestants by a company of papists	1
NA	Speciall nevves from the army at Warwicke since the fight: sent from a minister of good note, to an alderman here in London: wherein is related the names of such that are slain and taken prisoners of both sides: and also the comming of the Marquesse of Hartford towards Hereford with 2000. men, but made to retreate againe by the appearing of the Lord Stampford and his forces: also the funerall of Colonel Charls Essex at Warwick, his body being borne to the grave by the Lo: Mandevill, Lo: Brookes, and some 4. or 6. colonels: with other remarkable passages of truth touching that great battle, not yet printed, which will give great satisfaction to the reader. Also a most pious passage uttered by his Excellency to Master Marshall, upon their discourse of the battle	1
NA	Speciall and true passages worth observation, from severall places of this kingdome, September 23, and 24. I From both Houses of Parliament, sent to his Excellency the Earl of Essex, Lord Generall when he is to go into the field. II From the city of Lincolne, that the county hath quite casheered the cavaliers. III From Manchester, that His Majestie intends to goe to Shrewsbury, & c. IV From Yorkeshire, that the cavaliers, and malignant party of that county, doe still persist in robbing and spoiling the Kings subjects, & c. V From Westminster, of four persons brought before the House of Commons and examined that were brought from Plimmouth & c. VI From Oxford, that the Lord Say hath placed a strong garrison in that towne. VII From Northhampton, that his Excellency the Earle of Essex, Lord Generall, is marching from Northhampton towards Nottingham with his army VIII From Nottingham, that the cavaliers having notice of the Lord Generals comming toward them, are departed from thence. IX From Buckinghamshire, that the regiment of soldiers under the command of Colonell Hampden, at Alesbury, are much oppressed, desiring speedy aide from London	1
NA	Speciall and late passages from the most eminent places in Christendome	1
NA	Some speciall passages from Warwickshire	1
NA	Some speciall passages from London, Westmister [sic], Yorke Hull, Ireland and other partes	1
NA	Some speciall passages from London, Westminster, Yorke, Hull, Ireland. [sic] and other parts	1
NA	Some speciall passages from Hull, Anlaby, and Yorke	1
NA	Some speciall argvments vvhich warranted for the Scottish subjects lawfully to take up armes in defence of their religion and liberty when they were in danger. Extracted out of the manuscripts of one of their chiefe reformers. Very usefull and necessary for these present times. The times doe require that the points following be pressed upon the people, both by the preachers in publick, and by understanding, and well-affected persons in private conference	1
NA	Some speciall arguments vvhich warranted the Scottish subiects lavvfully to take up armes in defence of their religion and liberty when they were in danger	1
NA	Some speciall arguments for the Scottish subiects lawfull defence of their religion and liberty	1
NA	Some observations concerning iealousies betweene King and Parliament, with their causes and cures	1
NA	Some more new observations concerning the King and Parliament	1
NA	Some late occvrrences in Shrop-shire and Devon-shire	1
NA	Some late occurrences in Shrop-shire and Devon-shire	1
NA	Six great matters of note	1
NA	Sixe matters of state	1
NA	Sir Arthvr Haslerigg his speech in Parliament. Whereby, hee cleareth himselfe of the Articles of high treason	1
NA	Sir Arthur Haslerigg his speech in Parliament. Whereby, hee cleareth himselfe of the articles of high treason, exhibited against himselfe, the Lord Kimbolton, Mr. Iohn Pymm, Mr. Hampden, Mr. Stroud, and Mr. Hollis: by his Majestie on Tuesday the 4th. of January. 1642	1
NA	Sir Arthur Haslerigg his speech in Parliament, the fifth of Ianuary last	1
NA	Severall votes of the Lords and Commons, concerning his Majesties message and propositions. Wherein is declared their intention to proceed against the traitors and rebels of the kingdome. And that the earle of Essex shall (according to his commission) put the same in execution	1
NA	Severall strange prophesies	1
NA	Severall propositions presented from the House of Commons to the Lords	1
NA	Severall petitions presented to the Honorable Houses of Parliament now assembled	1
NA	Severall occurences that have lately happened at Warwicke, Coventry, Northampton-shire, and Oxfordshire	1
NA	Severall new and good passages, or the weekly proceedings from divers places in this kingdome	1
NA	Severall informations taken by the deputy lieutenants of Northhampton	1
NA	Severall articles of the Scots demands, presented to the high and honourable Court of Parliament, by the commissioners appointed for the Kingdome of Scotland	1
NA	September 16. 1642. Severall passages of the late proceedings in Ireland	1
NA	Scotlands thanks-giving for the returne of their armie	1
NA	Saint Hillaries teares, shed upon all professions from the iudge to the petty fogger. From the spruce dames of the exchange, to the durty walking fishmongers. From the Coven-Garden lady of iniquity, to the Turnebal-streete-trull. And indeed, from the Tower-staires to Westminster-Ferry. For want of a stirring midsommer terme, this yeare of disasters, 1642. Written by one of his secretaries that had nothing else to do	1
NA	Remarkeable passages: first, a prayer for the Parliament	1
NA	Remarkeable occurrences of state, or, a collection of severall passages of the Honorable Houses of Parliament	1
NA	Remarkable passages, or a perfect diurnall of the weekly proceedings in both Houses of Parliament	1
NA	Remarkable occurrences from the High Court of Parliament, from the 16. of May to the 23. 1642	1
NA	Remarkable occurrences from the High Court of Parliament	1
NA	Remarable [sic] passages newly received of the great overthrow of Sir Ralph Hopton and his eorces [sic]; at Madburie, 12. miles from Plimouth	1
NA	Religions lotterie, or the churches amazement	1
NA	Received the day and yeer above written, of [blank] the sum of [blank] by us whose names are subscribed	1
NA	Received the day and yeer above written, by us whose names are subscribed	1
NA	Quotidian occurrences in and about London	1
NA	Questions resolved, and propositions tending to accommodation and agreement betweene the King being the royall head, and both Houses of Parliament being the representative body of the kingdome of England	1
NA	Queries of some tender conscienced Christians. About the late protestation, commended to them by the House of Commons, now assembled in the High and Honourable Court of Parliament	1
NA	Quatermayns conquest over Canterburies court· Or A briefe declaration of severall passages between him and the Archbishop of Canterbury	1
NA	Quatermayns conquest over Canterburies court· Or a briefe declaration of severall passages between him and the Archbishop of Canterbury	1
NA	Prosperous proceedings in Ireland	1
NA	Propositions propounded by the Marquesse of Hartford, to the Earle of Bedford, concerning the delivering up of Sherbourne-Castle	1
NA	Propositions of peace	1
NA	Propositions made to the Lords and Commons in Parliament, for the speedie and effectuall reducing of the Kingdom of Ireland	1
NA	Propositions made by the Lords and Commons in Parliament, for the speedie and effectuall reducing of the Kingdom of Ireland	1
NA	Propositions made by both Houses of Parliament, to the Kings Majesty for a reconciliation of the differences betweene His Majesty, and the said houses	1
NA	Propositions made by both Houses of Parliament, to the Kings Maiesty, for a reconciliation of the differences betweene His Majesty, and the said Houses	1
NA	Propositions from the Kings Most Excellent Majesty	1
NA	Propositions for peace, propounded to the Kings most excellent Majesty, by the citizens of Coventry, August 22	1
NA	Propositions for peace: propounded by the Kings most excellent Majesty, to the Lords and Commons assembled in Parliament, and to his Excellency Robert Earl of Essex, Lord Generall of the the [sic] true Protestant army. Together with the Parliaments answer thereunto. Also welcome news from the Earle of Bedford, relating a great overthrow lately given to the Marquis of Hartford, the said Marquis being dangerously wounded	1
NA	Propositions for peace, propounded by the Kings most Excellent Majestie, to the High Court of Parliament	1
NA	Propositions for peace, propounded by the Kings most excellent Majestie, to the High Court of Parliament	1
NA	Propositions for peace	1
NA	Propositions and orders by the Lords and Commons now assembled in Parliament	1
NA	Propositions and orders, by the Lords and Commons in Parliament	1
NA	Propositions and orders by the Lords and Commons in Parliament	1
NA	Prince Rupert his reply to a pamphlet, entituled, The Parliaments vindication, in answer to Prince Ruperts declaration	1
NA	Prince Roberts message to my Lord of Essex	1
NA	Prince Roberts declaration to the Kings most Excellent Majesty, October 11. 1642	1
NA	Prince Robert his speech to the Earle of Essex the morning before hee marched forth with his forces	1
NA	Prince Robert his plot discovered	1
NA	Prince Robert his message to the Earle of Essex	1
NA	Plots, conspiracies and attempts of domestick and forraigne enemies, of the Romish religion. Against the princes, and kingdomes of England, Scotland and Ireland	1
NA	Plots, conspiracies and attempts of domestick and forraigne enemies of the Romish religion, against the princes and kingdomes of England, Scotland and Ireland	1
NA	Pigges corantoe, or, Nevves from the north	1
NA	Orders made and established by the Lords spirituall and temporall, and the rest of the general assembly of the Kingdome of Ireland	1
NA	Oneales escape out of the Tower of London, on Thursday last, being the 5. day of this present May, 1642	1
NA	Occvrrences from Ireland	1
NA	Observations upon the times	1
NA	Nottinghamshires petition to the King	1
NA	No pamphlet, bvt a detestation against all such pamphlets as are printed, concerning the Irish rebellion, plainely demonstrating the falshood of them	1
NA	Noli me tangere: or, A thing to be thought on	1
NA	Nocturnall occurrences or, deeds of darknesse: committed, by the cavaleers in their rendevous	1
NA	Nineteen propositions made by both Houses of Parliament, to the Kings most excellent Majestie	1
NA	Nineteen propositions made by both Houses of Parliament, to the Kings Majestie, for a reconciliation of the differences between his Majesty, and the said Houses	1
NA	Nine propositions of both Houses of Parliament concerning the raising of horse	1
NA	New treason plotted in France	1
NA	New propositions propounded to the city of London by the Lords and Commons, concerning the raising speedy ayd for the reliefe of Hvll	1
NA	New propositions. Propounded by the Earle of Pembrooke. The Earle of Northumberland. The Earle of Essex. And the Earle of Holland	1
NA	New propositions. Propounded by the Earle of Pembrooke. the Earle of Northumberland. the Earle of Essex. And the Earle of Holland	1
NA	New observations dedicated to the Kings most excellent Majestie, from all his loving subjects concerning peace	1
NA	New news from Cornvvall	1
NA	New matters of note made knowne to this kingdome	1
NA	Newes out of Ireland	1
NA	Newes from the North	1
NA	Newes from the citie of Norwich: of certain passages which happened there on Munday last, relating to the number of the cavaliers which are dispersed in sundry villages neer the citie	1
NA	Newes from Manchester being a true relation of the battell fought before Manchester	1
NA	Newes from Holland: of the entertainment of the Queenes most excellent Maiestie of Great Britaine	1
NA	Newes from France: or, A true discovery of the practices of divers of our English fugitives there	1
NA	Newes from Dunkirke	1
NA	Newes from Black-heath	1
NA	Nevv matters of high and great consequence, printed the twelfth of March. anno. 1642	1
NA	Nevv intelligence from Ireland, received the 17. of June, 1642	1
NA	Nevves out of Ireland concerning the warlike affaires in the province of Lemster	1
NA	Nevves from York and the north	1
NA	Nevves from Hull, Ireland, and Fraunce	1
NA	Nevves from forraigne parts for the last two weeks past, very fitting for this state to take notice of in this time of division and distraction	1
NA	Nevves from Black-heath	1
NA	Most joyfull nevves by sea and land	1
NA	More true and exceeding joyfull newes from Ireland, or, The victorious proceedings of the Protestants in the Neweries, and in the north parts of Ireland, from the 11. of Aprill, to this present. 1642	1
NA	More nevves from Hull. Or, a most happy and fortunate prevention, of a most hellish and divelish plot, occasioned by some unquiet and discontented spirits, against the town of Hull	1
NA	More joyfull newes from Ireland, or, The copie of a letter written from Corke	1
NA	More joyfull nevves from Hvll	1
NA	More happy nevves from Ireland	1
NA	More happy and joyfull nevves from Ireland: or, The victorious proceedings of the Protestants in that kingdome, from the 28. day of March, to the 6. day of Aprill, 1642	1
NA	More good nevves from Ireland	1
NA	More glorious, joyfull, and renowned newes, from Ireland	1
NA	Militia old and new	1
NA	Military orders and articles established by His Majesty, for the better ordering and government of His Majesties army	1
NA	Military orders and articles established by His Majesty for the better ordering and government of His Majesties army	1
NA	Military orders and articles established by His Majestie, for the better ordering and government of His Maiesties army	1
NA	Message sent from the House of Commons to Robert Earle of Warvvicke	1
NA	May the seventeenth, 1642. Admirable, good, true, and joyfull newes from Ireland	1
NA	May the 18. 1642. His Maiesties last proclamation, May the fourteenth, 1642	1
NA	May the 16. 1642. His Maiesties resolution concerning the establishment of religion and church-government	1
NA	May the 16. 1642	1
NA	May the 14. 1642. A true relation of the chiefe passages in Ireland, from the 25th of April to this present	1
NA	May, the 10. 1642. The Loyall resolution of the gentry and commonalty of the county of Yorke	1
NA	May 3. A trve and perfect diurnall: of the most remarkeable passages in Ireland	1
NA	May 18. Remarkable propositions by the councell in Ireland	1
NA	May 17. A relation of divers remarkable proceedings betwixt the Kings Majesty and his loyall subjects, exprest in these particulars following	1
NA	Matters of note made known to all true Protestants	1
NA	Matters of high consequence concerning the great affairs of the kingdome	1
NA	Matters of great note and high consequence	1
NA	Matters of great consequence, and worthy of note to all England	1
NA	Master Pymme his speech in Parliament	1
NA	Master Pym his speech in Parliament	1
NA	Master Pim his Speech in Parliament	1
NA	March 21th, 1641. A continuation of the good newes from Ireland. Manifested by two severall letters sent from Mr. Metcalfe to Mr. Nowell Bassano of the Custome-house in London. The one dated at Dublin, March 14. The other at Tredarth, March 15. 1641. Being a true relation of the good and prosperous successe and proceedings of the English forces, under the command of Sir Symon Harcourt, Sir Charles Coote, Sir Richard Greenvill and others, against the bloody rebels in Ireland. From the last of February, to this present	1
NA	Many vvonderful and very remakeable [sic] passages, vvhich hath come to passe within the memorie of man here in this our nation	1
NA	Many remarkeable passages from both Houses of Parliament, from the 12. of May till this present	1
NA	Manchesters resolvtion against the Lord Strange·	1
NA	Maij 14. A true relation of the present state of Ireland	1
NA	Londons remonstrance to the Parliament, in subscribing to the propositions of both Houses, concerning money, plate, horse, horsemen, and armes to be lent for the maintenance of an army for the Kings peace, and the safety of the Parliament	1
NA	Londons desire and direction to all her dear, and to some of her discontented children	1
NA	Londons declaration, in the defence of the citisens now in arms	1
NA	Leycestershires petition	1
NA	Lamentable newes from Ireland	1
NA	Lamentable and sad nevves from the north	1
NA	King Charles His letter to the great Turk; the high and mighty emperour Sultan Morat Han	1
NA	June the 7. The foure last remarkable matters of moment collected together, viz	1
NA	June 22. 1642. An extract of severall letters sent from Yorke, Hull, France, and Holland	1
NA	June 21. 1642. A new declaration of the Lords and Commons in Parliament, in ansvver to His Majesties letter, dated the 14 day of June	1
NA	June 15. 1642. True intelligence from Ireland	1
NA	July 7 1642. The Scottish determination and loyaltie	1
NA	July 28. 1642. Bad news from Ireland	1
NA	July 18. 1642. A perfect diurnall of all the proccedings [sic] of the English and Scotch armies in Ireland, from the 14 of June to this present	1
NA	July 12th. 1642. Newes from Ireland	1
NA	Julii 4. 1642. The declaration of the Lords and Commons assembled in Parliament. Or, Five severall passages of state	1
NA	Joyfull newes of the Kings most certaine resolution and purpose to come to London with his army	1
NA	Joyfull newes from Wells in Somerset-shire	1
NA	Joyfull newes from the King· Or, The true proceedings of His Maties armie at Notingham. Lichfield. Tamworth. Warwick. Coventry. Medingham	1
NA	Joyfull newes from the Isle of Ely	1
NA	Joyfull newes from the Earle of VVarwick	1
NA	Joyfull newes from Lancashire	1
NA	Joyfull nevves from Norvvich	1
NA	Joyfull and welcome nevves from Shrevvesbury	1
NA	Iune the second 1642. A new remonstrance of Ireland. Or, A continued diurnall of the most remarkeable passages from the fifth of May to this present	1
NA	Iuly, the thirteenth 1642. A true and exact relation of divers principall actions of a late expedition, undertaken in the north of Ireland	1
NA	Irelands trve divrnall, or a continved relation of the cheife passages that have happened there	1
NA	Irelands amazement, or the heavens armado	1
NA	Ioyfull news from Portsmouth and the Jsle of Wight	1
NA	Ioyfull newes from Hvll. Or, Sir Iohn Hothams overthrow given to the cavaleers	1
NA	Ioyfull nevves from sea: or Good tidings from my Lord of Warwicke	1
NA	Ioyfull and happie newes from the west of Ireland	1
NA	Intelligence from Yorke: relating the unlavvfull proceedings of the malignant party there	1
NA	Instructions from the honourable House of Commons assembled in Parliament	1
NA	Instructions for deputy lievtenants which are members of the House of Commons, and other lievtenants of severall counties concerning the last propositions	1
NA	Instructions for deputy lievtenants which are members of the House of Commons, and other lievtenants of several counties concerning the last propositions	1
NA	Instructions agreed upon by the Lords and Commons in Parliament	1
NA	Instructions agreed upon by the Lords and Commons assmbled [sic] in Parliament for Sir Thomas Barrington	1
NA	I marry sir, Heere is newes indeed	1
NA	Horrible newes from Yorke, Hull, and Newcastle	1
NA	Horrible newes from Hull·	1
NA	Horrible newes from Colebrooke, declaring the cruelty of prince Robert in plundering the said towne, and exercising tirany against the inhabitants	1
NA	Horrible nevves from VVarvvick-shire	1
NA	His Majesties two proclamations to the counties of Southampton and Dorset	1
NA	His Majesties two letters	1
NA	His Majesties speech to the inhabitants of Denbigh and Flint-shire. 27. Septemb. 1642	1
NA	His Majesties speech to the gentry of the county of Yorke	1
NA	His Majesties speech to the gentry of the county of York, attending His Majesty at the city of Yorke, on Thursday the 12. of May, 1642	1
NA	His Majesties speech, to the gentlemen of Yorkshire, on Thursday, the 4. of August. 1642	1
NA	His Majesties speech to the gentlemen, freeholders, and other inhabitants of the county of Denbigh and Flint. At Wrexam the 27 of September. 1642	1
NA	His Majesties speech and protestation	1
NA	His Majesties rsolution [sic] concerning the setting up his standard at Nottingham on Munday next	1
NA	His Majesties resolution, concerning some great and weighty affairs	1
NA	His Majesties resolution, and instructions to his commissioners of array, for the severall counties of England, and the principality of Wales	1
NA	His Majesties reply, to the answer of both Houses concerning a treaty of accommodation	1
NA	His Majesties proceedings in Northamptonshire, Glocestershire, Wiltshire, and Warwickshire, from the 16. of August to the 23	1
NA	His Majesties proceedings in Northamptonshire, Glocestershire, Wilishire, and Warwickshire, from the 16. of August to the 23	1
NA	His Majesties message to the House of Commons	1
NA	His Majesties message to both Houses of Parliament, of the eleventh of July, 1642	1
NA	His Majesties message to both Houses of Parliament of the eleventh of Iuly. 1642	1
NA	His Majesties message to both Houses of Parliament, January 20	1
NA	His Majesties message to both Houses of Parliament: February 14. 1641	1
NA	His Majesties message to both Houses of Parliament, Febr. 14. 1641. Together with the thankfull acceptation of both Houses for the same	1
NA	His Majesties message to both houses of Parliament, concerning His Majesties going to Hull, and the just grounds thereof	1
NA	His Majesties message to both Houses of Parliament, 28. April. 1642	1
NA	His Majesties message sent to the Parliament, Aprill, 8. 1642	1
NA	His Majesties message sent to the high court of Parliament, April 8. 1642	1
NA	His Majesties message sent from Beverley to both Houses of Parliament, 24. April	1
NA	His Majesties message concerning licences granted to persons going into Ireland	1
NA	His Majesties last message, Septemb. 12. 1642. Directed to his right trusty and wel-beloved, the Speaker of the House of Peeres	1
NA	His Majesties gracious message to both Houses of Parliament, sent from Nottingham the 25. of August, 1642. By the Earles of Southampton and Dorset, Sir Iohn Culpeper Knight, Chancellour of the Exchequer, and Sir William Uvedall, Knight	1
NA	His Majesties gracious message sent to His Commons House of Parliament, Decemb. 19. 1642	1
NA	His Majesties gracious message sent to his Commons House of Parliament, Decemb. 19. 1642	1
NA	His Majesties desires and command to all the trayned bands and others on this side Trent, and dominion of Wales	1
NA	His Majesties demands and propositions propounded by His Majesty, to the major, knights, and gentry	1
NA	His Majesties declaration to the ministers, free-holders, farmers, and substantiall copy-holders of the county of Yorke	1
NA	His Majesties declaration to both houses of Parliament	1
NA	His Majesties declaration to all his loving subjects upon occasion of the ordinance and declaration of the Lords and Commons, for assessing all such who have not contributed sufficiently for raising money, plate, &c	1
NA	His Majesties declaration to all his loving subjects upon occasion of the late ordinance and declaration of the Lords and Commons for the assessing all such who have not contributed sufficiently for raising of money, plate, &c. Charles R. Our expresse pleasure is, that this our declaration be published in all churches and chapels within the kingdom of England and dominion of Wales, by the parsons, vicars or curates of the same	1
NA	His Majesties declaration to all his loving subjects; shewing his true intentions in advancing lately to Brainford [sic	1
NA	His Majesties declaration to all his loving subjects. Of the 12 of August 1642	1
NA	His Majesties declaration to all his loving subjects. Of his true intentions in advancing lately to Brainceford	1
NA	His Majesties declaration to all his loving subjects, of his true intentions in advancing lately to Brainceford	1
NA	His Majesties declaration to all his loving subjects. Of August 12 1642	1
NA	His Majesties declaration to all his loving subjects. Occasioned by a false and scandalous imputation laid upon His Majestie of an intention of raysing or leavying war against his Parliament, and of having raised force to that end	1
NA	His Majesties declaration to all his loving subjects, occasioned by a false and scandalous imputation laid upon His Majestie of an intention of raising or levying war against his Parliament and of having raised force to that end	1
NA	His Majesties declaration to all his loving subjects, occasioned by a false and scandalous imputation laid upon His Majestie, of an intention of raising or leavying war against his Parliament: and of having raised force to that end	1
NA	His Majesties declaration to all His loving subjects concerning the proceedings of this present Parliament. Wherein is set forth the piety of His Majesties endeavours to promote the happinesse of His people, Together with the practises and misunderstandings, by which it hath been disappointed	1
NA	His Majesties declaration, made the 13. of June, 1642. To the Lords, attending His Majestie at York	1
NA	His Majesties declaration, in answer to a declaration of the Lords and Commons assembled in Parliament, for the raising of all power and force, as well trained bands as others	1
