publication.year	publication.title	document.pages.original	document.pages.total
1789	The Barbados gazette, or General intelligencer	v. ;	NA
1789	The New evening post	v. :	NA
1789	The Norwich and Bury post: or, Norfolk, Suffolk, and Essex Advertiser	v. :	NA
1789	The Nova-Scotia gazette: and the weekly chronicle	v. :	NA
1789	The Phenix; or, Griffith's New morning post	v. ;	NA
1789	The Shrewsbury chronicle and Shropshire, Montgomeryshire, Denbighshire, Merionethshire, &c. general advertiser	v. :	NA
1789	The Town: or, Dublin Evening Packet	v. :	NA
1789	The Virginia gazette and independent chronicle	v. ;	NA
1790	Edinburgh Herald	v. :	NA
1790	Hampshire journal, and county register	v. ;	NA
1790	M. & C. Bartgis's Virginia gazette, and the Winchester advertiser	v. :	NA
1790	Norwich packet	v. :	NA
1790	Swinney's Birmingham & Stafford chronicle; and Coventry gazette	v. ;	NA
1790	The Bombay gazette	v. :	NA
1790	The Bristol mercury, and Universal advertiser	v. :	NA
1790	The Daily advertiser	v. :	NA
1790	The Norwich-packet, or, The country journal	v. :	NA
1790	The St. Eustatius gazette	v. :	NA
1790	The Weekly monitor	v. :	NA
1790	The history of England	9 v. ;	NA
1790	The new Exeter journal, or General advertiser	v. :	NA
1790	Williamson's Liverpool advertiser	v. :	NA
1790	Willis's Virginia gazette and Winchester advertiser	v. :	NA
1791	L'Ami de la liberté, et l'ennemi de la licence	v. :	NA
1791	Litchfield-county monitor	v. :	NA
1791	Sheffield advertiser	v. ;	NA
1791	Sheffield advertiser and Weekly chronicle of the times	v. ;	NA
1791	Sheffield advertiser, and Universal weekly chronicle of the times	v. ;	NA
1791	The Kentish chronicle	v. :	NA
1791	The Kentish chronicle, and Canterbury journal	v. :	NA
1791	The Pennsylvania Mercury and universal advertiser	v. :	NA
1791	The World	v. ;	NA
1791	The new Phenix; or, Whig post	v. ;	NA
1792	Burke's Connaught journal	v. ;	NA
1792	Gazette de la Martinique	v. :	NA
1792	National journal	v. ;	NA
1792	The Baltimore evening post	v. ;	NA
1792	The Bath herald; and general advertiser	33 v. :	NA
1792	The Connaught journal	v. :	NA
1792	The Exeter gazette, or Universal advertiser for the west of England	v. :	NA
1792	The Hull packet	v. :	NA
1792	The Leicester chronicle	v. :	NA
1792	The Paris mercury; and continental chronicle	v. ;	NA
1792	The] St. George's chronicle and New Gren[ada gazette.	v. ;	NA
1793	Arnett's Brunswick advertiser	v. ;	NA
1793	Gazette of the United States	v. :	NA
1793	Hereford journal	v. ;	NA
1793	Index to records called, the Originalia and Memoranda on the Lord Treasurer's Remembrancer's side of the Exchequer	2v. ;	NA
1793	Madras courier	v. :	NA
1793	The Anti-Leveller	v. ;	NA
1793	The Connaught journal: or, Galway advertiser	v. :	NA
1793	The Cork Packet	v. :	NA
1793	The Courier	v. ;	NA
1793	The Kerry evening post	v. ;	NA
1793	The Looker-on	86 v. ;	NA
1793	The Rights of Irishmen: or, National evening star	v. :	NA
1793	The independent ledger and Petersburg and Blandford public advertiser[.	v. :	NA
1793	The oriental star	v. :	NA
1794	Newark herald, and Nottinghamshire and Lincolnshire general advertiser	156 v. :	NA
1794	Sheffield register, Yorkshire, Derbyshire & Nottinghamshire universal advertiser	v. ;	NA
1794	The American star	v. ;	NA
1794	The Bahama gazette	v. :	NA
1794	The Glasgow advertiser	v. :	NA
1794	The Glasgow advertiser and evening intelligencer	v. :	NA
1794	The Hull advertiser, and exchange gazette	v. :	NA
1794	The Leeds Mercury	v. :	NA
1794	The Shrewsbury chronicle (Shrewsbury, England : 1789	v. :	NA
1794	The Shrewsbury chronicle and public advertiser	v. :	NA
1794	The times; or, National courier	v. ;	NA
1795	American telegraphe	v. ;	NA
1795	Arnett's New-Jersey federalist	v. ;	NA
1795	Dunlap and Claypoole's American daily advertiser	v. :	NA
1795	Litchfield monitor	v. ;	NA
1795	Madras courier	v. :	NA
1795	Madras gazette	v. :	NA
1795	Oxford mercury, and Midland county chronicle	v. ;	NA
1795	Republican journal; and Dumfries advertiser	v. ;	NA
1795	Stewart's Kentucky herald	v. ;	NA
1795	The Limerick Herald	v. ;	NA
1795	The Morning Post: or, Dublin Courant	v. :	NA
1795	The New-London advertiser	v. ;	NA
1795	The Roscrea southern star; or, General Advertiser	v. ;	NA
1795	The Virginia gazette & Richmond chronicle	v. ;	NA
1795	The centinel of the North-western Territory[.	v. ;	NA
1795	The gazette of Maine	v. ;	NA
1795	The mirrour	v. :	NA
1796	Bowen's Virginia centinel & gazette, or, The Winchester political repository	v. ;	NA
1796	Burlington mercury	v. ;	NA
1796	Gore's Liverpool general advertiser	v. :	NA
1796	Litchfield monitor; and Agricultural register	v. ;	NA
1796	Polar star: Boston daily advertiser	v. :	NA
1796	Republican journal; and Dumfries weekly advertiser	v. ;	NA
1796	The American gazette, and Norfolk and Portsmouth public advertiser	v. ;	NA
1796	The Argus; and New-Jersey centinel	v. ;	NA
1796	The Diary. And Kingston daily advertiser	v. ;	NA
1796	The Newburgh packet	v. ;	NA
1796	The St. Christopher royal gazette; or Weekly chronicle	v. ;	NA
1796	The Virginia gazette	v. ;	NA
1796	The York herald. And county advertiser	v. :	NA
1796	The farmers journal, and Newton advertiser	v. ;	NA
1796	The federal mirror	v. :	NA
1796	The republican citizen, and farmer and planter's chronicle	v. ;	NA
1797	Doncaster, Nottingham, and Lincoln gazette	v. ;	NA
1797	Ontario gazette	v. ;	NA
1797	Orange nightingale and New-Hampshire advertiser	v. ;	NA
1797	Republican gazetteer	v. :	NA
1797	Staunton gazette	v. ;	NA
1797	The Aberdeen journal	v. ;	NA
1797	The Aberdeen journal, and General advertiser for the north of Scotland	v. :	NA
1797	The American gazette & General advertiser	v. ;	NA
1797	The Impartial observer: or Shepherd's-Town, Charles-Town, & county advertiser	v. ;	NA
1797	The New Cork evening post	v. ;	NA
1797	The Sheffield courant	v. ;	NA
1797	The orange nightingale, and Newbury morning star	v. ;	NA
1797	The time piece, and literary companion	v. :	NA
1798	Bowen's Virginia gazette: and the Winchester centinel	v. ;	NA
1798	Federal gazette and daily advertiser	v. :	NA
1798	Federal gazette and general advertiser	v. :	NA
1798	Levana gazette: or, Onondaga advertiser	v. ;	NA
1798	McDonnell's Dublin weekly journal	v. ;	NA
1798	Rights of man. Or, the Kentucky mercury	v. ;	NA
1798	St. George's chronicle and Grenada gazette	v. :	NA
1798	The Bath gazette, and Genesee advertiser	v. ;	NA
1798	The Cork herald: or, Munster advertiser	v. ;	NA
1798	The Exeter flying-post; or, Plymouth and Cornish advertiser	v. :	NA
1798	The old Englishman, and Anti-Jacobin examiner	v. ;	NA
1798	The time piece	v. :	NA
1798	Weekly monitor	v. :	NA
1798	Winchester gazette	v. :	NA
1798	Woolmer's Exeter and Plymouth gazette, or Universal advertiser for the west of England	v. :	NA
1799	Antigua journal	v. :	NA
1799	Der Deutsche porcupein, und Lanca̋ster anzeigs-nachrichten	v. ;	NA
1799	Impartial observer. The Knoxville gazette	v. ;	NA
1799	Knoxville gazette	v. ;	NA
1799	Schenectady gazette	v. ;	NA
1799	Taaffee's National Shamroc	6 v. ;	NA
1799	The Cork advertiser, and commercial register	v. ;	NA
1799	The Mount Pleasant courier	v. ;	NA
1799	The New-Windsor gazette	v. ;	NA
1799	The North-Carolina mercury and Salisbury advertiser	v. ;	NA
1799	The Orange County gazette	v. ;	NA
1799	The Shamroc, [sic	4 v. ;	NA
1799	The South-Carolina state gazette, and general advertiser	v. ;	NA
1799	The mirror	v. :	NA
1800	Federal Carolina gazette	v. ;	NA
1800	Gilmanton gazette: and Farmers' weekly magazine	v. ;	NA
1800	Liverpool trade list	v. :	NA
1800	The Iris, or Sheffield advertiser	v. :bill. ;	NA
1800	The Lynn and Wisbech packet; or, The Norfolk, Suffolk, Cambridge, and Lincolnshire advertiser	v. :	NA
1800	The Post-Angel, or Universal entertainment	9 v. ;	NA
1800	The St. Christopher advertiser: and weekly intelligencer	v. ;	NA
1800	The constitution; or, Anti-union evening post	v. :	NA
1800	The herald of London and Edinburgh weekly advertiser	v. ;	NA
1800	The herald of Virginia and Fincastle weekly advertiser	v. ;	NA
1800	The herald of freedom	v. ;	NA
1800	The monitor & Wilmington weekly repository	v. ;	NA
1800	The rights of man	v. ;	NA
1801	The Kennebec gazette	v. ;	NA
1801	The monitor & Wilmington repository	v. ;	NA
1801	Winchester triumph of liberty	v. :	NA
1802	The Royal gazette and the New-Brunswick advertiser	v. ;	NA
1803	The British chronicle; or Union gazette	v. :	NA
1803	The Monitor	v. :	NA
1806	The public register: or, The freeman's journal	v. :	NA
1818	The Calcutta Friday morning post; and general advertiser	v. ;	NA
1825	George Faulkner, the Dublin journal	v. :	NA
1827	Hue and cry, and Police gazette	v. ;	NA
1827	Swinney's Birmingham chronicle: and Warwickshire and Staffordshire advertiser	v. ;	NA
1834	India gazette	v. ;	NA
1866	The Sligo Journal and Weekly Advertiser	v., :	NA
1876	Gore's General advertiser	v. :	NA
1880	The L:Derry journal, and, Donegal and Tyrone advertiser	v. :	NA
1880	The London-Derry journal. And, Donegal and Tyrone advertiser	v. ;	NA
1922	The Dublin gazette	v. :	NA
1955	Staffordshire advertiser	v. :bill. ;	NA
1960	The Reading mercury, and Oxford gazette	v. :	NA
NA	A New observator on the present times	15 v. ;	NA
NA	All-alive and merry; or, the London morning-post	v. ;	NA
NA	An Historical list of horse-races	v. ;	NA
NA	Andrew Welsh. The Munster journal	v. :	NA
NA	Ayscough's Nottingham courant	v. ;	NA
NA	Boddely's Bath journal	v. :	NA
NA	Brice and Co.'s Old Exeter journal; or, Western advertiser	v. :	NA
NA	Christopher Dickson. The flying-post	v. ;	NA
NA	Cotes's weekly journal: or, the English stage-player	v. ;	NA
NA	Dickson's News letter	v. ;	NA
NA	Dickson's. The Dublin news letter	v. ;	NA
NA	Dublin intelligence	v. ;	NA
NA	Edward Waters's Protestant Dublin intelligence	v. ;	NA
NA	Eyres's weekly journal, or, the Warrington advertiser	v. ;	NA
NA	F. Farley's Bristol journal	v. ;	NA
NA	Farley's Bath journal	v. ;	NA
NA	Farley's Bristol newspaper	v. :	NA
NA	Farmer's oracle, and Lansingburgh weekly gazette	v. ;	NA
NA	Faulkners Dublin post-boy	v. ;	NA
NA	Finn's Leinster journal	v. ;	NA
NA	Finn's Leinster journal	v. ;	NA
NA	Glasgow advertiser	v. ;	NA
NA	Glasgow journal	v. ;	NA
NA	Hampshire chronicle	v. ;	NA
NA	Hampshire chronicle	v. ;	NA
NA	Hampshire chronicle; or, Winchester, Southampton, Portsmouth and Chichester journal	v. ;	NA
NA	Harding's Dublin impartial news letter	v. ;	NA
NA	Harding's Dublin impartial news letter	v. ;	NA
NA	Harding's Weekly impartial news letter	v. ;	NA
NA	Harrop's Manchester mercury	v. ;	NA
NA	Harrop's Manchester mercury, and general advertiser	v. :	NA
NA	Henry's Winchester journal; or Weekly review	v. ;	NA
NA	Hicky's Bengal gazette; or the Original Calcutta general advertiser	v. ;	NA
NA	Hicky's Bengal gazette; or, Calcutta general advertiser	42 v. ;	NA
NA	Howgrave's Stamford mercury	v. ;	NA
NA	Hunter's Dublin chronicle; or, Universal journal	v. ;	NA
NA	Impartial news-letter	v. ;	NA
NA	James Esdall. The Flying post	v. ;	NA
NA	Jopson's Coventry mercury; or, The British advertising gazette	v. :bill. ;	NA
NA	Jopson's Coventry mercury; or, The Weekly country journal	v. :bill. ;	NA
NA	London, August 21. This morning arrived a Holland mail, which brings the following advices	v. ;	NA
NA	Luckman's Coventry museum	v. :	NA
NA	Magee's weekly packet	v. ;	NA
NA	Manchester journal: or, Prescott's Lancashire advertiser	v. ;	NA
NA	Martin's Bath chronicle	v. ;	NA
NA	Momus ridens: or, Comical remarks on the publick reports	v. ;	NA
NA	Needham's Dublin post-man. And the historical account	v. ;	NA
NA	Needham's post-man. Containing foreign and domestick news	v. ;	NA
NA	Nottingham journal. Or, Newark, Gainsborough, Retford, Worksop, Mansfield, Chesterfield, Grantham and Sheffield, General advertiser	v. ;	NA
NA	Orion Adams's Manchester journal; or, Lancashire and Cheshire advertiser	v. ;	NA
NA	Orion Adams's weekly journal; or, The Manchester advertiser	v. ;	NA
NA	Osborn's Penny post, or, the London Mercury	v. ;	NA
NA	Prescott's Manchester journal	v. ;	NA
NA	Preston review and County advertiser	v. ;	NA
NA	Preston weekly journal	v. :	NA
NA	R. Dickson. The Dublin intelligence	v. ;	NA
NA	Robinson Crusoe's London daily evening post	v. ;	NA
NA	Salopian journal	v. ;	NA
NA	Sam. Farley's Exeter post-man: or, Weekly intelligence	v. ;	NA
NA	Saunders's News-letter	v. :	NA
NA	Saunders's News-letter, and Daily advertiser	v. ;	NA
NA	T]he post-boy	v. ;	NA
NA	The Asiatic mirror and Commercial advertiser	v. ;	NA
NA	The Bath journal	v. :	NA
NA	The Belfast evening post	v. :	NA
NA	The Belfast mercury;or Freeman's chronicle	v. :	NA
NA	The Belfast news-letter, and General advertiser	v. ;	NA
NA	The Birmingham chronicle and Warwickshire journal	v. ;	NA
NA	The Birmingham gazette: or, the General correspondent	v. :	NA
NA	The Bristol oracle	v. ;	NA
NA	The Bristol weekly intelligencer	v. ;	NA
NA	The Bristol, Bath and Somersetshire journa[l.	v. :	NA
NA	The British observator	v. ;	NA
NA	The Bury and Norwich post: or, Suffolk and Norfolk advertiser	v. ;	NA
NA	The Caledonian mercury	v. :	NA
NA	The Cambridge chronicle	v. ;	NA
NA	The Cambridge chronicle and journal	v. ;	NA
NA	The Cambridge journal	v. ;	NA
NA	The Cambridge journal, and weekly flying-post	v. ;	NA
NA	The Chelmsford and Colchester chronicle: or, Universal weekly advertiser	v. ;	NA
NA	The Chester chronicle	v. :	NA
NA	The Chester courant	v. ;	NA
NA	The Clonmel journal	v. ;	NA
NA	The Commentator	74 v. ;	NA
NA	The Cork courier	v. ;	NA
NA	The Cornwall chronicle and general advertiser	v. ;	NA
NA	The Cornwall chronicle, and Jamaica general advertiser	v. ;	NA
NA	The County chronicle and weekly advertiser	v. :	NA
NA	The Derby post-man, or A Collection of the most material occurrences, foreign and domestick	v. ;	NA
NA	The Doncaster flying-post: or, Hull and Sheffield weekly advertiser	v. ;	NA
NA	The Dorchester and Sherborne journal, and Western advertiser	v. :	NA
NA	The Dublin courant	v. ;	NA
NA	The Dublin courant	v. ;	NA
NA	The Dublin courant; or, the diverting post	v. ;	NA
NA	The Dublin courier	v. ;	NA
NA	The Dublin gazette	v. ;	NA
NA	The Dublin general post-man	v. ;	NA
NA	The Dublin intelligence	v. ;	NA
NA	The Dublin intelligencer	v. ;	NA
NA	The Dublin journal	v. ;	NA
NA	The Dublin journal	v. ;	NA
NA	The Dublin post-boy	v. ;	NA
NA	The Dublin post-man	v. ;	NA
NA	The Dublin post-man	v. ;	NA
NA	The Dublin post-man. And the historical account	v. ;	NA
NA	The Dublin post-man: and the historical account	v. ;	NA
NA	The Dublin-post	v. ;	NA
NA	The Edinburgh News-letter	v. ;	NA
NA	The Edinburgh courant	706 v. ;	NA
NA	The Edinburgh weekly journa[l	v. ;	NA
NA	The Englishman	v. ;	NA
NA	The Evening chronicle	v. :	NA
NA	The Exeter chronicle: or, Universal register	v. :	NA
NA	The Express and the London herald	v. ;	NA
NA	The General news-letter	v. :	NA
NA	The Glasgow courier	v. :	NA
NA	The Half-penny London journal. Or the British oracle	v. ;	NA
NA	The Half-penny-post	v. ;	NA
NA	The Hampshire chronicle or, Southampton, Winchester, and Portsmouth mercury	v. ;	NA
NA	The Hampshire chronicle or, Winchester, Southampton, and Portsmouth mercury	v. ;	NA
NA	The Hampshire chronicle. And Portsmouth and Chichester journal	v. ;	NA
NA	The Hampshire chronicle; or, Portsmouth, Winchester, and Southampton gazette	v. ;	NA
NA	The Hibernian telegraph: or Morning star	v. ;	NA
NA	The Hircarrah	v. :	NA
NA	The Historical journal	v. ;	NA
NA	The Hull packet, and Yorkshire & Lincolnshire advertiser	v. :	NA
NA	The India gazette: or, Calcutta public advertiser	v. ;	NA
NA	The Ipswich gazette	v. :	NA
NA	The Iris, or Sheffield advertiser for the northern counties, &c. &c	v. :bill. ;	NA
NA	The Kentish post, or, Canterbury news-letter	v. ;	NA
NA	The Leicester and Nottingham journal	v. :	NA
NA	The Leicester journal	v. :	NA
NA	The Liverpool general advertiser: or, the Commercial register	v. :	NA
NA	The London evening advertiser	v. ;	NA
NA	The London post	v. ;	NA
NA	The Maidstone journal, and Kentish advertiser	v. ;	NA
NA	The Manchester magazine	v. :	NA
NA	The Manufacturer: or, The British trade truly stated	31 v. ;	NA
NA	The Marlborough journal	v. ;	NA
NA	The Montreal gazette	v. ;	NA
NA	The Morning star	v. ;	NA
NA	The New London price currant	v. :	NA
NA	The New express	v. ;	NA
NA	The Newcastle gazette	v. ;	NA
NA	The Newcastle gazette: or, Tyne-water journal	v. ;	NA
NA	The Newcastle intelligencer	190 v. :	NA
NA	The News-Letter	v. ;	NA
NA	The North country journal: or, the Impartial intelligencer	v. :	NA
NA	The Nottingham mercury	v. ;	NA
NA	The Nottingham weekly courant	v. ;	NA
NA	The Oxford flying weekly journal, and Cirencester gazette	v. :	NA
NA	The Oxford gazette: and Reading mercury	v. ;	NA
NA	The Paris gazette English'd	v. ;	NA
NA	The Patriot's weekly chronicle	v. :	NA
NA	The Portsmouth and Gosport gazette, and Salisbury journal	v. ;	NA
NA	The Preston journal	v. ;	NA
NA	The Proceedings of the King's commission of the peace	v. ;	NA
NA	The Proceedings on the King and Queens commissions of the peace	v. ;	NA
NA	The Proceedings on the King's Commissions of the Peace	v. ;	NA
NA	The Proceedings on the Queen's commission of the peace	v. ;	NA
NA	The Protestant York courant	v. :	NA
NA	The Reading mercury: or, London spy	v. ;	NA
NA	The Reading mercury: or, Weekly post	v. :	NA
NA	The Reading post: or, Weekly mercury	v. ;	NA
NA	The Salisbury and Winchester journal	v. ;	NA
NA	The Salisbury and Winchester journal. And Hampshire and Wiltshire chronicle	v. ;	NA
NA	The Salisbury journal	v. :	NA
NA	The Scots courant	v. ;	NA
NA	The Sheffield public advertiser	v. ;	NA
NA	The Sherborne mercury, or Weekly advertiser	v. ;	NA
NA	The Sherborne weekly journal	v. :	NA
NA	The Stamford mercury	v. ;	NA
NA	The Sunday review	v. ;	NA
NA	The True British courant: Or, Preston journal	v. :	NA
NA	The Universal journal	v. :	NA
NA	The Waterford herald	v. ;	NA
NA	The Weekly remembrancer	5 v. ;	NA
NA	The Western flying-post. Or, Yeovil mercury	v. ;	NA
NA	The Wolverhampton chronicle and Staffordshire advertiser	v. ;	NA
NA	The Worcester journal	v. :	NA
NA	The York chronicle, and general advertiser	v. ;	NA
NA	The Yorkshire journal	v. ;	NA
NA	The flying post	v. ;	NA
NA	The flying post or, the post-master	v. ;	NA
NA	The flying post. Or, the post-master	v. ;	NA
NA	The flying post: or, The post-master	v. ;	NA
NA	The flying post: or, the post-master	v. ;	NA
NA	The flying post; or, the post-master	v. ;	NA
NA	The flying-post: or, Post-boy	v. ;	NA
NA	The flying-post: or, The post-boy	v. ;	NA
NA	The flying-post: or, the post-master	v. ;	NA
NA	The post---man. Containing foreign and domestick news	v. ;	NA
NA	The post-boy	v. ;	NA
NA	The post-boy	v. ;	NA
NA	The post-man	v. ;	NA
NA	The post-man: and the historical account, &c	v. ;	NA
NA	The post-man: and the historical account, &c	v. ;	NA
NA	The post-man: and the historical accunt [sic	v. ;	NA
NA	The weekly miscellany	v. ;	NA
NA	Thomas Hume. The Dublin gazette; or, Weekly courant	v. ;	NA
NA	Walker's Weekly penny journal	v. ;	NA
NA	Walsh's Dublin weekly impartial news-letter	v. ;	NA
NA	Whalley's Dublin-post-man, or Historical account	v. ;	NA
NA	Whalley's General post-man	v. ;	NA
NA	Whalley's flying post	v. ;	NA
NA	Wheeler's Manchester chronicle: or, Weekly advertiser	v. :	NA
NA	Worcester herald	v. ;	NA
NA	Worcester post or, Western journal	v. :	NA
NA	York journal: or, The Protestant courant	v. :	NA
NA	York journal: or, The Weekly advertiser	v. ;	NA
