publication.year	publication.title	document.pages.original	document.pages.total
1785	The progress of romance, through times, countries and manners	2v. ;	293 p.
1786	A new abridgment of the law	5v. ;	3871 p.
1786	A treatise on the administration of the finances of France	3v. ;	NA
1786	An historical and critical review of the civil wars in Ireland	2v. ;	836 p.
1786	An historical and critical review of the civil wars in Ireland	2v. ;	836 p.
1786	Anecdotes of painting in England	4v. ;	1376 p.
1786	Collectanea de rebus Hibernicis	4 vol. ;	NA
1786	Evidences of the Christian religion	2v. ;	342 p.
1786	Evidences of the Christian religion	2v. ;	NA
1786	The Roman history	2v. ;	1030 p.
1786	The Roman history	2v. ;	690 p.
1786	The beauties of the British senate	2v. ;	690 p.
1786	The history of America. By William Robertson, D.D. principal of the University of Edinburgh, historiographer to His Majesty for Scotland, and member of the Royal Academy of History at Madrid	3v. ;	NA
1786	The history of modern Europe	5v. ;	2875 p.
1786	The observer	5v. ;	NA
1787	A treatise on the administration of the finances of France. In three volumes	3v. ;	NA
1787	An authentic copy of the correspondence in India	6v. ;	2206 p.
1787	Anecdotes of eminent painters in Spain	2v. ;	454 p.
1787	History of the English law	4v. ;	2100 p.
1787	History of the English law	4v. ;	NA
1787	The Devil's pocket-book	10 v. ;	NA
1787	The India courier	v. ;	NA
1787	The history of America. By William Robertson, D.D. Principal of the University of Edinburgh, historiographer to His Majesty for Scotland, and member of the Royal Academy of history at Madrid	3v. ;	NA
1787	The history of England	4v. :	NA
1787	The history of the Turkish, or Ottoman Empire	4v. ;	1677 p.
1787	The history of the decline and fall of the Roman Empire	14v. ;	NA
1787	The history of the decline and fall of the Roman empire	v.1-6 ;	NA
1787	The history of the state and sufferings of the Church of Scotland	2v. ;	NA
1787	The observer	3v. ;	NA
1787	The political history of the Italian republics	2v. ;	NA
1788	An account of the various systems of medicine	2v. ;	443 p.
1788	An ecclesiastical history of Scotland	2v. ;	1178 p.
1788	Evidences of the Christian religion	2v. ;	NA
1788	Historical and chronological deduction of the origin of commerce	4v. ;	2855 p.
1788	Lectures on rhetoric and belles lettres	3v. ;	1239 p.
1788	Moral and political dialogues	3v. :	940 p.
1788	Mémoires de Monsieur Le Duc de S. Simon	3v. ;	NA
1788	Proceedings and debates of the General Assembly of Pennsylvania	4 v. ;	NA
1788	Sketches of the history of Man	4v. ;	1935 p.
1788	The Aberdeen magazine, literary chronicle, and review	4 v., :	NA
1788	The Worcester magazine	4 v. :	NA
1788	The county magazine	2 v. ;	NA
1788	The history of Scotland	2v. ;	984 p.
1788	The history of the decline and fall of the Roman Empire	6v. ;	2767 p.
1788	The theological repository	6 v. ;	NA
1789	A history of the people called Quakers	3v. ;	NA
1789	Essai sur l'histoire des comices de Rome, des Etats-Generaux de la France, et du Parlement d'Angleterre	2v. ;	NA
1789	Extra official state papers	2v. ;	452 p.
1789	Gibbon's History of the decline and fall of the Roman Empire, in six volumes, quarto, abridged in two volumes, octavo. ..	2v. ;	NA
1789	Histoire politique de la Révolution en France	2v. ;	767 p.
1789	Histoire secrete de la cour de Berlin	2v. ;	739 p.
1789	Lectures on rhetoric and belles lettres	2v. ;	805 p.
1789	Mémoires de Monsieur le Duc de S. Simon	3v. ;	1110 p.
1789	Tableau historique et politique des deux dernieres révolutions de Genève	2v. ;	654 p.
1789	The British chronologist	3v. ;	NA
1789	The Philadelphian magazine	22 v. ;	NA
1789	The Roman history, from the foundation of the city of Rome, to the destruction of the Western empire	2v. ;	1024 p.
1789	The Templar; or, Monthly register	v.;	NA
1789	The history of England	12v. ;	5161 p.
1789	The history of England	12v. ;	NA
1789	The history of modern Europe	5v. ;	2890 p.
1789	The history of the American Revolution	2 v. ;	727 p.
1789	The history of the decline and fall of the Roman empire	14v. ;	NA
1789	The history of the rise, progress, and establishment, of the independence of the United States of America	3 v. :	1362 p.
1789	The history of the seven years war	2v. ;	708 p.
1789	The roman history	2v. ;	1024 p.
1789	The secret history of the court of Berlin; or, the character of the present King of Prussia, his Ministers, Mistresses, Generals, Courtiers, Favourites, and the Royal Family of Prussia. With numerous Anecdotes of the Potentates of Europe, especially of the late Frederic II. and an interesting Picture of the State of Politics, particularly in Prussia, Russia, Germany, and Holland. In a series of letters, translated from the French. A Posthumous Work. To which is Added A Memorial, presented to the present King of Prussia, on the Day of his Accession to the Throne, By Count Mirabeau. ..	2v. ;	NA
1789	The whole works of the Reverend Robert Millar	8v. ;	3542 p.
1790	A critical review of The Ipswich journal: or, Candid remarks on the disputes both religious and political	3 v. ;	NA
1790	A history of the people called Quakers	4v. ;	2245 p.
1790	An historical developement of the present political constitution of the Germanic empire	3v. ;	1562 p.
1790	Gibbon's history of the decline and fall of the Roman Empire. In six volumes octavo, abridged in two volumes. ..	2v ;	NA
1790	Historical and biographical sketches of the progress of botany in England, from its origin to the introduction of the Linnæan system	2v. ;	NA
1790	Memoirs and travels of Mauritius Augustus Count de Benyowsky; magnate of the kingdoms of Hungary and Poland, one of the chiefs of the confederation of Poland, &c. &c. Consisting of his military operations in Poland, his exile into Kamchatka, his escape and voyage from that Peninsula through the northern Pacific Ocean, Touching at Japan and Formosa, to Canton in China, with an Account of the French Settlement He was Appointed to form upon the Island of Madagascar. Written by himself. Translated from the original manuscript. In two volumes. ..	2v. ;	NA
1790	Memoirs of Great Britain and Ireland	3v. ;	1918 p.
1790	Mr. Gibbon's History of the decline and fall of the Roman Empire	2v. ;	1148 p.
1790	Naval and military memoirs of Great Britain	3v. ;	1555 p.
1790	Naval and military memoirs of Great Britain, from the year 1727, to the present time	6v. ;	NA
1790	Reliques of ancient English poetry	3v. ;	1035 p.
1790	Table générale des matières de la collection universelle des mémoires particuliers relatifs a l'histoire de France. Tome premier	2v. ;	NA
1790	The Loiterer	60 v. ;	NA
1790	The Loiterer, a periodical work in two volumes	2 v. ;	680 p.
1790	The Parliamentary register	9v. ;	NA
1790	The bruce	3v. :	638 p.
1790	The grecian history	2v. ;	898 p.
1790	The historical register	2v. ;	NA
1790	The history of France	3v. ;	1479 p.
1790	The history of ancient Greece, its colonies, and conquests	5v. ;	2020 p.
1790	The history of the American revolution	2v. ;	743 p.
1790	The history of the decline and fall of the Roman Empire	v.7-12 ;	NA
1791	Memoirs of the court of France	2v. ;	1049 p.
1791	The Calcutta magazine, and Oriental museum	v. :	NA
1791	The Calcutta magazine, and Oriental museum	v. :	NA
1791	The bee, or Literary intelligencer	2 v. ;	NA
1791	The history of France, from the first establishment of that monarchy to the present revolution	2v. ;	1047 p.
1791	The history of Greece	2v. ;	NA
1791	The history of Scotland	3v. ;	1187 p.
1791	The history of the American Revolution	2v. ;	743 p.
1791	The history of the progress and termination of the Roman Republic	6v. ;	NA
1792	Anecdotes intéressantes et secrètes de la cour de Russie	6v. ;	1712 p.
1792	Dissertations and miscellaneous pieces	2v. ;	630 p.
1792	Histoire secréte de la cour de Berlin	2v. :	733 p.
1792	Marcus Flaminius	2v. ;	754 p.
1792	Oeuvres de Monsieur de Montesquieu	7 v. in 4 ;	NA
1792	Sacred biography	6v. ;	NA
1792	Speeches of M. de Mirabeau the Elder, pronounced in the National Assembly of France	2v. ;	815 p.
1792	The Flagellant	9 v. ;	NA
1792	The Genius of Kent; or, County miscellany	28 v. ;	NA
1792	The Universal asylum, and Columbian magazine	5 v. :	NA
1792	The Weekly repository of letters	1 v. ;	NA
1792	The history of Rome	2v. ;	1073 p.
1792	The history of Rome	3v. ;	1553 p.
1792	The history of the reign of Philip the Second	3v. ;	1074 p.
1792	The history of the reign of Philip the third	2v. ;	728 p.
1792	The western county magazine	4 v. ;	NA
1793	A comparative display of the different opinions of the most distinguished British writers on the subject of the French revolution. In two volumes. ..	2v. ;	NA
1793	An historical and critical review of the civil wars in Ireland, from the reign of Queen Elizabeth, to the settlement under King William	2v. ;	NA
1793	An history of the corruptions of Christianity	2v. ;	NA
1793	Crell's Chemical journal	3 v. ;	NA
1793	Cylch-grawn Cynmraeg; neu drysorfa gwybodaeth	3 v. ;	NA
1793	Historic proof of the doctrinal Calvinism of the Church of England	2v. ;	720 p.
1793	Lectures on rhetoric and belles lettres	2v. ;	967 p.
1793	Legal recreations	2v. ;	NA
1793	Ogygia	2v. ;	804 p.
1793	The Columbian museum, or, Universal asylum	v. ;	NA
1793	The Roman history from the foundation of the city of Rome, to the destruction of the Western Empire	2v. ;	1035 p.
1793	The Scots magazine	45 v. :	NA
1793	The history of Spain	3v. ;	1455 p.
1793	The history of Spain	2v. ;	818 p.
1793	The history of the American revolution	2v. ;	737 p.
1793	The history of the reign of Philip the Third	2v. ;	871 p.
1793	The weekly magazine and historical register	v. ;	NA
1793	The works of the late Right Honorable Henry St. John	5v. ;	2916 p.
1794	A new general history of Scotland	5v. ;	3400 p.
1794	Dernier tableau de Paris	2v. ;	837 p.
1794	Journal durant un séjour en France	2v. ;	601 p.
1794	Letters on the crimes of George III, addressed to citizen Denis; by an American officer, in the service of France. Part I	2v. ;	NA
1794	Memoirs of General Dumourier	2v. ;	481 p.
1794	Memoirs of General Dumourier. Written by himself. Translated by John Fenwick. Part I	2v. ;	NA
1794	Memoirs of the court of Augustus	7v. ;	NA
1794	Mémoires	2v. ;	NA
1794	Mémoires Du Général Dumouriez, écrits par lui-même	2v. ;	237 p.
1794	Sacred history: or The historical part of the Holy Scriptures of the Old and New Testaments	3v. ;	1352 p.
1794	Tableau de L'Europe, par J. Peltier. Vol. I	2v. ;	797 p.
1794	Testament politique	2v. ;	NA
1794	The bee, or Literary weekly intelligencer	v. ;	NA
1794	The history of Scotland	2v. ;	1242 p.
1794	The history of modern Europe	5v. ;	2290 p.
1794	The history of modern Europe	5v. ;	2495 p.
1794	The history of the origin, progress, and termination of the American War	2v. ;	919 p.
1794	The history of the reign of Philip the Second	3v. ;	1285 p.
1794	The history of the rise, progress, and establishment of the independence of the United States of America	3 v. :	1334 p.
1794	The political magazine	v. ;	NA
1794	Welsh magazine, ... y cylchgrawn	2 v. ;	NA
1795	... A picture of the times	30 v. ;	NA
1795	A view of Irish affairs since the Revolution of 1688	2v. ;	NA
1795	A view of the causes and progress of the French Revolution	2v. ;	982 p.
1795	A view of the causes and progress of the French Revolution	2v. ;	NA
1795	An enquiry into the foundation and history of the law of nations in Europe	2v. ;	1140 p.
1795	An enquiry into the foundation and history of the law of nations in Europe	2v. ;	672 p.
1795	De orygynale cronykil of Scotland, be Androw of Wyntown, priowr of sanct serfis ynche in loch levyn	2v. ;	1052 p.
1795	Evidences of the Christian religion	2v. ;	324 p.
1795	Histoire de la révolution du 10 aoust 1792	2v. ;	981 p.
1795	Italian magazine	2 v. ;	NA
1795	La vie du Général Dumouriez. ..	3v. ;	1257 p.
1795	Marcus Flaminius	2v. ;	NA
1795	Memoirs of the reign of George III	4v. ;	1515 p.
1795	Memoirs of the reign of George III	4v. ;	NA
1795	Official letters to the Honorable American Congress	2v. ;	758 p.
1795	Official letters to the Honorable American Congress	2v. ;	NA
1795	Official letters to the Honorable American Congress	2 v. ;	NA
1795	The American remembrancer; or, An impartial collection of ..	3 v. ;	888 p.
1795	The English review, or An Abstract of English and foreign literature	26 v. ;	NA
1795	The Literary review, and historical journal	v. ;	NA
1795	The Scottish register; or, General view of history, politics & literature	6 v. ;	2267 p.
1795	The history of England	2v. ;	NA
1795	The history of France, from the first establishment of that monarchy, brought down to, and including a complete narrative of the late revolution	3v. ;	NA
1795	The history of the rise, increase, and progress of the Christian people called Quakers	2v. ;	NA
1795	The history of women, from the earliest antiquity, to the present time	2v. in 10parts :	NA
1795	The rural magazine: or, Vermont repository	2 v. ;	NA
1796	A geographical, commercial, and philosophical view of the present situation of the United States of America	4v. :	2250 p.
1796	A history of New-England, with particular reference to the denomination of Christians called Baptists	3 v. ;	NA
1796	An appeal to impartial posterity	2v. ;	797 p.
1796	An authentic account of old and new Sarum, the cathedral, and other public buildings	[No pagination provided] ;	NA
1796	An historical, geographical, commercial, and philosophical view of the United States of America, and of the European settlements in America and the West-Indies	4 v. :	NA
1796	Appel a l'impartiale postérité	2v. ;	827 p.
1796	Contemplations on the historical passages of the Old and New Testament	3v. ;	NA
1796	Description topographique et politique de la partie espagnole de l'isle Saint-Domingue	2v. :	686 p.
1796	History of Great Britain	2v. ;	969 p.
1796	Memoirs of the reign of George III	4v. ;	1555 p.
1796	Memoirs of the reign of George III. to the session of Parliament ending A.D. 1793	2v. ;	1053 p.
1796	Official letters to the Honorable American Congress	2v. : ;	611 p.
1796	The Argus; or, General observer	1 v. :	NA
1796	The English review	168 v. ;	NA
1796	The English review of literature, science, discoveries, inventions	2 v. ;	NA
1796	The Universal politician and periodical reporter	v. ;	NA
1796	The Watchman	10 v. ;	NA
1796	The grecian history	2v. ;	896 p.
1796	The history of England	6v. :	3079 p.
1796	The history of France, from the accession of Henry the third, to the death of Louis the fourteenth	3v. ;	NA
1796	The history of Jacobinism, its crimes, cruelties and perfidies	2v. ;	NA
1796	The history of women, from the earliest antiquity, to the present time	2 v. :	NA
1796	The life of General Dumouriez. In three volumes. ..	3v. ;	1430 p.
1796	The political state of Europe, for the year ..	10 v. :	5455 p.
1796	Y geirgrawn: neu drysorfa gwybodaeth	v. ;	NA
1797	A history of inventions and discoveries	3v. ;	1438 p.
1797	A residence in France, during the years 1792, 1793, 1794, and 1795	2v. ;	958 p.
1797	A residence in France, during the years 1792, 1793, 1794, and 1795	2v. ;	994 p.
1797	A residence in France, during the years 1792, 1793, 1794, and 1795	2v. ;	990 p.
1797	A vindication of divine providence	2v. :	774 p.
1797	Histoire de la révolution du dix aoust 1792	2v. ;	878 p.
1797	Journal de France et d'Angleterre	3 v. ;	NA
1797	Mémoires pour servir à l'histoire du Jacobinisme	4v. ;	1996 p.
1797	Mémoires secrets pour servir a l'histoire de la dernière année du règne de Louis XVI	3v. ;	1023 p.
1797	Mémoires sur la Révolution française	2v. ;	1035 p.
1797	On the French revolution	2v. ;	946 p.
1797	Secret history of the French Revolution	2v. ;	911 p.
1797	The Monthly epitome	v. ;	NA
1797	The Newhampshire & Vermont magazine and general repository	v. ;	NA
1797	The history of America	2v. ;	1047 p.
1797	The history of England	3v. :	NA
1797	The history of Greece	v.5-6 ;	NA
1797	The history of Greece	2v. ;	NA
1797	The new star	26 v. ;	NA
1797	The roman history	2v. ;	1025 p.
1798	A topographical and political description of the Spanish part of Saint-Domingo	2v. ;	NA
1798	American biography: or, An historical account of those persons who have been distinguished in America, as adventurers, statesmen, philosophers, divines, warriors, authors, and other remarkable characters	2v. ;	NA
1798	An appeal to impartial posterity: By Madame Roland, wife of the minister of the interior: or, A collection of tracts written by her during her confinement in the prisons of the Abbey, and St. Pelagie, in Paris	2v. ;	NA
1798	Essai historique sur la destruction de la ligue & de la liberté helvétiques	4v. ;	658 p.
1798	History of Great Britain	2v. ;	930 p.
1798	History of Scotland	5v. ;	3406 p.
1798	South-Carolina weekly museum, and complete magazine of entertainment and intelligence	3 v. ;	NA
1798	The History of the British Empire, from the year 1765, to the end of 1783	2v. :	NA
1798	The history of America	2v. ;	NA
1798	The history of England	6v. :	3358 p.
1798	The history of Pennsylvania, in North America	2v. :	NA
1798	The history of the rebellion and civil wars in England	12v. ;	NA
1798	The life of Edward Earl of Clarendon, Lord High Chancellor of England, and Chancellor of the University of Oxford	5v. ;	NA
1798	The works of Mr. Daniel Roderick O'Conor	2v. ;	729 p.
1799	A brief history of epidemic and pestilential diseases	2 v. ;	NA
1799	Biographical memoirs of the French Revolution. By John Adolphus, F.S.A. In two volumes. ..	2v. ;	1033 p.
1799	Essays philosophical and moral, historical and literary	2v. ;	NA
1799	Histoire des rʹevolutions de la rʹepublique romaine	3v. ;	NA
1799	Memoirs illustrating the history of Jacobinism	4v. :	NA
1799	Memoirs of the courts of Berlin, Dresden, Warsaw, and Vienna	2v. ;	928 p.
1799	Memoirs of the courts of Berlin, Dresden, Warsaw, and Vienna	2v. ;	NA
1799	Strictures on the modern system of female education	2v. ;	NA
1799	Strictures on the modern system of female education	2v. ;	NA
1799	Strictures on the modern system of female education	2v. ;	644 p.
1799	Strictures on the modern system of female education	2v. ;	NA
1799	Strictures on the modern system of female education	2 v. ;	NA
1799	Strictures on the modern system of female education	2v. ;	NA
1799	Tableau historique et politique des pertes que la révolution et la guerre ont causées au peuple français	2v. ;	628 p.
1799	The Anti-Union	32 v. ;	NA
1799	The Edinburgh clerical review; or, Weekly report	2 v. ;	NA
1799	The Friends monthly magazine	v. ;	NA
1799	The life of Lorenzo de' Medici	4v. ;	1111 p.
1799	The politician's creed	3v. ;	NA
1799	Tracts on the subject of an union	6v. ;	NA
1800	A complete history of the English stage	5v. ;	NA
1800	A development of remarkable events	2v. ;	NA
1800	A history of England	2v. ;	NA
1800	A journal or historical account of the life, travels, sufferings, Christian experiences, and labour of love in the work of the ministry, of that ancient, eminent, and faithful servant of Jesus Christ, George Fox	2 v. ;	NA
1800	An Act to revive, with amendments, an Act passed last Session of Parliament, entitled, An Act for the suppression of the rebellion which still unhappily exists within this kingdom, and for the protection of the persons and properties of His Majesty's faithful subjects within the same	[No pagination provided] ;	NA
1800	Athenian letters	3v. ;	NA
1800	Greal, neu eurgrawn: sef trysorfa-gwybodaeth	v. ;	NA
1800	Literary hours	2v. ;	NA
1800	Memoirs of the courts of Berlin, Dresden, Warsaw, and Vienna	2v. ;	NA
1800	Mercure Britannique; ou notices historiques et critiques	5 v.	NA
1800	Mercure Britannique; ou notices historiques et critiques	v.	NA
1800	Mercurio Britannico ossia Notizie storico-critiche sugli afari attualli	5 v.	NA
1800	National magazine; or, A political, historical, biographical, and literary repository	v. ;	NA
1800	New picture of Paris	2v. ;	NA
1800	New picture of Paris	2v. ;	NA
1800	The Asiatic annual register; or, A view of the history of Hindustan	v. :	NA
1800	The Dramatic censor; or, Weekly theatrical report	26 v. :	NA
1800	The Dramatic censor; or, Weekly theatrical report	2 v. :	NA
1800	The Grecian history, from the earliest state, to the death of Alexander the great	2v. ;	NA
1800	The London review, and Biographia literaria	v. ;	NA
1800	The historical, biographical, literary, and scientific magazine	3v. ;	NA
1800	The history of England	3v. :	NA
1800	The history of the rise, increase, and progress of the Christian people called Quakers	2v. ;	NA
1800	The works	7v. ;	NA
1800	Tracts on the subject of an union, between Great Britain & Ireland, volume the fifth	vols. 5-8;	NA
1801	The dramatic censor; or, Monthly epitome of taste, fashion, and manners	2 v. ;	NA
1801	The history of modern Europe	5v. ;	NA
1802	A collection of state papers	11v. ;	NA
1803	The Scots magazine	v. ;	NA
1803	The Scots magazine; or, General repository of literature, history and politics	10 v. :	NA
1813	T. Livii patavini historiarum, ab urbe condita, libri qui supersunt XXXV. Textum recognovit, selectis Variorum notis illustravit, suasque aliquot adjecit Johannes Walker, ..	7v. ;	NA
1815	Bulletins of the campaign ..	v. ;	NA
1817	The Critical review	329 v. ;	NA
1817	The Critical review: or, Annals of literature	144 v. ;	NA
1819	The Weekly entertainer	v. ;	NA
1819	The Weekly entertainer; or Agreeable and instructive repository	59 v. ;	NA
NA	Anthologia Hibernica: or, Monthly collections of science, belles lettres, and history	24 v. :	NA
NA	Caledonian weekly magazine, or Edinburgh intelligencer	v. ;	NA
NA	The British mercury; or, Historical and critical views of the events of the present times	5 v. (36 no.) ;	NA
NA	The Dramatic censor; or, Monthly epitome of taste, fashion, and manners	v. :	NA
NA	The East-India miscellany: for ..	v. :	NA
NA	The Microscope; or, Minute observer	v. ;	NA
NA	The New annual register, or General repository of history, politics, and literature	46 v. :	NA
NA	The North British intelligencer; or, Constitutional miscellany	v. ;	NA
NA	The Political cabinet: or, An impartial review of the most remarkable occurrences of the world, particularly of Europe. ..	12 v. ;	NA
NA	The historical register	92 v. ;	NA
