tokens,amounts,keep_stop,
Williams.,6,,
College-Green.,6,,
Harold.,6,,
Joseph.,6,,
Chase.,6,,
MDCCXII.,6,1,
Debrett.,6,,
Reading.,6,,
1680,6,,
Baskett.,6,,
Jordan.,6,,
Deboffe.,6,,
Boosey.,6,,
1772,6,,
Peacock.,6,,
Robbins.,6,,
Blackfriars.,6,,
Cruttwell.,6,,
Chas.,6,1,
John.,6,,
authority.,6,,
Cochrane.,6,,
MDCCLXI.,6,1,
Mair.,6,,
Mathews.,6,,
M.DCC.LXVII.,6,1,
I.P.,6,1,
Typ.,6,1,
1749,6,,
M.DCC.LIX.,6,1,
Pallmall.,6,,
1767,6,,
Hitch.,6,,
Cowslade.,6,,
20th.,6,1,
Elysees.,6,,
Lowndes.,6,,
Browne.,6,,
Lach.,6,1,
deceased.,6,,
year.,6,,
Zech.,6,1,
Closs.,6,,
Pubd.,6,1,
Hay-Market.,6,,
Minshull.,6,,
Hassall.,6,,
1762,6,,
Poole.,6,,
1718,6,,
Halifax.,6,,
Lewis.,6,,
Pemberton.,6,,
3d.,6,1,
Excus.,6,,
water-side.,6,,
Skinner-Row.,6,,
1724,6,,
Imp.,6,1,
144,6,,
Akenhead.,6,,
S.J.,6,1,
Churchyard.,6,,
J[ones].,6,1,
El.,6,1,
T[imothy].,6,1,
Newhampshire.,6,,
D.C.,6,1,
T.E.,6,1,
Law.,6,,
VVill.,6,1,
1673,6,,
C[ruttenden].,6,,
L.W.,6,1,
N[eile].,6,1,
I.N.,6,1,
sale.,6,,
F.G.,6,1,
M[ercy].,6,1,
G.R.,6,1,
L[ee].,6,1,
(i.e.,6,1,
1652,6,,
Johann.,6,,
Novem.,6,,
S[usan].,6,1,
Hum.,6,1,
Ludgate-street.,6,,
B[lagrave].,6,1,
G.S.,6,1,
C.H.,6,1,
B.W.,6,1,
B[rudenell].,6,1,
8th.,6,1,
1658,6,,
1645,6,,
D[awks].,6,1,
Chapel.,6,,
S.M.,6,1,
Churchill.,6,,
M[ichael].,6,1,
Gent.,6,1,
command.,6,,
town.,6,,
LXXXIV.,6,1,
Hayes.,6,,
W[ilkins].,6,1,
Saint.,6,,
1559,6,,
1634,6,,
Lorde.,6,,
priuilegio.,6,,
worde.,6,,
Crosse.,6,,
starre.,6,,
Wolfe.,6,,
aed.,6,1,
Legat.,6,1,
sel.,6,1,
domini.,6,1,
Adams.,6,,
Ao.,6,1,
Burkitt.,6,,
Fetter-Lane.,6,,
LXXXV.,6,1,
LXXI.,6,1,
Gracechurch-Street.,6,,
1734,6,,
LXXX.,6,1,
MDCCLXXIII.,6,1,
Smart.,6,,
Up.,6,1,
1773,6,,
Dicey.,6,,
varu.,6,1,
Heol-Awst.,6,,
King-Street.,6,,
Bride-Lane.,6,,
Oxonia.,6,,
Haswell.,6,,
Loring.,6,,
bookstore.,6,,
Loudon.,6,,
Pearl-Streets.,6,,
25s.,6,1,
Carey.,6,,
State-House.,6,,
places.,6,,
N.H.,6,1,
Boddely.,5,,
Murray.,5,,
Town.,5,,
Job.,5,1,
Bar.,5,,
Wilkes.,5,,
Ross.,5,,
Oxford-Street.,5,,
New-England.,5,,
MDCCLIX.,5,1,
Messers.,5,1,
Whitridge.,5,,
Winterbotham.,5,,
Salter.,5,,
Reilly.,5,,
Galf.,5,1,
1656,5,,
Upper-Moorfields.,5,,
M'Lean.,5,,
Milliken.,5,,
pubd.,5,1,
Amb.,5,1,
Mews-Gate.,5,,
F.A.,5,1,
Stirling.,5,,
Etherington.,5,,
Symson.,5,,
Feby.,5,1,
1654,5,,
74,5,,
Walker.,5,,
Sti.,5,1,
nos.,5,1,
E.J.,5,1,
Small-Street.,5,,
5s.,5,1,
10s.,5,1,
authors.,5,,
MDCCLVIII.,5,1,
L'Homme.,5,,
Head.,5,,
M.DCC.LXXXVI.,5,1,
MDCCLXXXI.,5,1,
Dodd.,5,,
engraver.,5,,
Major.,5,,
MDCXCI.,5,1,
44,5,,
Emm.,5,1,
102,5,,
house.,5,,
reprinted.,5,,
Russel-Street.,5,,
George.,5,,
Vaillant.,5,,
1754,5,,
Syl.,5,1,
Philadelphia.,5,,
Leith.,5,,
Suffolk.,5,,
Scott.,5,,
MDCCXXVIII.,5,1,
Boffe.,5,,
McDowall.,5,,
Barrois.,5,,
Ber.,5,1,
1756,5,,
1741,5,,
1722,5,,
Moore.,5,,
MDCCXXXII.,5,1,
Rosser.,5,,
Butler.,5,,
M.DCC.LXXI.,5,1,
Frid.,5,1,
Draper.,5,,
MDCCLXX.,5,1,
Wales.,5,,
1733,5,,
1750,5,,
1757,5,,
M.DCC.LXXXV.,5,1,
Teape.,5,,
56,5,,
bibliopolas.,5,,
dict.,5,1,
Coghlan.,5,,
MDCCLXIV.,5,1,
Ware.,5,,
Drummond.,5,,
M.DCC.LXXXIII.,5,1,
LXXXIII.,5,1,
Ave-Maria-Lane.,5,,
Duncan.,5,,
sociis.,5,,
12th.,5,1,
W.M.,5,1,
I[ane].,5,1,
Temple-bar.,5,,
Oct.,5,1,
rates.,5,,
Parks.,5,,
S[mith].,5,1,
I[saac].,5,1,
E[dwards].,5,1,
terms.,5,,
42,5,,
J.V.,5,1,
X.,5,1,
numb.,5,1,
Leo.,5,1,
R[uth].,5,1,
N.A.,5,1,
M[abb].,5,1,
S.T.,5,1,
T[wyn].,5,1,
H[erringman].,5,1,
1668,5,,
bibl.,5,1,
Robert.,5,,
Ios.,5,1,
T.V.,5,1,
Pet.,5,1,
Sawbridge.,5,,
Roycroft.,5,,
M.R.,5,1,
Typograph.,5,1,
F.B.,5,1,
28th.,5,1,
MDCXCVIII.,5,1,
excud.,5,1,
1615,5,,
Rand.,5,1,
1662,5,,
S[nowden].,5,1,
1669,5,,
B[rent].,5,1,
P[owell].,5,1,
Pell-Mell.,5,,
Universitie.,5,,
J.E.,5,1,
O.P.,5,1,
P[ierce].,5,1,
book-sellers.,5,,
H[arris].,5,1,
B[rabazon].,5,1,
Humph.,5,,
Typogr.,5,,
Young.,5,,
Mil.,5,1,
B.T.,5,1,
Alsop.,5,,
1651,5,,
P.S.,5,1,
impensis.,5,,
church.,5,,
Majesties.,5,,
Hudgebutt.,5,,
them.,5,,
side.,5,,
authoris.,5,,
The.,5,,
Market.,5,,
VIII.,5,1,
England.,5,,
doz.,5,1,
Societat.,5,,
Author.,5,,
servt.,5,1,
E[liz.].,5,1,
I[aggard].,5,1,
Starre.,5,,
lorde.,5,,
Tottyll.,5,,
1593,5,,
1605,5,,
1612,5,,
Martyns.,5,,
M.D.L.,5,1,
sumpt.,5,1,
1633,5,,
1604,5,,
1635,5,,
Wight.,5,,
Whitchurche.,5,,
Legatt.,5,,
V.S.,5,1,
Veseler.,5,,
Aprilis.,5,,
N.O.,5,1,
impressum.,5,,
Webster.,5,,
Gottl.,5,1,
James.,5,,
auctoris.,5,,
M.DCC.XCI.,5,1,
Walsh.,5,,
Cantabr.,5,1,
MDCCL.,5,1,
1782,5,,
Chester.,5,,
111,5,,
Bibliopolae.,5,,
Hoffmann.,5,,
1728,5,,
Hood.,5,,
MDCCXLI.,5,1,
Faulder.,5,,
Caw.,5,,
Mathurins.,5,,
MDCCXXI.,5,1,
d'or.,5,,
Royal.,5,,
sold.,5,,
B.L.,5,1,
Ford.,5,,
Deighton.,5,,
MDCCXCIII.,5,1,
LXXV.,5,1,
M.DCC.XCVI.,5,1,
Coverly.,5,,
store.,5,,
Jun'r.,5,1,
Bartgis.,5,,
So.,5,1,
Front-Street.,5,,
Swaine.,5,,
book-store.,5,,
Pearl-Street.,5,,
New-Haven.,5,,
work.,5,,
Esqrs.,4,1,
libraire.,4,,
chez.,4,1,
Commons.,4,,
Cave.,4,,
Dod.,4,1,
86,4,,
Zach.,4,,
1732,4,,
M.DCC.LXXVI.,4,1,
Porter.,4,,
Wallis.,4,,
Constable.,4,,
MDCCX.,4,1,
Nro.,4,1,
company.,4,,
Esqs.,4,1,
Mundell.,4,,
M.DCC.LXXVII.,4,1,
59,4,,
Hu.,4,1,
MDCCXXXVIII.,4,1,
Ruddimanni.,4,,
Belin.,4,,
Turle.,4,,
Moir.,4,,
MDCCII.,4,1,
Lake.,4,,
1731,4,,
Free.,4,,
Bennet.,4,,
XCIV.,4,1,
Ipswich.,4,,
Knott.,4,,
Sergents.,4,,
r.,4,1,
Owen.,4,,
Cockey-Lane.,4,,
Keith.,4,,
l'editeur.,4,,
Randall.,4,,
Sleater.,4,,
Fenchurch-Street.,4,,
Tourneisen.,4,,
Dauphine.,4,,
30th.,4,1,
Stationer.,4,,
Leicester-Fields.,4,,
1736,4,,
Sherborne.,4,,
Griffiths.,4,,
Becket.,4,,
MDCCXXIV.,4,1,
Knapton.,4,,
7th.,4,1,
J.G.A.,4,1,
LXXII.,4,1,
Colchester.,4,,
Hanging-Bridge.,4,,
Almon.,4,,
pub.,4,,
Dunoyer.,4,,
Bp.,4,1,
Libraire.,4,1,
M.DCCC.,4,,
Nicoll.,4,,
Roi.,4,,
Sheardown.,4,1,
M.DCC.LXXVIII.,4,,
1737,4,,
Kearsley.,4,,
King.,4,,
F.Z.,4,,
Abram.,4,,
Pissot.,4,,
M.DCC.XC.,4,,
M.DCC.LIII.,4,,
D.E.,4,,
MDCCV.,4,,
Colbert.,4,,
Sigism.,4,,
M.DCC.XXXVII.,4,,
Dornin.,4,,
Hawes.,4,,
Rickaby.,4,,
Me.,4,,
F.D.,4,,
Wilkie.,4,,
Stewart.,4,,
LXXVI.,4,,
Gilbert.,4,,
et.,4,,
Heptinstall.,4,,
89,4,,
widow.,4,,
Knaplock.,4,,
Oliv.,4,,
Orr.,4,,
Knight.,4,,
Pugh.,4,,
Tonson.,4,,
son.,4,,
H.J.,4,,
Tymbs.,4,,
Heath.,4,,
general.,4,,
Lang.,4,,
Palais.,4,,
Celsiss.,4,,
Dame-street.,4,,
Didot.,4,,
Ino.,4,,
world.,4,,
MDCCXXXI.,4,,
bridge.,4,,
Eliph.,4,,
Coll.,4,,
Andrew.,4,,
B[uchanan].,4,,
Edw[ard].,4,,
F[leury].,4,,
D[elahoy].,4,,
proprietors.,4,,
etc.,4,,
Exeter.,4,,
Ran.,4,,
Pub.,4,,
Messr.,4,,
Dor.,4,,
Dexter.,4,,
Typographus.,4,,
Ll.,4,,
Middle-Temple-Gate.,4,,
XCIII.,4,,
R[adcliffe].,4,,
L[ivewell].,4,,
H[ammond?].,4,,
Obad.,4,,
L[arkin].,4,,
Popes-Head-Alley.,4,,
MDCC.,4,,
impens.,4,,
8vo.,4,,
I[nman].,4,,
place.,4,,
Husbands.,4,,
S.E.,4,,
S.L.,4,,
July.,4,,
Decem.,4,,
R[anew].,4,,
E.O.,4,,
H.E.,4,,
[...,4,,
O[badiah].,4,,
O[rme].,4,,
G.E.,4,,
C[otrell].,4,,
vic.,4,,
chappel.,4,,
Philem.,4,,
L[odowick].,4,,
C.VV.,4,,
superiorum.,4,,
Pierce.,4,,
S.N.,4,,
MDCXC.,4,,
B[onny].,4,,
W[inter].,4,,
H.G.,4,,
1671,4,,
Little-Brittain.,4,,
S[eile].,4,,
La.,4,,
A.I.,4,,
S.K.,4,,
Baily.,4,,
Chris.,4,,
Sewall.,4,,
Guill.,4,,
Eld.,4,,
typographeo.,4,,
I.S.,4,,
Henric.,4,,
Ven.,4,,
Harper.,4,,
pag.,4,,
trade.,4,,
Timo.,4,,
Gilb.,4,,
Essex.,4,,
lib.,4,,
Mons.,4,,
A.M.W.O.,4,,
1588,4,,
Dawson.,4,,
Laur.,4,,
ven.,4,,
MDCXCVII.,4,,
Crooke.,4,,
Obed.,4,,
Basset.,4,,
Leach.,4,,
W[ood].,4,,
West-Smithfield.,4,,
Jo[hn].,4,,
I.T.,4,,
Francoise.,4,,
B[ridget].,4,,
S[nowdon].,4,,
Crook.,4,,
London].,4,,
M.[i.e.,4,,
S.[i.e.,4,,
Ed[ward].,4,,
edition.,4,,
LXI.,4,,
T[rundle].,4,,
septennium.,4,,
B[urby].,4,,
1594,4,,
Stansby.,4,,
[Eliz.,4,,
Charteris.,4,,
1614,4,,
1628,4,,
1580,4,,
Benjam.,4,,
Martines.,4,,
[Y.,4,,
1607,4,,
1608,4,,
VVorde.,4,,
Denham.,4,,
me.,4,,
Berth.,4,,
excu.,4,,
1595,4,,
Ioann.,4,,
Binneman.,4,,
impressorem.,4,,
W[indet].,4,,
Pynson.,4,,
Matie.,4,,
god.,4,,
Daye.,4,,
maiestie.,4,,
Avg.,4,,
de.,4,,
exp.,4,,
ex.,4,,
stationers.,4,,
lane.,4,,
Coombs.,4,,
XCIX.,4,,
MDCCXXIX.,4,,
Golden-Square.,4,,
Fuller.,4,,
Burlington.,4,,
Marchbank.,4,,
MDCCXXXIII.,4,,
Crown.,4,,
DCCC.,4,,
Market-Place.,4,,
151,4,,
Clements.,4,,
Editor.,4,,
Shrewsbury.,4,,
MDCCXIX.,4,,
Nicol.,4,,
Parliament-Square.,4,,
XCVIII.,4,,
M.DCC.LXXIX.,4,,
Menilmontant.,4,,
Monk.,4,,
Salisbury.,4,,
Revd.,4,,
High-Ousegate.,4,,
Buckland.,4,,
James's-Square.,4,,
Bridge-Street.,4,,
1723,4,,
agent.,4,,
M.DCC.LXIII.,4,,
Noster-Row.,4,,
Libraires.,4,,
MDCCLV.,4,,
MDCCVII.,4,,
Bremner.,4,,
Play-House.,4,,
MDCCXXII.,4,,
Fleming.,4,,
Warren.,4,,
Terry.,4,,
Alexander.,4,,
MDCCXXXVI.,4,,
Fred.,4,,
Silver-Street.,4,,
charity.,4,,
M.DCC.LXX.,4,,
Southampton.,4,,
27th.,4,,
M.DCC.XCII.,4,,
(pr.,4,,
P.G.,4,,
MDCCLXXXIX.,4,,
MDCCXCVI.,4,,
Carter.,4,,
Sq.,4,,
MDCCIV.,4,,
re-printed.,4,,
MDCCXLVII.,4,,
M.DCC.XLVIII.,4,,
states.,4,,
Niles.,4,,
[Mass.,4,,
Quaker-Lane.,4,,
Arch-Street.,4,,
Q.,4,,
Dunlap.,4,,
Massachusetts.,4,,
Newport.,4,,
States.,4,,
Mycall.,4,,
sheets.,4,,
offices.,4,,
M.DCC.XLIV.,3,,
MDCCLIII.,3,,
D.L.,3,,
By.,3,,
1554,3,,
Messirs.,3,,
Crowder.,3,,
Exshaw.,3,,
LXVI.,3,,
Davenport.,3,,
Swinney.,3,,
MDCCXI.,3,,
Poland-Street.,3,,
leg.,3,,
Laing.,3,,
York-Street.,3,,
Four-Courts.,3,,
translator.,3,,
Bow-Church-Yard.,3,,
Darling.,3,,
MDCCXLIV.,3,,
Pret.,3,,
Todd.,3,,
Sootheran.,3,,
MDCCXXV.,3,,
May-Fair.,3,,
Neilson.,3,,
Edin.,3,,
Galabin.,3,,
Upper-Moor-Fields.,3,,
LII.,3,,
September.,3,,
Bew.,3,,
63,3,,
Desenne.,3,,
Curll.,3,,
Mitchell.,3,,
Kingdom.,3,,
Septr.,3,,
Sciences.,3,,
Step.,3,,
Morphew.,3,,
j.,3,,
Seeley.,3,,
Story.,3,,
Ridgway.,3,,
1721,3,,
M.DCC.XXIII.,3,,
35,3,,
Bonham.,3,,
Burnside.,3,,
Roach.,3,,
Aylmer.,3,,
MDCCI.,3,,
Brett.,3,,
Liverpool.,3,,
MDCCLII.,3,,
M.DCC.LXI.,3,,
him.,3,,
Decr.,3,,
Matchett.,3,,
Francq.,3,,
Books.,3,,
book-seller.,3,,
Chez.,3,,
Bettesworth.,3,,
Brotherton.,3,,
Market-Street-Lane.,3,,
24th.,3,,
274,3,,
Steiner.,3,,
(Mr.,3,,
C.G.J.,3,,
Bateson.,3,,
Delage.,3,,
Lincoln's-Inn.,3,,
MDCCXXVII.,3,,
9th.,3,,
Han.,3,,
-G.,3,,
Hay.,3,,
LXXXIX.,3,,
warehouse.,3,,
Sayer.,3,,
Stuart.,3,,
nouveautés.,3,,
Forrest.,3,,
Button.,3,,
J...,3,,
T...,3,,
M.-M.,3,,
Overton.,3,,
Leake.,3,,
Theater.,3,,
Hoey.,3,,
Mgr.,3,,
Darby.,3,,
Albin.,3,,
Cantabrigiensis.,3,,
Gosse.,3,,
M.DCC.LXXII.,3,,
register.,3,,
81,3,,
D.J.,3,,
Bull-Street.,3,,
S.A.R.,3,,
Parsons.,3,,
Crosby.,3,,
agt.,3,,
LXVII.,3,,
shops.,3,,
MDCCLXC.,3,,
Printer.,3,,
King's-Arms.,3,,
Cook-Street.,3,,
Walford.,3,,
Oliver.,3,,
Jeff.,3,,
15th.,3,,
T.T.,3,,
Corner.,3,,
Bowles.,3,,
C.F.,3,,
Königl.,3,,
23d.,3,,
Heinr.,3,,
J.W.J.,3,,
W[aters].,3,,
I[chabod].,3,,
A[aron].,3,,
Norman.,3,,
H.T.,3,,
H.V.,3,,
College-Street.,3,,
P[atrick].,3,,
A[ugustus].,3,,
Maiden-Lane.,3,,
147,3,,
S[tephens].,3,,
1665,3,,
Oulton.,3,,
D[ever].,3,,
J.D[arby].,3,,
S[owle].,3,,
M[oore].,3,,
A[shburne].,3,,
academici.,3,,
E[llis].,3,,
Ludgate-hill.,3,,
G[ismond].,3,,
Lod.,3,,
Tyler.,3,,
L[illicrap].,3,,
C[alvert].,3,,
Winchester.,3,,
1664,3,,
T.N[ewcomb].,3,,
Guli.,3,,
Nev.,3,,
G[illyflower].,3,,
E.L.,3,,
F.E.,3,,
H.A.,3,,
G.[i.e.,3,,
F.T.,3,,
1622,3,,
C[oates].,3,,
B[entley].,3,,
Gabr.,3,,
LX.,3,,
Conduit.,3,,
P[onder].,3,,
A.F.,3,,
E.D.,3,,
C[lowes].,3,,
Septem.,3,,
W[ilde].,3,,
M[oxon].,3,,
B[eardwell].,3,,
A.K.,3,,
Th[omas].,3,,
Greg.,3,,
MDCXCIX.,3,,
Gu.,3,,
B[edell].,3,,
assign.,3,,
Bibl.,3,,
Imprim.,3,,
Westminster-hall.,3,,
1672,3,,
Lombard-street.,3,,
1620,3,,
Chr[istopher].,3,,
M[ilbourne].,3,,
Ga.,3,,
Du-Gard.,3,,
U[nderhill].,3,,
M[eredith].,3,,
Joa.,3,,
Lau.,3,,
MDCXCII.,3,,
Ste.,3,,
B[ourne].,3,,
M[otte].,3,,
N.M.,3,,
XLVI.,3,,
F[letcher].,3,,
C.L.,3,,
Popes-head-Alley.,3,,
P.W.,3,,
Tooke.,3,,
M.DC.LXI.,3,,
Banckes.,3,,
B[rome].,3,,
I.K.,3,,
Nags-Head.,3,,
Redmayne.,3,,
Brittain.,3,,
1696/7.,3,,
others.,3,,
XCVI.,3,,
thereof.,3,,
C[ole].,3,,
Newgate-street.,3,,
N[ewman].,3,,
Na.,3,,
Cantabrig.,3,,
1667,3,,
Sa[muel].,3,,
B[ulkley].,3,,
P.H.,3,,
Barn.,3,,
Thackery.,3,,
Ch[arles].,3,,
Scot.,3,,
Cole.,3,,
Congreg.,3,,
[St.,3,,
Grays-Inn.,3,,
excellt.,3,,
will.,3,,
W.T[hackeray].,3,,
North.,3,,
W[ilkins?].,3,,
Iun.,3,,
A[rthur].,3,,
W[alter].,3,,
1629,3,,
J[ohn?].,3,,
Grove.,3,,
Aul.,3,,
vol.,3,,
hill.,3,,
Web.,3,,
Brittaine.,3,,
XCVII.,3,,
it.,3,,
Maj.,3,,
Arth.,3,,
[[i.e.,3,,
F.K[ingston].,3,,
Cavvodi.,3,,
M[athews].,3,,
C[uthbert].,3,,
Hacket.,3,,
Lekprewik.,3,,
vero.,3,,
xxvi.,3,,
xv.,3,,
M.CCCCC.,3,,
Iames.,3,,
incarnati.,3,,
1551,3,,
Cotton.,3,,
Copland.,3,,
Morley.,3,,
Hedgehogge.,3,,
1568,3,,
H[atfield].,3,,
Stoughton.,3,,
October.,3,,
conduit.,3,,
Nicolson.,3,,
ca.,3,,
xviii.,3,,
Peele.,3,,
[V.,3,,
xx.,3,,
S[tafford].,3,,
1592,3,,
London̄.,3,,
xvi.,3,,
I[effes].,3,,
M.CCCCC.liiii.,3,,
S[parke].,3,,
Nin.,3,,
priuilege.,3,,
Esquire.,3,,
Finlason.,3,,
Whitaker.,3,,
Hart.,3,,
1581,3,,
B[radock].,3,,
M[an].,3,,
1606,3,,
Fawcet.,3,,
1566,3,,
Grafton.,3,,
Cawoode.,3,,
1550,3,,
R.Y[oung].,3,,
Totelli.,3,,
Yetsweirt.,3,,
beneath.,3,,
N[ewbery].,3,,
1583,3,,
April.,3,,
Mens.,3,,
Whitchurch.,3,,
martins.,3,,
Vautrollerius.,3,,
Queenes.,3,,
hon.,3,,
[P.A.,3,,
Iugge.,3,,
Wyer.,3,,
ed.,3,,
prs.,3,,
Skillern.,3,,
Ma[jes]tie.,3,,
imprim.,3,,
Hodgson.,3,,
52,3,,
Leicester.,3,,
Martin's-Lane.,3,,
City-Road.,3,,
Burlington-House.,3,,
Finsbury-Square.,3,,
M.DCC.LX.,3,,
pamphlet-shops.,3,,
LXXXVI.,3,,
Goût.,3,,
Fair.,3,,
Rd.,3,,
1759,3,,
MDCCLI.,3,,
James's-Street.,3,,
CO.,3,,
91,3,,
Sepr.,3,,
Buildings.,3,,
Ramsay.,3,,
MDCCXXXVII.,3,,
Lud.,3,,
Esprit.,3,,
Dav.,3,,
MDCCXXX.,3,,
published.,3,,
Gattey.,3,,
Birt.,3,,
Frider.,3,,
Hoogstraat.,3,,
Elmesly.,3,,
Low.,3,,
Paisley.,3,,
58,3,,
Wogan.,3,,
Abra.,3,,
Whitrow.,3,,
Bryce.,3,,
six-pence.,3,,
-B.,3,,
Gillies.,3,,
1627,3,,
Church-Yard..,3,,
King's-Mead-Square.,3,,
Poor.,3,,
Wilkinson.,3,,
Sergens.,3,,
Ferraby.,3,,
Ridge.,3,,
Norbury.,3,,
1739,3,,
children.,3,,
French.,3,,
Denovan.,3,,
charite.,3,,
Burbage.,3,,
Hamilton.,3,,
typographos.,3,,
Galande.,3,,
Brightland.,3,,
Argyle-Street.,3,,
Blake.,3,,
Hull.,3,,
Niven.,3,,
Leabhair-reiceadoir.,3,,
Rochester.,3,,
Petr.,3,,
Motte.,3,,
New-Bond-Street.,3,,
1761,3,,
Dinamarca.,3,,
Kongl.,3,,
Palais-Royal.,3,,
Walter.,3,,
Copper-Plates.,3,,
Boyle.,3,,
Harris.,3,,
Place.,3,,
IV.,3,,
MDCCVIII.,3,,
Piercy.,3,,
M.DCC.XXIV.,3,,
Vernor.,3,,
325,3,,
98,3,,
Woodward.,3,,
Knowledge.,3,,
Nos.,3,,
Trowbridge.,3,,
Gosling.,3,,
America.,3,,
fil.,3,,
Lancashire.,3,,
XXII.,3,,
N<r>o</r>.,3,,
1735,3,,
1707,3,,
M.DCC.LVI.,3,,
Parliament-Close.,3,,
1764,3,,
Hondt.,3,,
1729,3,,
church-yard.,3,,
Rhames.,3,,
L.H.,3,,
Louvre.,3,,
Com.,3,,
Avemaria-Lane.,3,,
Harpe.,3,,
Serpente.,3,,
Marlboro'-Street.,3,,
Conrad.,3,,
Hartford.,3,,
Spotswood.,3,,
118,3,,
subscribers.,3,,
Salem.,3,,
Court-Haus.,3,,
New-York.,3,,
Babcock.,3,,
Francois-X.,3,,
Portland.,3,,
Hough.,3,,
Dixon.,3,,
Boone.,3,,
Slip.,3,,
Stebbins.,3,,
Condie.,3,,
Meeting-House.,3,,
Litchfield.,3,,
Fowle.,3,,
Prentiss.,3,,
Mill-Bridge.,3,,
state.,3,,
F.-X.,3,,
Savannah.,3,,
retail.,3,,
Ex.,3,,
Excel.,3,,
Pole.,3,,
Back-Street.,3,,
school-house.,3,,
Liberty-Pole.,3,,
Patten.,3,,
P.-E.,3,,
[etc.,3,,
Wardi.,2,,
Jefferies.,2,,
Wayland.,2,,
Salisbury-Square.,2,,
William.,2,,
Franklin.,2,,
Egerton.,2,,
LXII.,2,,
7s.,2,,
Pocock.,2,,
Coke.,2,,
Houndsditch.,2,,
M.DCC.XLIX.,2,,
Alley.,2,,
Payne.,2,,
M.DCC.LV.,2,,
Carol.,2,,
Toulouse.,2,,
120,2,,
James's-street.,2,,
Lumbard-street.,2,,
Beni.,2,,
Isaac.,2,,
Osborn.,2,,
1574,2,,
Holland.,2,,
Tesseyman.,2,,
Gillman.,2,,
Ives.,2,,
Bow-church-yard.,2,,
Boult.,2,,
l'Europe.,2,,
-M.,2,,
M'dowall.,2,,
M.DCC.LII.,2,,
Priuilegio.,2,,
Spital-Square.,2,,
Guard.,2,,
Tomso.,2,,
Riebau.,2,,
Archd.,2,,
M.DCCLXXXVI.,2,,
Gardner.,2,,
l'impr.,2,,
Sun.,2,,
h.,2,,
t.,2,,
b.,2,,
Glasgow.-J.,2,,
Tindal.,2,,
Birchin-Lane.,2,,
Fairburn.,2,,
M.DCC.XLV.,2,,
[Benj.,2,,
Op.,2,,
Buckley.,2,,
John's-Square.,2,,
Bush.,2,,
Peter.,2,,
Ruddiman.,2,,
Nottingham.,2,,
M.DC.XXXIII.,2,,
&J.,2,,
Castle-Green.,2,,
Prault.,2,,
[C].,2,,
Grant.,2,,
Caldwell.,2,,
M'Dowall.,2,,
Simmons.,2,,
Sheffield.,2,,
Science.,2,,
M.DCC.XLVI.,2,,
Wood-Quay.,2,,
Bentley.,2,,
Oswald.,2,,
Lesson.,2,,
Wetstenios.,2,,
Hadleigh.,2,,
printing-house.,2,,
Hett.,2,,
Ch.-Ant.,2,,
Chastel.,2,,
XV.,2,,
10th.,2,,
Marh.,2,,
2nd.,2,,
Dugan.,2,,
Carpenter.,2,,
Keenes.,2,,
Oll.,2,,
Manby.,2,,
Cowse.,2,,
[T].,2,,
Whittingham.,2,,
Socii.,2,,
Hatton-garden.,2,,
Rathbone-Place.,2,,
Wotton.,2,,
Lawrence.,2,,
Glocester.,2,,
1745-6.,2,,
18th.,2,,
Royale.,2,,
Symon.,2,,
compagn.,2,,
Peadle.,2,,
M.DCC.XLI.,2,,
Harvey.,2,,
Flackton.,2,,
J..,2,,
Justins.,2,,
12s.,2,,
Hutton.,2,,
Lelong.,2,,
d'Al.,2,,
Cuissart.,2,,
J.-Fr.,2,,
Martins-Court.,2,,
Reb.,2,,
Yarm.,2,,
Willock.,2,,
Red.,2,,
Wild.,2,,
byS.,2,,
Folingsby.,2,,
g.,2,,
Clavel.,2,,
JJ.,2,,
Lemoine.,2,,
AB.,2,,
Edward.,2,,
Osborne.,2,,
Wyat.,2,,
Stephani.,2,,
L.M.,2,,
Rocque.,2,,
Allan.,2,,
Hooke.,2,,
Morgan.,2,,
Andw.,2,,
Durham.,2,,
Parliamt.,2,,
M.DCC.V.,2,,
preface.,2,,
Neill.,2,,
High-Wycombe.,2,,
Forbes.,2,,
Den.,2,,
LXXVIII.,2,,
M'Kenzie.,2,,
Gr.,2,,
Etc.,2,,
Belknap.,2,,
-W.,2,,
1765,2,,
Aldersgate-Street.,2,,
D.P.,2,,
Cocking.,2,,
Gotth.,2,,
Robinsons.,2,,
RI.,2,,
Cunningham.,2,,
Faulkner.,2,,
970,2,,
Shearcroft.,2,,
Panckouke.,2,,
Cailleau.,2,,
Merridew.,2,,
L.P.,2,,
Mart.,2,,
Paton.,2,,
agst.,2,,
Antiquar.,2,,
NB.,2,,
B[rown].,2,,
No.21.,2,,
Tooley-Street.,2,,
M[yles].,2,,
Mays-Buildings.,2,,
James-Street.,2,,
W[eaver].,2,,
Paine.,2,,
F[orcet].,2,,
1644,2,,
C[oe].,2,,
Octo.,2,,
Geo[rge].,2,,
Edw[in].,2,,
C[arter].,2,,
Goswell-Street.,2,,
G[wyn].,2,,
each.,2,,
apply.,2,,
Black-Fryers.,2,,
Warwick-lane.,2,,
(W.,2,,
else.,2,,
paper.,2,,
93,2,,
Mssrs.,2,,
Note.,2,,
-Mr.,2,,
Plymsell.,2,,
C[lement].,2,,
messrs.,2,,
Simson.,2,,
