"","x"
"3405","Printed by John Dawson for Edward Blackmore, and are to be sold at the signe of the Angel in Pauls Church-yard"
"3406","Printed by Jane Coe, for Henry Overton, and are to be sold at his shop in Popes-Head Alley"
"3407","Printed by R. Cotes, for Jo. Bellamie, and are to bee sold at his shop at the sign of the three Golden Lions in Cornhill, neer the Royall Exchange"
"3408","Printed by Matthew Simmons for John Hancock, and to be sold at his shop at the entrance into Popes-head-Alley out of Cornhill"
"3409","Printed by J. Macock, for Luke Favvne, and are to be sold at his shop, at the sign of the Parrot in Pauls Church-yard"
"3410","printed by R[obert]. L[eybourne]. for William Leake, and are to be sold at his shop at the signe of the Crowne in Fleetstreet between the two Temple gates"
"3411","printed by Matthew Simmons for Henry Overton, and are to be sold at his shop in Popes-head Alley"
"3412","August 11. London, printed for Godfrey Emerson, and are to be sold at the signe of the Swan in Little-Britain"
"3413","printed for Tho. Underhill, and are to be sold at his shop at the signe of the Bible in Woodstreet"
"3414","Printed for John Saywell, and are to be sold at his shop at the sign of the Starre in Little Brittain"
"3415","printed for Richard Lownds, and are to be sold at the sign of the White Lion near Saint Paul's little North dore"
"3416","Printed for William Ley, and are to be sold at his shop at Pauls chain neer the Doctors Commons"
"3417","printed by John Streater, in Little S. Bartholomews, and are to be sold at the Black-spread-Eagle at the west-end of Pauls"
"3418","printed for T. Basset, and are to be sold at his shop under S. Dunstans Church in Fleet-street"
"3419","Printed for Charles Green, and are to be sold at his shop in Ivie Lane, at the signe of the Gun"
"3420","Imprinted, and are to be sold at the signe of the Princes Armes, over against Pauls greater north doore"
"3421","Printed for H. Overton, and are to be sold at his shop at the entring into Popes-head Alley out of Lumbard-street"
"3422","Printed by Tho. Paine, for Henry Overton, and are to be sold at his shop at the entring into Popes head alley out of Lumbard street"
"3423","printed by J.M. for Philemon Stephens, and are to be sold at the Kings Arms in Chancery-Lane"
"3424","printed by John Macock, and are to be sold at the sign of the three leggs in the Poultry"
"3425","Printed by I.F. for Iohn Rothwel, and are to be sold at the Fountain and Sun in Pauls Church-yard"
"3426","printed by Matthew Symons for B. B. and are to be sold at the signe of the Angel in Cornehill"
"3427","by John Dever & Robert Ibbitson, for Ralph Smith, and are to bee sold at his shop at the signe of the Bible in Cornhill"
"3428","printed for John Pounset, and are to be sold at his shop at the lower end of Budge-Row neer Cannon-street"
"3429","Printed for Gifford Galton, and are to be sold at his shop at the signe of the Kings Armes in the Poultrey"
"3430","Printed by Tho: Harper, for Gifford Galton, and are to be sold at his shop at the sign of the Kings Armes in the Poultrey"
"3431","Printed by Tho. Paine, for John Pounset, and are to be sold at his shop at the lower end of Budge-row neere Cannon-street"
"3432","printed by John Macock, for Luke Fawn, and are to be sold at his shop at the sign of the Parrot in Pauls Church yard"
"3433","Printed by M.F. for R. Mynne, and are to be sold at his shop at the sign of Saint Paul in Little Britain"
"3434","Printed by John Macock, for Luke Fawne, and are to be sold at his shop at the sign of the Parrot in Pauls Church-yard"
"3435","printed for Thomas Banks, and are to be sold at his shop in Black-Fryers on the top of Bride-well Staires"
"3436","printed by M. F. for Samuel Gellibrand, and are to be sold at the sign of the Brazen Serpent in Pauls Church-yard"
"3437","Printed for Iohn Saywell, and are to be sold at his shop, at the signe of the Starre in little Brittain"
"3438","Printed by T.W. for Joshua Kirton, and are to be sold at his shop at the signe of the White Horse in Pauls Church-yard"
"3439","printed for John Benson, and are to be sold at his shop in Dunstanes Church-yard"
"3440","printed for Peter Cole, and are to be sold at the sign of the Printing-Presse in Cornhill neer the Royall Exchange"
"3441","printed by F: Neile for Samuel Gellibrand, and are to be sold at his shop at the Brasen Serpent in Pauls Church-yard"
"3442","Printed by Thomas Paine, for Giles Calvert, and are to be sold at his shop at the Black spread Eagle, at the west end of Pauls Church"
"3443","printed for Edmund Paxton, and are to be sold at his shop in Pauls chain, over against the Castle Tavern neer to the Doctors Commons"
"3444","printed by Tho. Paine for George Whittington, and are to be sold at his shop at the Blew Anchor in Corn-hill neer the Royall Exchange"
"3445","printed by John Field, printer to the Parliament. And are to be sold at the seven Stars in Fleetstreet, over against Dunstans Church"
"3446","printed by John Field, printer to the Parliament. And are to be sold at the seven Stars in Fleetstreet, over against Dunstans Church"
"3447","printed by William Pearson, for the author; and are to be sold at his house in the Broad-Sanctuary, over-against Westminster-Abby, and by Henry Playford, at his shop in the Temple-Change, Fleet-street"
"3448","Printed for Henry Seale, and are to be sold at his shop over against S. Dunstans Church"
"3449","Printed for Edw. Husbands, and are to be sold at his shop in the middle Temple"
"3450","Printed by T.W. for G. Emerson, and are to be sold at the Swan in little Britaine, and at the blacke Beare in Pater-noster Row"
"3451","printed for Joseph Pots, and are to be sold at his shop in the Old Bayly neer the Sessions house"
"3452","printed by T[homas]. R[atcliffe]. and E[dward]. M[ottershed]. for Ralph Smith, and are to be sold at the sign of the Bible in Cornhill"
"3453","printed by Edward Griffin for William Leake, and are to be sold at his shop in Chancery-lane, neere unto the Rolls"
"3454","Printed for Richard Woodnoth, and are tobe [sic] sold at his shop at the signe of the Starre in Cornwall"
"3455","Printed for Richard Woodnoth, and are tobe [sic] sold at his shop at the signe of the Starre in Cornwall"
"3456","printed (as truly, as the Scotch papers were at London) by Evan Tyler, printer to the Kings most Excellent Majestie, and are to be sold at the most solemn signe of the Blew-Bonnet, right opposite to the two Houses of Parliament"
"3457","printed by J[ames]. Y[oung]. for Joseph Hunscot and George Calvert, and are to be sold at the Stationers Hall"
"3458","printed for Thomas Banks, and are to be sold at his shop in Black-Fryers on the top of Bride-well Staires"
"3459","printed for Edward Husband, printer to the Honorable House of Commons, and are to be sold at his shop in Fleetstreet at the sign of the golden Dragon neer the Inner-Temple"
"3460","Printed by J.M. for M. Spark, and are to be sold at the sign of the Blue Bible in Green Arbour"
"3461","printed by John Field for Philemon Stephens, and are to be sold at his shop at the sign of the gilded Lyon in Pauls Church-yard"
"3462","printed for Luke Favvne, and are to be sold at his shop at the sign of the Parrot in Pauls-Church-yard"
"3463","printed by T. Forcet for Robert Boydel, and are to be sold at his shop in the Bulwark neere the Tower"
"3464","printed by R.L. for Henry Shepherd, and are to be sold at his shop at the signe of the Bible in Towre-street"
"3465","printed for Peter Cole, and are to be sold at his shop at the sign of the Printing-Press in Cornhil, neer the Royal Exchange"
"3466","Printed by T.H. for Iohn Saywell, and are to be sold at his shop in Little Britaine, at the signe of the Star"
"3467","Printed by F.B. for Philemon Stephens, and are to bee sold at his shop at the gilded Lion in Pauls Church-Yard"
"3468","printed by S.I. for Andrew Crooke, and are to be sold at his shop at the signe of the Green Dragon in Pauls Church-yard"
"3469","Printed by I.D. and R.I. for Henry Overton, and are to be sold at his shop at the entring into Popes-Head-Alley out of Lumbard street"
"3470","printed for Tho. Veere, and are to be sold at his shop at the upper-end of the Old Bayley, near New-gate"
"3471","printed for Tho. Underhill, and are to be sold at his shop at the sign of the Bible in great Woodstreet"
"3472","Printed by William Godbid for John Playford, and are to be sold at his shop in the Temple, near the Church Dore"
"3473","Printed by M. Shinkin, printer to S. Taffie, and are to be sold at the signe of the Goat on the Welch Mountaine"
"3474","Printed by E. Griffin for William Lee, and are to be sold at his shop at the Turkes-head in Fleetstreet, neere Ram-alley"
"3475","printed by J[ames]. Y[oung]. for Joseph Hunscot and George Calvert, and are to be sold at the Stationers Hall, and at the Golden Fleece in the Old Change"
"3476","Printed by J.D. & R.I. for Andrew Kembe, and are to bee sold at his shop, at Margaret Hill, next doore to the Talbot-Gate in Southwark"
"3477","printed for H: Overton, and are to be sold at his shop in Popes-head Ally"
"3478","Printed for George Lindsey and are to be sold at his shop over against London-stone"
"3479","printed by T[homas]. W[arren]. for Ios· Kirton, and are to be sold at the signe of the white Horse in Pauls Church-yard"
"3480","printed by W. Wilson for Edward Brewster, and are to be sold at his shop on Ludgate-hill, at the signe of the Bible neare Fleet-bridge"
"3481","Printed by Tho. Harper for John Benson and John Saywell, and are to be sold at their shops in Dunstans Church-Yard, and at the Greyhound in Little-Britaine"
"3482","printed for Giles Calvert, and are to be sold at the Black-spred Eagle at the West-end of Pauls"
"3483","printed for John Partridge,and Humphrey Blunden, and are to be sold at the Cock in Ludgate-street, and at the Castle in Cornhill"
"3484","printed by Thomas Harper, for Iohn Saywell, and are to be sold at his shop in Little Britaine, at the signe of the Greyhound"
"3485","printed by J. Macock, for Luke Favvne, and are to be sold at his shop, at the sign of the Parrot in Pauls-Church-yard"
"3486","printed by Ric. Cotes, for John Bellamy, and are to bee sold at his shop at the signe of the three Golden Lions in Cornehill neare the Royall Exchange"
"3487","printed for John Pounset, and are to be sold at his shop, at the Hand and Bible at the lower end of Budge-Row, neere Canning-street"
"3488","printed by T.W. for Joshua Kirton, and are to be sold at his shop, at the signe of the white Horse in Pauls Church-yard"
"3489","Printed by T.R. and E.M. for Luke Fawne, and are to be sold at the signe of the Parrot in Pauls Church-yard"
"3490","printed by R.W. for Giles Calvert, and are to be sold at the Black-spred Eagle at the west end of Pauls"
"3491","Printed for I. Coe, and A. Coe, and are to be sold at Cropplegate, and in the Old-Baily"
"3492","printed by T[homas]. R[atcliffe]. and E[dward]. M[ottershed]. for George Calvert, and are to be sold at the golden Fleece in the Old-Change"
"3493","printed for John Benson, and are to be sold at his shop in Chancery lane neer the Rouls"
"3494","Printed for R. Rishton, and are to be sold at the Royall Exchange in Cornhill"
"3495","Printed for George Whittington, and are to be sold at his shop at the signe of the Blew Anchor in Cornhill, neere the Royall Exchange"
"3496","printed for William Larnar, and are to be sold at his shop at the signe of the Black-Moore in Bishops-gate street"
"3497","printed for John Benson, and are to be sold at his shop in Chancery Lane neer the Rouls"
"3498","Printed for John Pounset, and are to be sold at his shop, at the signe of the Hand and Bible, at the lower end of Budge-row neere Dowgate"
"3499","for George Whittington, and are to be sold at his shop at the signe of the Blew Anchor in Cornehill neere the Royall Exchange"
"3500","Printed for George Whittington, and are to be sold at his shop at the signe of the Blew Anchor in Cornhill, neere the Royall Exchange"
"3501","printed by R. White, for Henry Mortlock, and are to be sold at his shop, at the sign of the White Hart in Westminster-Hall"
"3502","printed for George Whittington, and are to be sold at his shop in Cornehill, at the signe of the Blew Anchor, neere the Royall Exchange"
"3503","Printed for Tho. Underhill, and are to be sold at his shop at the sign of the Bible in great Woodstreet"
"3504","Printed by Thomas Tantalus for Christopher Charon, and are to be sold at his shop in the shades of Dis, at the signe of the Gorgons head"
"3505","printed by R. Cotes for John Clark, and are to be sold at his shop entring into Mercers-Chappell, at the lower end of Cheapside"
"3506","printed for Giles Calvert, and are to be sold at his shop at the black spread-Eagle neer the west-end of Pauls"
"3507","printed for V,V and are to be sold at the Exchange"
"3508","printed for V,V. and are to be sold at the Exchange"
"3509","for George Whittington, and are to be sold at his shop at the signe of the Blew Anchor in Cornehill neere the Royall Exchange"
"3510","Printed for V,V. and are to be sold at the Exchange"
"3511","printed for John Crooke and are to be sold at the Ship in St. Paul's Church-yard"
"3512","printed for V,V. and are to be sold at the Exchange"
"3513","Printed by M.S. for Lodowick Lloyd, and are to be sold at his shop, next to the Castle-Tavern in Cornhil"
"3514","printed for V,V. and are to be sold at the Exchange"
"3515","by Robert Ibbitson, and are to be sold at his house in Smithfield"
"3516","printed for R.V. and are to be sold at the Royall Exchange in Cornhill"
"3517","printed for G. Wharton; and are to be sold at the Royall Exchange in Corn-hill"
"3518","printed by William Du-gard, for Ralph Smith, and are to bee sold at the sign of the Bible in Corn-hill, neer the Royal-Exchange"
"3519","by Robert Ibbitson, and are to be sold at his house in Smithfield"
"3520","imprinted by I.L. for Nicolas Bourne, and Iohn Bartlet: and are to be sold at the south entrance at the Royall Exchange, and at the gilt Cup neere Austins Gate, in Pauls Church-yard"
"3521","printed [by T.[Thomas] R.[Roycroft]] for Humphrey Moseley, Richard Marriot, and Thomas Dring, and are to be sold at their shops"
"3522","printed for Henry Herringman, and are to be sold at his shop on the Lower VValk in the New Exchange"
"3523","printed by J. M. for Henry Herringman; and are to be sold at his shop at the sign of the Blew-Anchor in the lower-walk of the New-Exchange"
"3524","printed for Henry Herringman, and are to be sold at his shop at the Anchor in the Lower walk in the New Exchange"
"3525","printed [by William Wilson] for Henry Herringman, and are to be sold at his shop at the Anchor in the Lower walk in the New Exchange"
"3526","printed by R. C[otes] for Daniel Frere, and are to be sold at his shop, at the Red Bull in Little Britaine"
"3527","printed [by William Wilson] for Henry Herringman, and are to be sold at his shop at the sign of the Anchor on the lower Walk of the New Exchange"
"3528","printed for Edward Thomas, and are to be sold at his house in Green-Arbor"
"3529","printed for C.W. and are to be sold at the Royall Exchange in Cornhill"
"3530","printed by H. Hills for Thomas Brewster, and are to be sold at the Three Bibles in Pauls Church-yard"
"3531","printed by W. Wilson for Richard Clutterbuck, and are to be sold at his house in Noblestreet"
"3532","printed by E. Cotes, for Andrew Crook, and are to be sold at the Green Dragon in Pauls Church-yard"
"3533","Printed for Giles Calvert, and are to be sold at the sign of the Black-spread Eagle at the west-end of Pauls"
"3534","printed for Giles Calvert, and are to be sold at the Black-Spread-Eagle near the West-end of Pauls"
"3535","printed for Giles Calvert, and are to be sold at his shop, at the Black-spread-Eagle neer the west end of Pauls, London"
"3536","printed [by Thomas Newcombe] for Humphrey Moseley, and are to be sold at his shop at the sign of the Prince's Arms in St. Pauls Church-yard"
"3537","printed by G.D. for Humphrey Moseley, and are to be sold at his shop, at the Princes Armes in St. Pauls Church-Yard"
"3538","printed by Ruth Raworth for Humphrey Moseley, and are to be sold at the signe of the Princes Arms in S. Pauls Church-yard"
"3539","printed by A.M. for George Treagle at Taunton, and are to be sold at London by William Roybould at the Unicorn in Pauls Church-yard"
"3540","printed for Giles Calvert, and are to be sold at his shop, at the sign of the Black-spread-Eagle, at the west-end of Pauls"
"3541","Printed at Copenhagen, anno 1653. And re-printed at London for Henry Cripps, and Lodowick Lloyd, and are to be sold at their shop in Popes-head Alley"
"3542","printed for Robert Wilson, and are to be sold at his shop at the Black-spread-Eagle and Wind-Mill in Martins L'Grand"
"3543","printed for Francis Titon, and are to be sold at the sign of the three Daggers in Fleet-street"
"3544","printed for Francis Titon, and are to be sold at the sign of the three Daggers in Fleet-street"
"3545","printed by R.W. for Francis Titon, and are to be sold at the sign of the three Daggers in Fleetstreet"
"3546","printed by T. M[abb] and A. C[oles] for George Badger, and are sold at his shop in S. Dunstans Church-yard in Fleet-street"
"3547","printed by J.M. for Henry Cripps and Lodowick Lloyd, and are to be sold at their shop in Popes-head Alley"
"3548","printed by T.W. for Joshua Kirton, and are to be sold at his shop in Pauls Church-yard, at the signe of the Kings-Armes"
"3549","printed by W. Wilson for Ralph Smith, and are to be sold at his shop at the Bible in Cornhill"
"3550","printed for Humphrey Moseley, and are to be sold at his shop at the Princes Armes in Saint Paul's Church-yard"
"3551","printed for J. Daniel, and are to be sold at his shop at the signe of the three Hearts near the west-end of St. Pauls"
"3552","printed by J. Macock, for H. Cripps, and L. Lloyd, and are to be sold at their shop in Popes-head-Alley, neer Lumbard-street"
"3553","printed by T.C. for Andrew Crook, and are to be sold at the Green Dragon in St. Pauls Church-yard"
"3554","Printed by J. Moxon, for Francis Smith, and are to be sold at his shop, in Flying Horse Court in Fleetstreet, neer Chancery Lane end. And by John Sweeting, at the signe of the Angel, in Popes head Alley"
"3555","printed by J.M. for Henry Cripps and Lodowick Lloyd, and are to be sold at their shop in Popes-head Alley"
"3556","printed by J. Macock, for H. Eversden, and are to be sold at his shop at the signe of the Grey-hound, in Paul's Churchyard"
"3557","printed by I. Macock, for H. Cripps, and L. Lloyd, and are to be sold at their shop in Popes-head Alley"
"3558","printed by John Macock, for Lodowick Lloyd, and Henry Cripps, and are to be sold at their shop in Popes head Alley"
"3559","printed [by Ruth Raworth and Susan Islip] for Humphrey Moseley, and are to be sold at his shop at the signe of the Princes Armes in St. Pauls Church-yard"
"3560","Printed by Henry Hills, printer to the King's Most Excellent Majesty, for his houshold and chappel; and are sold at his printing-house on the Ditch-side in Black-Fryers"
"3561","printed by R.L. for John Bisse, and are to be sold at the Bell in S. Pauls Church-yard"
"3562","printed for R. Woodus, and are to be sold at the Royall Exchange in Cornhill"
"3563","printed for Francis Titon, and are to be sold at the sign of the three Daggers in Fleet-street"
"3564","printed for Humph. Moseley, and are to be sold at his shop at the signe of the Princes Arms in S. Pauls Church-yard"
"3565","printed by J.M. for H. Twyford, T. Dring, and J. Place, and are to be sold at their shops, in Vine-Court in the Middle Temple, at the George near S. Dunstons Church in Fleet-street, and at Furnivals-Inne gate, in Holburn"
"3566","printed by Jane Bell, and are to be sold at the east-end of Christ-Church"
"3567","printed by T.R. for Timothy Twyford, and are to be sold at his shop, within the Inner-Temple-gate"
"3568","printed by T.R. for Hen. Twyford, and Tho. Dring, and are to be sold at their shops, in Vine Court Middle Temple, and at the George in Fleetstreet neer Cliffords Inne"
"3569","printed for John Martyn, and Henry Herringman, and are to be sold at the Bell in St. Pauls Church-Yard, and at the Anchor in the lower walk of the New Exchange"
"3570","Printed by T[homas]. L[each]. and sold at the White Hart in Westminster-hall. The Peacock in Little Britain: and near the Blew Boar in White-Chappel"
"3571","printed by J.G. for John Clark, and are to be sold at his shop under S. Peters Church in Cornhill"
"3572","printed by G.D. for Francis Eglesfield, and are to be sold at the sign of the Marigold in Pauls Church-yard"
"3573","printed for M.M. Gabriel Bedell, and T. Collins, and are to be sold at their shop at the middle-Temple-gate"
"3574","printed by T.R. for H. Twyford, T. Dring, and J. Place, and are to be sold at their shops in Vine Court middle Temple, the George in Fleetstreet neer Cliffords Inne, and at Furnivalls Inne gate in Holborne"
"3575","printed by T.W. for Humphrey Moseley and are to be sold at his shop at the Princes Armes in St. Pauls Church-yard"
"3576","printed for Goodman Constant, and are to be sold at the sign of the Faithful Souldier, right against Turn-Coat-Hall"
"3577","printed by J.B. for Andrew Kembe, and are to be sold at his shop neer S. Margarets hill in Southwark, and by Edward Brewster at the Crane in Paul's Church-yard, and Thomas Basset under Dunstanes Church Fleetstreet"
"3578","printed by T.R. for H. Twyford, T. Dring, and J. Place, and are to be sold at their shops in Vine Court middle Temple, the George in Fleetstreet neer Cliffords Inne, and at Furnivalls Inne gate in Holborne"
"3579","printed by R.D. [and J.R.] for Humphrey Moseley, and are to be sold at his shop at the Prince's Arms in S. Pauls Church-yard [, London]"
"3580","printed by L.N. for Richard Whitaker, and are to be sold at his shop in Paul's Church-yard at the signe of the Kings Armes"
"3581","printed by A.M. for Nathanael Webb and William Grantham, and are to be sold at the sign of the Black Bear in St Pauls Church-yard near the little north door"
"3582","printed by J.G. for John Clark, and are to be sold at his shop under S. Peters Church in Cornhill"
"3583","printed by J B. for Samuel Bolton, and are to be sold at most stationers in London"
"3584","printed by A.W. for G[iles] C[alvert] and are to be sold at his shop at the Black Spread-Eagle at the west-end of Pauls"
"3585","printed for John Clark, and are to be sold at the entrance into Mercers-Chappel, at the lower end of Cheapside"
"3586","by R.I. for Jo. Clark, and are to be sold at the entrance into Mercers Chappel, at the lower end of Cheap-side"
"3587","printed for John Clark, and are to be sold at his shop under S. Peters Church in Cornhill"
"3588","printed for Giles Calvert, and are to be sold at his shop at the sign of the Black-Spread-Eagle at the west-end of Pauls"
"3589","printed by J.G. for John Clark, and are to be sold at his shop under S. Peters Church in Cornhill"
"3590","printed for Francis Tyton, and are to be sold at the three Daggers in Fleetstreet, neer the Inner-Temple-gate"
"3591","printed for Iohn Rothwell, and are to be sold at his shop at the signe of the Sunne and Fountaine in Pauls Church-yard"
"3592","printed for R. Royston, and are to be sold at the Angel in Ivy-lane"
"3593","printed by G.D. for Francis Smith, and are to be sold at his shop, at the Elephant and Castle near Temple-Bar"
"3594","printed by B.A. and are to be sold at his house near the upper pump in Grub-street"
"3595","printed for Godfrey Emerson, and William Bladen, and are to be sold at the signe of the Swan in Little-Brittain"
"3596","printed for Godfrey Emerson, and William Bladen, and are to be sold at the signe of the Swan in Little-Brittain"
"3597","printed by A.M. for John Dallam, and are to be sold at his shop in Shoomakers-Row in Black-Fryers near Carter-lane"
"3598","printed for VVilliam Leake, and are to be sold at the signe of the Crowne in Fleet-street, betweene the two Temple gates"
"3599","printed by T. Mabb for Charles Adams, and are to be sold at his shop at the signe of the Mary-Gold over against Fetter-lane in Fleet-street"
"3600","printed by Ric. Hodgkinsonne, for Thomas Rooks, and are to be sold at his shop, at the signe of the Lamb, at the east end of St. Pauls Church"
"3601","printed by James Young, for Thomas Underhill, and are to be sold at the signe of the Bible in Wood-street"
"3602","printed by E. Cotes, for Henry Eversden, and are to be sold at his shop, at the Greyhound in St. Pauls-Church yard"
"3603","printed by M.S. for Thomas Jenner, and are to be sold at his shop, at the South-entrance of the Royal-Exchange"
"3604","printed by M.S. for Thomas Jenner, and are to be sold at his shop, at the South-entrance of the Royal-Exchange"
"3605","printed by Tho. Newcomb, for John Holden; and are to be sold at his shop at the Anchor in the New-Exchange"
"3606","printed by Robert Wood, for Henry Seile; and are to be sold at his shop, over against St Dunstan's church in Fleet-street"
"3607","printed [by Adrian Vlack, the Hague] for Henry Herringman, and are to be sold at his shop at the Anchor in the lower walke in the New Exchange"
"3608","printed for Gabriel Bedle, and Thomas Collins, and are to be sold at their shop at the Middle-Temple-Gate in Fleetstreet"
"3609","printed by William Godbid, and are to be sold at his house over against the Anchor-Inne in Little Brittain"
"3610","printed for Robert Bostock, & are to be sold at his shop at the sign of the Kings head in Pauls Church yard"
"3611","printed for G. Orton, and are to be sold at the Royall-Exchange"
"3612","printed by John Clowes, and are to be sold at the Blew-Anchor in Corne-hill, and at the Black Spread-Eagle, at the west end of Pauls"
"3613","printed by Andrew Crook and Samuel Helsham, assigns of Benj. Tooke printer to the King's most excellent Majesty; and are to be sold at His Majesties printing-house on Ormonde-Key, and at the Colledge-Arms in Castle-street"
"3614","printed by J.M. for Luke Fawn, and are to be sold at his shop at the sign of the Parrot in Pauls Church-yard"
"3615","printed for Humphrey Moseley, and are to be sold at his shop in S. Pauls Churchyard at the sign of the Princes Arms"
"3616","printed by Thomas Bradyll and Robert Everingham, and are to be sold at the Seven Stars in Ave-Mary-Lane"
"3617","printed by Thomas Bradyll and Robert Everingham, and are to be sold at the Seven Stars, in Ave-Mary-Lane"
"3618","printed by Richard Bently, Thomas Bradyll and Robert Everingham, and are to be sold at the Post-Office in Russel-street Covent-Garden, and at the Seven Stars in Ave-Mary-Lane"
"3619","printed for T. Brewster, and are to be sold at the west-end of Pauls"
"3620","printed by T. Mabb, for William Shears, and are to be sold at the Bible in Bedford street in Covent-garden"
"3621","printed by John Macock, for Luke Favvne, and are to be sold at his shop at the sign of the Parrot in Pauls Church-yard"
"3622","printed by Rob. White, for Thomas Brewster and Gregory Moule, and are to be sold at the three Bibles in Pauls Church-yard, neer the west-end"
"3623","printed for Giles Calvert, and are to be sold at the Black-spread-Eagle neer the west-end of Pauls"
"3624","printed for W. Lee, D. Pakeman, and G. Bedell, and are to be sold at their shops in Fleetstreet"
"3625","printed for Henry Herringman, and are to be sold at his shop, at the sign of the Anchor in the lower walk in the New Exchange"
"3626","Printed for Peter Cole, and are to be sold at the Glove and Lyon neer the Royall-Exchange"
"3627","printed by J.F. for John Clark, and are to be sold at his shop under S. Peters Church in Cornhill"
"3628","printed by J. Macock for Henry Herringman; and are to be sold at his shop at the signe of the Blew Anchor in the lower-walk in the New Exchange"
"3629","printed for Henry Herringman, and are to be sold at his shop, at the signe of the Anchor in the New Exchange"
"3630","printed by H.G. for Henry Herringman, and are to be sold at his shop, at the signe of the Anchor in the New Exchange"
"3631","printed by R & W Leybourn, for Andrew Kemb, and Robert Boydell, and are to be sold at St Margarets hill in Southwark, and at the Bulwark neer the Tower"
"3632","printed by W. Godbid, for Richard Thrale, and are to be sold at the Cross-Keyes at Paul's gate, entring into Cheap-side"
"3633","printed for Giles Calvert, and are to sold at the sign of the Black-Spread-Eagle at the west-end of Pauls"
"3634","printed for Giles Calvert, and are to be sold at the Black-spread-Eagle at the west end of Pauls"
"3635","printed for G. Calvert, and are to be sold at his shop at the Black Spread Eagle, neer the west end of Pauls"
"3636","printed for Humphrey Moseley, and are to be sold at his shop at the Prince's Armes in St Paul's Church-yard"
"3637","printed for Giles Calvert, and are to be sold at the Black-Spread-Eagle at the west end of Pauls"
"3638","printed [by Peter de Pienne, Waterford] for Henry Herringman, and are to be sold at his shop at the Anchor in the lower walk of the New-Exchange"
"3639","printed [by Peter de Pienne, Waterford] for Henry Herringman, and are to be sold at his shop at the Anchor in the lower walk of the New-Exchange"
"3640","printed [by Peter de Pienne, Waterford] for Humphrey Moseley, and are to be sold at his shop at the sign of the Prince's Arms in St Pauls Church-yard"
"3641","printed for Giles Calvert, and are to be sold at the Black-spread-Eagle, near the West end of Pauls"
"3642","printed for Giles Calvert, and are to be sold at the Black-spread-Eagle, near the west end of Pauls"
"3643","printed for J. Carr, and are to be sold at his shop in the Middle Temple Gate"
"3644","printed by T.F. and are to be sold at Westminster-Hall, Fleetstreet, and the old Exchange"
"3645","printed for R.W. and are to be sold at the Royall Exchange in Cornhill"
"3646","Printed in the year of Englands confusions, and are to be sold at the sign of Wallingford-House, right against a free Parliament"
"3647","Printed by T. Maxey for Richard Marriot, and are to be sold at his shop in S. Dunstan's Church-yard, Fleetstreet"
"3648","printed by Henry Hills, and are to be sold at his house in Fleet-yard next door to the Rose and Crown, and by William Larnar at the Blackmoor at Fleet-Bridge"
"3649","printed for Francis Tyton, and Iohn Playford, and are to be sold at their shops neer the Inner Temple in Fleet-Street"
"3650","printed by Peter Cole, and are to be sold at his shop at the sign of the Printing-Press in Cornhil, neer the Royal Exchange"
"3651","printed for Luke Fawne, and are to be sold at his shop at the signe of the Parrot in Pauls Church-yard"
"3652","printed for Tho. Vere, and W. Gilbertson, and are to be sold at their shops, at the sign of the Angel, and the sign of the Bible without Newgate"
"3653","printed for John Playford, and are to be sold at his shop in the Inner-Temple"
"3654","Engraven & published for ye benefit. of ye publique, by Fra: Lamb. and are to be sold at his house in Newgate streete, next door but one to ye White Swan, toward ye gate. By Rob: Morden atye [sic] Atlas in Cornhill. Will: Berry at the Globe at Charing Cross and by John Seller Ju: at ye west end of St. Pauls London"
"3655","printed for Hen. Twyford, Thomas Dring, Iohn Place, and are to be sold at their shops"
"3656","printed for Daniel White, and are to be sold at his shop at the seaven-Starres, in Pauls Church-Yard"
"3657","printed by Peter Cole in Leaden-Hall, and are to be sold at his shop at the sign of the Printing-press in Cornhil neer the Royal Exchange: and by S. Howes, J. Garfield, and R. Westbrook"
"3658","printed for Sam. Speed, and are to be sold at his shop, at the signe of the Printing-Press in St. Pauls Church-yard"
"3659","printed by W.B. for John Saywell, and are to be sold at the sign of the Grey-Hound, in little Brittain, without Alders-Gate"
"3660","printed by R. W[hite]. for Francis Tyton, and are to be sold at the three Daggers in Fleetstreet near the inner Temple Gate"
"3661","printed for William Ley, and are to be sold at his shop neere Pauls-Chaine"
"3662","printed by R. White, and T. Roycroft, for Matthew Walbanke, and Henry Twyford, and are to be sold at their shops at Grais-Inn Gate in Holborn, and in Vine Court in the Middle Temple"
"3663","printed for Humphrey Moseley, and are to be sold at his shop at the Prince's Arms in St. Paul's Church-Yard"
"3664","printed for Livewell Chapman, and are to be sold at the Crown in Popes-head Alley"
"3665","printed for H. Cripps and L. Lloyd, and are to be sold at their shop in Popes-head Alley"
"3666","printed for Rich: Marriot, and are to be sold at his shop in St Dunstans Church-yard Fleetstreet"
"3667","printed by E. Cotes for Michael Sparke, and are to be sold at the Blue Bible in Green Arbor"
"3668","printed by A.N. for Richard Lownds, and are to be sold at his shop without Ludgate"
"3669","printed by John Macock for John Bellamie, and are to be sold at his shop at the three Golden Lyons in Cornhill, neer the Royall Exchange"
"3670","printed for Humphrey Mosely, and Richard Tomlins, and are to be sold at the Princes Arms in St. Pauls Church-yard, and at the Sun and Bible in Pye-corner"
