"publisher_orig_data","verb","target_string","person","person_type","place","place_prefix","actor_type"
"printed, and are to be sold by J. Nutt near Stationers-Hall","sold by","J. Nutt near Stationers-Hall","J. Nutt","person","Stationers-Hall","near","sell"
"re-printed by Edw. Sandys","printed by","Edw. Sandys","Edw. Sandys","person",NA,NA,"print"
"Printed and sold by Daniel Isaac Eaton, No. 74, Newgate-Street","sold by","Daniel Isaac Eaton, No. 74, Newgate-Street","Daniel Isaac Eaton","person","Newgate-Street","No. 74","sell"
"Printed and sold by Daniel Isaac Eaton, No. 74, Newgate-Street","printed and sold by","Daniel Isaac Eaton, No. 74, Newgate-Street","Daniel Isaac Eaton","person","Newgate-Street","No. 74","print_sell"
"apud Bibliopolas Oxonienses. Londini: apud W. Owen, in Fleet-Street",NA,"apud Bibliopolas Oxonienses. Londini: apud W. Owen, in Fleet-Street",NA,NA,NA,NA,NA
"printed: and sold by J. Graves, in St. James's-Street, J. Hook, over-against St. Dunstan's Church, in Fleet-Street, F. Jefferies. in Ludgate-Street. C. King, in Westminster-Hall, and T. Cox, at the Royal-Exchange","sold by","J. Graves, in St. James's-Street, J. Hook, over-against St. Dunstan's Church, in Fleet-Street, F. Jefferies. in Ludgate-Street. C. King, in Westminster-Hall, and T. Cox, at the Royal-Exchange","J. Graves","person","St. James's-Street , J. Hook , over-against St. Dunstan's Church , in Fleet-Street , F. Jefferies. in Ludgate-Street. C. King , in Westminster-Hall , and T. Cox , at the Royal-Exchange","in","sell"
"printed for Bernard Lintott at the Cross-Keys betwixt the two Temple Gates in Fleet-Street","printed for","Bernard Lintott at the Cross-Keys betwixt the two Temple Gates in Fleet-Street","Bernard Lintott","person","Cross-Keys betwixt the two Temple Gates in Fleet-Street","at the","print"
"printed for T. and J. Egerton, Charing Cross",NA,"T. and J. Egerton, Charing Cross",NA,NA,NA,NA,NA
"printed for F. Newbery","printed for","F. Newbery","F. Newbery","person",NA,NA,"print"
"printed for S. West, near St. Paul's; and sold by the booksellers of London and Westminster","printed for","S. West, near St. Paul's; and","S. West","person","St. Paul's","near","print"
"printed for G. Kearsly, in Ludgate-Street; Richardson and Urquhart, under the Royal Exchange; and G. Woodfall, at Charing-Cross","printed for","G. Kearsly, in Ludgate-Street; Richardson and Urquhart, under the Royal Exchange; and G. Woodfall, at Charing-Cross","G. Kearsly","person","Ludgate-Street","in","print"
"printed for G. Kearsly, in Ludgate-Street; Richardson and Urquhart, under the Royal Exchange; and G. Woodfall, at Charing-Cross","printed for","G. Kearsly, in Ludgate-Street; Richardson and Urquhart, under the Royal Exchange; and G. Woodfall, at Charing-Cross","Richardson","unknown",NA,NA,"print"
"printed for G. Kearsly, in Ludgate-Street; Richardson and Urquhart, under the Royal Exchange; and G. Woodfall, at Charing-Cross","printed for","G. Kearsly, in Ludgate-Street; Richardson and Urquhart, under the Royal Exchange; and G. Woodfall, at Charing-Cross","Urquhart","unknown",NA,NA,"print"
"printed for J. Moore, near St. Paul's","printed for","J. Moore, near St. Paul's","J. Moore","person","St. Paul's","near","print"
"printed for J. Debrett (successor to Mr. Almon), opposite Burlington-House, Piccadilly; and sold by J. Fielding, Paternoster-Row; and G. Kearsley, Fleet-Street","printed for","J. Debrett (successor to Mr. Almon), opposite Burlington-House, Piccadilly; and","J. Debrett","person","Burlington-House , Piccadilly","opposite","print"
"printed for J. Debrett (successor to Mr. Almon), opposite Burlington-House, Piccadilly; and sold by J. Fielding, Paternoster-Row; and G. Kearsley, Fleet-Street","printed for","J. Debrett (successor to Mr. Almon), opposite Burlington-House, Piccadilly; and","Mr. Almon)","unknown","Burlington-House , Piccadilly","opposite","print"
"printed for J. Debrett (successor to Mr. Almon), opposite Burlington-House, Piccadilly; and sold by J. Fielding, Paternoster-Row; and G. Kearsley, Fleet-Street","sold by","J. Fielding, Paternoster-Row; and G. Kearsley, Fleet-Street","J. Fielding","person","Paternoster-Row",NA,"sell"
"printed for J. Debrett (successor to Mr. Almon), opposite Burlington-House, Piccadilly; and sold by J. Fielding, Paternoster-Row; and G. Kearsley, Fleet-Street","sold by","J. Fielding, Paternoster-Row; and G. Kearsley, Fleet-Street","G. Kearsley","person","Fleet-Street",NA,"sell"
"printed for R. Francklin, at the Sun against St. Dunstan's Church, in Fleet-Street","printed for","R. Francklin, at the Sun against St. Dunstan's Church, in Fleet-Street","R. Francklin","person","Sun against St. Dunstan's Church , in Fleet-Street","at the","print"
"printed for M. Cooper; A. Dodd; and G. Woodfall","printed for","M. Cooper; A. Dodd; and G. Woodfall","M. Cooper","person",NA,NA,"print"
"printed for M. Cooper; A. Dodd; and G. Woodfall","printed for","M. Cooper; A. Dodd; and G. Woodfall","A. Dodd","person",NA,NA,"print"
"printed for M. Cooper; A. Dodd; and G. Woodfall","printed for","M. Cooper; A. Dodd; and G. Woodfall","G. Woodfall","unknown",NA,NA,"print"
"prented [sic] by A. Hinde, in Fleet-Street",NA,"prented by A. Hinde, in Fleet-Street",NA,NA,NA,NA,NA
"Printed and sold in Bow church-yard, London","stringstart","Printed and sold in Bow church-yard, London","Printed","person","Bow church-yard , London","in","unk"
"printed by J. Humfreys","printed by","J. Humfreys","J. Humfreys","person",NA,NA,"print"
NA,NA,"NA",NA,NA,NA,NA,NA
"printed for Eman. Matthews, at the Bible in Paternoster-Row","printed for","Eman. Matthews, at the Bible in Paternoster-Row","Eman. Matthews","person","Bible in Paternoster-Row","at the","print"
"printed for the author, and may be had of him at his house, No. 5, Winckworth's Buildings, London; and of all the booksellers",NA,"the author, and may be had of him at his house, No. 5, Winckworth's Buildings, London; and of all the booksellers",NA,NA,NA,NA,NA
"printed, and sold Benj. Bragge",NA,"printed and sold Benj. Bragge",NA,NA,NA,NA,NA
"printed for T. Fisher, Bookseller, in Rochester; sold by S. Crowder, in Pater-Noster-Row; and W. Harris, No. 70, in St. Paul's-Church-Yard","printed for","T. Fisher, Bookseller, in Rochester;","T. Fisher","person","Rochester","in","print"
"printed for T. Fisher, Bookseller, in Rochester; sold by S. Crowder, in Pater-Noster-Row; and W. Harris, No. 70, in St. Paul's-Church-Yard","printed for","T. Fisher, Bookseller, in Rochester;","Bookseller","unknown","Rochester","in","print"
"printed for T. Fisher, Bookseller, in Rochester; sold by S. Crowder, in Pater-Noster-Row; and W. Harris, No. 70, in St. Paul's-Church-Yard","sold by","S. Crowder, in Pater-Noster-Row; and W. Harris, No. 70, in St. Paul's-Church-Yard","S. Crowder","person","Pater-Noster-Row","in","sell"
"printed for T. Fisher, Bookseller, in Rochester; sold by S. Crowder, in Pater-Noster-Row; and W. Harris, No. 70, in St. Paul's-Church-Yard","sold by","S. Crowder, in Pater-Noster-Row; and W. Harris, No. 70, in St. Paul's-Church-Yard","W. Harris","person","St. Paul's-Church-Yard","No. 70 , in","sell"
"printed for John Morphew, near Stationers-Hall","printed for","John Morphew, near Stationers-Hall","John Morphew","person","Stationers-Hall","near","print"
"printed by William Dicey","printed by","William Dicey","William Dicey","person",NA,NA,"print"
"printed for R. Francklin, at the Sun in Fleet-Street","printed for","R. Francklin, at the Sun in Fleet-Street","R. Francklin","person","Sun in Fleet-Street","at the","print"
"printed and sold by B. Thorn, Bookseller; and Mess. Richardson and Urquhart, London","sold by","B. Thorn, Bookseller; and Mess. Richardson and Urquhart, London","B. Thorn","person",NA,NA,"sell"
"printed and sold by B. Thorn, Bookseller; and Mess. Richardson and Urquhart, London","sold by","B. Thorn, Bookseller; and Mess. Richardson and Urquhart, London","Bookseller","unknown",NA,NA,"sell"
"printed and sold by B. Thorn, Bookseller; and Mess. Richardson and Urquhart, London","printed and sold by","B. Thorn, Bookseller; and Mess. Richardson and Urquhart, London","B. Thorn","person",NA,NA,"print_sell"
"printed and sold by B. Thorn, Bookseller; and Mess. Richardson and Urquhart, London","printed and sold by","B. Thorn, Bookseller; and Mess. Richardson and Urquhart, London","Bookseller","unknown",NA,NA,"print_sell"
NA,NA,"NA",NA,NA,NA,NA,NA
"printed by William M'Kenzie","printed by","William M'Kenzie","William","person",NA,NA,"print"
"printed for B. Crosby, NO. 4, Stationer's Court, Ludgate Street, Near Stationer's Hall","printed for","B. Crosby, NO. 4, Stationer's Court, Ludgate Street, Near Stationer's Hall","B. Crosby","person","Stationer's Court , Ludgate Street , Near Stationer's Hall","NO. 4","print"
"to be had of Messrs. Baldwin, Paternoster-Row; Downes, Strand; and Miller, Bond-Street. Entered at Stationer's Hall",NA,"to be had of Messrs. Baldwin, Paternoster-Row; Downes, Strand; and Miller, Bond-Street. Entered at Stationer's Hall",NA,NA,NA,NA,NA
"printed for B. Crosby, No. 4, Stationers Court, Ludgate Street; and C. Chapple, NO. 66, Pall Mall","printed for","B. Crosby, No. 4, Stationers Court, Ludgate Street; and C. Chapple, NO. 66, Pall Mall","B. Crosby","person","Stationers Court , Ludgate Street","No. 4","print"
"printed for B. Crosby, No. 4, Stationers Court, Ludgate Street; and C. Chapple, NO. 66, Pall Mall","printed for","B. Crosby, No. 4, Stationers Court, Ludgate Street; and C. Chapple, NO. 66, Pall Mall","C. Chapple","person","Pall Mall","NO. 66","print"
"printed for John Williams, Bookseller, on Ludgate-Hill","printed for","John Williams, Bookseller, on Ludgate-Hill","John Williams","person","Ludgate-Hill",NA,"print"
"printed for John Williams, Bookseller, on Ludgate-Hill","printed for","John Williams, Bookseller, on Ludgate-Hill","Bookseller","unknown","Ludgate-Hill",NA,"print"
"printed for J. Williams","printed for","J. Williams","J. Williams","person",NA,NA,"print"
NA,NA,"NA",NA,NA,NA,NA,NA
"printed for J. Chrichley, at the London-Gazette, Charing-Cross; and sold by J. Wilford, at the Three Flower-de-Luces behind the Chapter-House in St. Paul's Church-Yard","printed for","J. Chrichley, at the London-Gazette, Charing-Cross; and","J. Chrichley","person","London-Gazette , Charing-Cross","at the","print"
"printed for J. Chrichley, at the London-Gazette, Charing-Cross; and sold by J. Wilford, at the Three Flower-de-Luces behind the Chapter-House in St. Paul's Church-Yard","sold by","J. Wilford, at the Three Flower-de-Luces behind the Chapter-House in St. Paul's Church-Yard","J. Wilford","person","Three Flower-de-Luces behind the Chapter-House in St. Paul's Church-Yard","at the","sell"
"printed for J. Wilford, near Stationers-Hall, and sold by the booksellers of London and Westminster","printed for","J. Wilford, near Stationers-Hall, and","J. Wilford","person","Stationers-Hall , and","near","print"
"printed for J. Wilford, and sold by the booksellers of London and Westminster","printed for","J. Wilford, and","J. Wilford","person",NA,NA,"print"
"printed for J. Roberts","printed for","J. Roberts","J. Roberts","person",NA,NA,"print"
"printed for J. and F. Rivington, L. Hawes, W. Clark and R. Collins, W. Johnston, S. Crowder, T. Longman, B. Law, and R. Baldwin",NA,"J. and F. Rivington, L. Hawes, W. Clark and R. Collins, W. Johnston, S. Crowder, T. Longman, B. Law, and R. Baldwin",NA,NA,NA,NA,NA
"Printed for J. Batley, at the Dove in Pater-noster-Row, T. Cox, at the Lamb under the Royal Exchange, and T. Astley, at the Rose in St. Paul's Church-Yard","printed for","J. Batley, at the Dove in Pater-noster-Row, T. Cox, at the Lamb under the Royal Exchange, and T. Astley, at the Rose in St. Paul's Church-Yard","J. Batley","person","Dove in Pater-noster-Row , T. Cox , at the Lamb under the Royal Exchange , and T. Astley , at the Rose in St. Paul's Church-Yard","at the","print"
"Printed by Alex. Chapman & Co. for James Watson, NO 40. South Bridge","printed by","Alex. Chapman & Co. for James Watson, no. 40. South Bridge","Alex. Chapman","person","South Bridge","no. 40.","print"
"Printed by Alex. Chapman & Co. for James Watson, NO 40. South Bridge","printed by","Alex. Chapman & Co. for James Watson, no. 40. South Bridge","Co.","unknown","South Bridge","no. 40.","print"
"Printed by Alex. Chapman & Co. for James Watson, NO 40. South Bridge","printed by","Alex. Chapman & Co. for James Watson, no. 40. South Bridge","James Watson","unknown","South Bridge","no. 40.","print"
"printed for T. Kay, No. 332. Strand; sold by W. Creech, Edinburgh","printed for","T. Kay, No. 332. Strand;","T. Kay","person","Strand","No. 332.","print"
"printed for T. Kay, No. 332. Strand; sold by W. Creech, Edinburgh","sold by","W. Creech, Edinburgh","W. Creech","person","Edinburgh",NA,"sell"
"printed [by Macfarquhar and Elliot] for Charles Elliot, Edinburgh; and G. G. J. & J. Robinson, London","printed by","Macfarquhar and Elliot for Charles Elliot, Edinburgh; and G. G. J. & J. Robinson, London","Macfarquhar","person","Edinburgh",NA,"print"
"printed [by Macfarquhar and Elliot] for Charles Elliot, Edinburgh; and G. G. J. & J. Robinson, London","printed by","Macfarquhar and Elliot for Charles Elliot, Edinburgh; and G. G. J. & J. Robinson, London","Elliot","unknown","Edinburgh",NA,"print"
"printed [by Macfarquhar and Elliot] for Charles Elliot, Edinburgh; and G. G. J. & J. Robinson, London","printed by","Macfarquhar and Elliot for Charles Elliot, Edinburgh; and G. G. J. & J. Robinson, London","Charles Elliot","unknown","Edinburgh",NA,"print"
"printed [by Macfarquhar and Elliot] for Charles Elliot, Edinburgh; and G. G. J. & J. Robinson, London","printed by","Macfarquhar and Elliot for Charles Elliot, Edinburgh; and G. G. J. & J. Robinson, London","G. G. J.","person","London",NA,"print"
"printed [by Macfarquhar and Elliot] for Charles Elliot, Edinburgh; and G. G. J. & J. Robinson, London","printed by","Macfarquhar and Elliot for Charles Elliot, Edinburgh; and G. G. J. & J. Robinson, London","J. Robinson","person","London",NA,"print"
"printed by and for Sampson Low, Berwick Street, Soho : and sold by C. Law, Ave Maria Lane; and E. Booker, New Bond Street","sold by","C. Law, Ave Maria Lane; and E. Booker, New Bond Street","C. Law","person",NA,NA,"sell"
"printed by and for Sampson Low, Berwick Street, Soho : and sold by C. Law, Ave Maria Lane; and E. Booker, New Bond Street","sold by","C. Law, Ave Maria Lane; and E. Booker, New Bond Street","Ave Maria Lane","unknown",NA,NA,"sell"
"printed by and for Sampson Low, Berwick Street, Soho : and sold by C. Law, Ave Maria Lane; and E. Booker, New Bond Street","sold by","C. Law, Ave Maria Lane; and E. Booker, New Bond Street","E. Booker","person",NA,NA,"sell"
"printed by and for Sampson Low, Berwick Street, Soho : and sold by C. Law, Ave Maria Lane; and E. Booker, New Bond Street","sold by","C. Law, Ave Maria Lane; and E. Booker, New Bond Street","New Bond Street","unknown",NA,NA,"sell"
"printed by and for Sampson Low, Berwick Street, Soho : and sold by C. Law, Ave Maria Lane; and E. Booker, New Bond Street","printed by and for","Sampson Low, Berwick Street, Soho : and","Sampson Low","person",NA,NA,"print"
"printed by and for Sampson Low, Berwick Street, Soho : and sold by C. Law, Ave Maria Lane; and E. Booker, New Bond Street","printed by and for","Sampson Low, Berwick Street, Soho : and","Berwick Street","unknown",NA,NA,"print"
"printed by and for Sampson Low, Berwick Street, Soho : and sold by C. Law, Ave Maria Lane; and E. Booker, New Bond Street","printed by and for","Sampson Low, Berwick Street, Soho : and","Soho","unknown",NA,NA,"print"
"printed for William Smith, Bookseller, at the Hercules in Dame-Street","printed for","William Smith, Bookseller, at the Hercules in Dame-Street","William Smith","person","Hercules in Dame-Street","at the","print"
"printed for William Smith, Bookseller, at the Hercules in Dame-Street","printed for","William Smith, Bookseller, at the Hercules in Dame-Street","Bookseller","unknown","Hercules in Dame-Street","at the","print"
"printed for J. Huggonson, in Sword and Buckler Court, over against the Crown-Tavern on Ludgate-Hill","printed for","J. Huggonson, in Sword and Buckler Court, over against the Crown-Tavern on Ludgate-Hill","J. Huggonson","person","Sword and Buckler Court , over against the Crown-Tavern on Ludgate-Hill","in","print"
"Printed and sold by J. Wilford, near Stationers-Hall","sold by","J. Wilford, near Stationers-Hall","J. Wilford","person","Stationers-Hall","near","sell"
"Printed and sold by J. Wilford, near Stationers-Hall","printed and sold by","J. Wilford, near Stationers-Hall","J. Wilford","person","Stationers-Hall","near","print_sell"
NA,NA,"NA",NA,NA,NA,NA,NA
"printed for J. Wilford, near Stationers-Hall, and sold by the booksellers of London and Westminster","printed for","J. Wilford, near Stationers-Hall, and","J. Wilford","person","Stationers-Hall , and","near","print"
"printed for J. Wilkie, in St. Paul's Church-Yard","printed for","J. Wilkie, in St. Paul's Church-Yard","J. Wilkie","person","St. Paul's Church-Yard","in","print"
"printed for A. Baldwin, in Warwick-Lane","printed for","A. Baldwin, in Warwick-Lane","A. Baldwin","person","Warwick-Lane","in","print"
"printed for T. Becket, Pall Mall","printed for","T. Becket, Pall Mall","T. Becket","person","Pall Mall",NA,"print"
NA,NA,"NA",NA,NA,NA,NA,NA
"printed for the author; and sold by C. Moran, in the Great Piazza, Covent Garden","sold by","C. Moran, in the Great Piazza, Covent Garden","C. Moran","person","Great Piazza , Covent Garden","in the","sell"
"printed by Fr. Collins, and are to be sold by the booksellers of London and Norwich","printed by","Fr. Collins, and are to be","Fr. Collins","person",NA,NA,"print"
"printed for J. Murray, No. 32, Fleet-Street","printed for","J. Murray, No. 32, Fleet-Street","J. Murray","person","Fleet-Street","No. 32","print"
"printed by his Majesty's Law Printers, for C. and G. Kearsley, No. 46, Fleet Street",NA,"his Majesty's Law Printers, for C. and G. Kearsley, No. 46, Fleet Street",NA,NA,NA,NA,NA
"printed for Dan. Browne, at the Black-Swan without Temple-Bar","printed for","Dan. Browne, at the Black-Swan without Temple-Bar","Dan. Browne","person","Black-Swan without Temple-Bar","at the","print"
"printed by E. Piercy","printed by","E. Piercy","E. Piercy","person",NA,NA,"print"
"printed for W. Bowyer and J. Nichols, at Cicero's Head, Red-Lion-Passage, Fleet-Street","printed for","W. Bowyer and J. Nichols, at Cicero's Head, Red-Lion-Passage, Fleet-Street","W. Bowyer","person","Cicero's Head , Red-Lion-Passage , Fleet-Street","at","print"
"printed for W. Bowyer and J. Nichols, at Cicero's Head, Red-Lion-Passage, Fleet-Street","printed for","W. Bowyer and J. Nichols, at Cicero's Head, Red-Lion-Passage, Fleet-Street","J. Nichols","person","Cicero's Head , Red-Lion-Passage , Fleet-Street","at","print"
"printed for T. Cooper, at the Globe, in Pater-Noster-Row","printed for","T. Cooper, at the Globe, in Pater-Noster-Row","T. Cooper","person","Globe , in Pater-Noster-Row","at the","print"
"printed for M. Cooper, at the Globe, in Pater-Noster-Row","printed for","M. Cooper, at the Globe, in Pater-Noster-Row","M. Cooper","person","Globe , in Pater-Noster-Row","at the","print"
"printed for P. Crampton, at Addison's-Head, over-against the Horse-Guard in Dame-Street","printed for","P. Crampton, at Addison's-Head, over-against the Horse-Guard in Dame-Street","P. Crampton","person","Addison's-Head , over-against the Horse-Guard in Dame-Street","at","print"
"printed for C. Hitch in Pater-Noster-Row, and R. Dodsley, in Pall-Mall","printed for","C. Hitch in Pater-Noster-Row, and R. Dodsley, in Pall-Mall","C. Hitch","person","Pater-Noster-Row , and R. Dodsley , in Pall-Mall","in","print"
"printed for C. Hitch in Pater-Noster-Row, and R. Dodsley in Pall-Mall","printed for","C. Hitch in Pater-Noster-Row, and R. Dodsley in Pall-Mall","C. Hitch","person","Pater-Noster-Row , and R. Dodsley in Pall-Mall","in","print"
"printed for J. Dodsley and B. Law","printed for","J. Dodsley and B. Law","J. Dodsley","person",NA,NA,"print"
"printed for J. Dodsley and B. Law","printed for","J. Dodsley and B. Law","B. Law","unknown",NA,NA,"print"
"printed by W. Griffin","printed by","W. Griffin","W. Griffin","person",NA,NA,"print"
"impensis Bernardi Lintot, in Vico dicto Fleet-Street",NA,"impensis Bernardi Lintot, in Vico dicto Fleet-Street",NA,NA,NA,NA,NA
NA,NA,"NA",NA,NA,NA,NA,NA
"printed for the author, and sold by H. D. Symonds, Paternoster-Row; and all other Booksellers","sold by","H. D. Symonds, Paternoster-Row; and all other Booksellers","H. D. Symonds","person","Paternoster-Row",NA,"sell"
"printed for the author, and sold by H. D. Symonds, Paternoster-Row; and all other Booksellers","sold by","H. D. Symonds, Paternoster-Row; and all other Booksellers","Booksellers","unknown",NA,NA,"sell"
"printed, and sold by M. Cooper, at the Globe, in Pater-Noster-Row","sold by","M. Cooper, at the Globe, in Pater-Noster-Row","M. Cooper","person","Globe , in Pater-Noster-Row","at the","sell"
"printed, and sold by M. Cooper, at the Globe, in Pater-Noster-Row","printed and sold by","M. Cooper, at the Globe, in Pater-Noster-Row","M. Cooper","person","Globe , in Pater-Noster-Row","at the","print_sell"
"printed for William Rayner, prisoner in the King's-Bench, and to be sold at the Theatre, and likewise at the Printing-Office in Marigold Court, over-against the Fountain-Tavern in the Strand","printed for","William Rayner, prisoner in the King's-Bench, and to be","William Rayner","person","King's-Bench , and to be","in the","print"
"printed for William Rayner, prisoner in the King's-Bench, and to be sold at the Theatre, and likewise at the Printing-Office in Marigold Court, over-against the Fountain-Tavern in the Strand","sold at","the Theatre, and likewise at the Printing-Office in Marigold Court, over-against the Fountain-Tavern in the Strand",NA,NA,"Theatre , and likewise at the Printing-Office in Marigold Court , over-against the Fountain-Tavern in the Strand","the","sell"
"printed: and sold by J. Roberts","sold by","J. Roberts","J. Roberts","person",NA,NA,"sell"
"printed by R. Moffet","printed by","R. Moffet","R. Moffet","person",NA,NA,"print"
"printed for R. Griffiths, in Pater-Noster Row","printed for","R. Griffiths, in Pater-Noster Row","R. Griffiths","person","Pater-Noster Row","in","print"
"printed for R. Baldwin, at the Rose in Pater-Noster Row","printed for","R. Baldwin, at the Rose in Pater-Noster Row","R. Baldwin","person","Rose in Pater-Noster Row","at the","print"
"printed by J. Dutton","printed by","J. Dutton","J. Dutton","person",NA,NA,"print"
"printed for John Chandler, at the Cross-Keys, in the Poultry","printed for","John Chandler, at the Cross-Keys, in the Poultry","John Chandler","person","Cross-Keys , in the Poultry","at the","print"
"printed for G. Kearsley, at Johnson's Head, No. 46, Fleet-Street","printed for","G. Kearsley, at Johnson's Head, No. 46, Fleet-Street","G. Kearsley","person","Johnson's Head , No. 46 , Fleet-Street","at","print"
"Sold by the booksellers of London and Westminster",NA,"the booksellers of London and Westminster",NA,NA,NA,NA,NA
"printed and sold by Jennings","sold by","Jennings","Jennings","person",NA,NA,"sell"
"printed and sold by Jennings","printed and sold by","Jennings","Jennings","person",NA,NA,"print_sell"
"printed and sold by E. Smith, in Cornhill","sold by","E. Smith, in Cornhill","E. Smith","person","Cornhill","in","sell"
"printed and sold by E. Smith, in Cornhill","printed and sold by","E. Smith, in Cornhill","E. Smith","person","Cornhill","in","print_sell"
NA,NA,"NA",NA,NA,NA,NA,NA
"Printed for M. Cooper, at the Globe, in Pater-noster-Row","printed for","M. Cooper, at the Globe, in Pater-noster-Row","M. Cooper","person","Globe , in Pater-noster-Row","at the","print"
"printed by Stuart and Stevenson, for J. Strachan, Near The Adelphi, Strand","printed by","Stuart and Stevenson, for J. Strachan, Near The Adelphi, Strand","Stuart","person","Adelphi , Strand","Near The","print"
"printed by Stuart and Stevenson, for J. Strachan, Near The Adelphi, Strand","printed by","Stuart and Stevenson, for J. Strachan, Near The Adelphi, Strand","Stevenson","unknown","Adelphi , Strand","Near The","print"
"printed by Stuart and Stevenson, for J. Strachan, Near The Adelphi, Strand","printed by","Stuart and Stevenson, for J. Strachan, Near The Adelphi, Strand","J. Strachan","person","Adelphi , Strand","Near The","print"
NA,NA,"NA",NA,NA,NA,NA,NA
"Printed by order of the Society",NA,"order of the Society",NA,NA,NA,NA,NA
"printed for J. Hodges, at the Looking-Glass, facing St. Magnus-Church London-Bridge; and B. Collins at Salisbury","printed for","J. Hodges, at the Looking-Glass, facing St. Magnus-Church London-Bridge; and B. Collins at Salisbury","J. Hodges","person","Looking-Glass , facing St. Magnus-Church London-Bridge","at the","print"
"printed for J. Hodges, at the Looking-Glass, facing St. Magnus-Church London-Bridge; and B. Collins at Salisbury","printed for","J. Hodges, at the Looking-Glass, facing St. Magnus-Church London-Bridge; and B. Collins at Salisbury","B. Collins","person","Salisbury","at","print"
"Printed for T. Cooper at the Globe in Pater-noster-row","printed for","T. Cooper at the Globe in Pater-noster-row","T. Cooper","person","Globe in Pater-noster-row","at the","print"
"in aedibus academicis excudebat Andreas Foulis","stringstart","in aedibus academicis excudebat Andreas Foulis",NA,NA,"Andreas Foulis","in aedibus academicis excudebat","unk"
"printed for R. Snagg, No. 29, Pater-Noster-Row","printed for","R. Snagg, No. 29, Pater-Noster-Row","R. Snagg","person","Pater-Noster-Row","No. 29","print"
"London: printed for John Morphew, and re-printed in Dublin, by C. Carter","stringstart","London:",NA,NA,"London",NA,"unk"
"London: printed for John Morphew, and re-printed in Dublin, by C. Carter","printed for","John Morphew, and reprinted in Dublin, by C. Carter","John Morphew","person","Dublin , by C. Carter","in","print"
"printed for R. Blamire","printed for","R. Blamire","R. Blamire","person",NA,NA,"print"
"printed for E. Curll, over against Catherine-Street in the Strand; and T. Payne, near Stationers-Hall","printed for","E. Curll, over against Catherine-Street in the Strand; and T. Payne, near Stationers-Hall","E. Curll","person","Strand","in the","print"
"printed for E. Curll, over against Catherine-Street in the Strand; and T. Payne, near Stationers-Hall","printed for","E. Curll, over against Catherine-Street in the Strand; and T. Payne, near Stationers-Hall","Catherine-Street","unknown","Strand","in the","print"
"printed for E. Curll, over against Catherine-Street in the Strand; and T. Payne, near Stationers-Hall","printed for","E. Curll, over against Catherine-Street in the Strand; and T. Payne, near Stationers-Hall","T. Payne","person","Stationers-Hall","near","print"
"printed for J. Roberts, near the Oxford Arms in Warwick-Lane and A. Dodd, at the Peacock without Temple-Bar. 1719. Where Letters are taken in directed for the Patrician","printed for","J. Roberts, near the Oxford Arms in Warwick-Lane and A. Dodd, at the Peacock without Temple-Bar. 1719. Where Letters are taken in directed for the Patrician","J. Roberts","person","Oxford Arms in Warwick-Lane and A. Dodd , at the Peacock without Temple-Bar. 1719. Where Letters are taken in directed for the Patrician","near the","print"
"printed for G. Burnet","printed for","G. Burnet","G. Burnet","person",NA,NA,"print"
"printed for T. Spence, at the hive of liberty, No. 8, Little-Turnstile, High-Holborn","printed for","T. Spence, at the hive of liberty, No. 8, Little-Turnstile, High-Holborn","T. Spence","person","Little-Turnstile , High-Holborn","at the hive of liberty , No. 8","print"
"printed by John Humfreys, in Bartholomew-Lane","printed by","John Humfreys, in Bartholomew-Lane","John Humfreys","person","Bartholomew-Lane","in","print"
"printed for J. Debrett, opposite Burlington House, Piccadilly","printed for","J. Debrett, opposite Burlington House, Piccadilly","J. Debrett","person","Burlington House , Piccadilly","opposite","print"
"printed for the author; sold by J. Johnson, St. Paul's Church-Yard, London; and C. Elliot, Edinbrugh","sold by","J. Johnson, St. Paul's Church-Yard, London; and C. Elliot, Edinbrugh","J. Johnson","person","London",NA,"sell"
"printed for the author; sold by J. Johnson, St. Paul's Church-Yard, London; and C. Elliot, Edinbrugh","sold by","J. Johnson, St. Paul's Church-Yard, London; and C. Elliot, Edinbrugh","C. Elliot","person",NA,NA,"sell"
"printed for the author; sold by J. Johnson, St. Paul's Church-Yard, London; and C. Elliot, Edinbrugh","sold by","J. Johnson, St. Paul's Church-Yard, London; and C. Elliot, Edinbrugh","Edinbrugh","unknown",NA,NA,"sell"
"printed for J. Walter, Charing-Cross; and C. Dilly, in the Poultry","printed for","J. Walter, Charing-Cross; and C. Dilly, in the Poultry","J. Walter","person","Charing-Cross",NA,"print"
"printed for J. Walter, Charing-Cross; and C. Dilly, in the Poultry","printed for","J. Walter, Charing-Cross; and C. Dilly, in the Poultry","C. Dilly","person","Poultry","in the","print"
"printed by Andrew Crooke","printed by","Andrew Crooke","Andrew Crooke","person",NA,NA,"print"
"Philadelphia printed. Dublin: re-printed for J. Milliken","stringstart","Philadelphia printed. Dublin:",NA,NA,"Philadelphia",NA,"unk"
"Philadelphia printed. Dublin: re-printed for J. Milliken","stringstart","Philadelphia printed. Dublin:",NA,NA,"Dublin",NA,"unk"
"Philadelphia printed. Dublin: re-printed for J. Milliken","printed for","J. Milliken","J. Milliken","person",NA,NA,"print"
"Philadelphia printed. Dublin: re-printed for J. Milliken","reprinted for","J. Milliken","J. Milliken","person",NA,NA,"print"
