"";"verb";"verb_suffix";"actor";"location";"location_prefix";"orig_string"
"609";"printed";"for";"Jacob Tonson";"Shakespear's Head over-against Katharine-Street";"at";"printed for Jacob Tonson at Shakespear's Head over-against Katharine-Street in the strand"
"617";"printed";"by";"J. Paramore";"Foundry";"at the";"printed by J. Paramore, at the Foundry, Moorfields : and sold at the New Chapel, in the City-Road; and at the Rev. Mr. Wesley's preaching-houses in town and country"
"627";"printed";"for";"J. Pemberton";"Golden Buck against St. Dunstan's Church";"at the";"printed for J. Pemberton, at the Golden Buck against St. Dunstan's Church in Fleet-Street"
"628";"printed";"for";"E. Withers";"Seven Stars";"at the near the in";"printed for E. Withers, at the Seven Stars, near the Temple-Gate, in Fleet-Street: G. Woodfall, the Corner of Craig's-Court, Charing-Cross; and sold by R. Griffiths, at the Dunciad, in St. Paul's-Church-Yard"
"635";"printed";"for";"T. Jefferys";"Corner of St. Martin's-Lane";"at the";"printed for T. Jefferys, Geographer to his Royal Highness the Prince of Wales, at the Corner of St. Martin's-Lane, Charing-Cross"
"637";"printed";"for";"D. Wilson";"Plato's Head";"at in the";"printed for D. Wilson, at Plato's Head, in the Strand"
"640";"printed";"by";"Fletcher";"Oxford-Theatre";"at the the";"printed and sold by Fletcher and Co., Booksellers, at the Oxford-Theatre, the North-Side of St. Paul's Church-Yard"
"645";"printed";"for";"R. Dodsley";"Pall-Mail and";"in";"printed for R. Dodsley, in Pall-Mail and sold by M. Cooper, in Pater-Noster-Row"
"649";"sold";"by";"J. Rivington";"Saint Paul's Church-Yard";"in and other booksellers";"sold by J. and F. Rivington, in Saint Paul's Church-Yard, and other booksellers"
"650";"printed";"for";"William Carter";"Rose and Crown";"at the";"printed for William Carter, at the Rose and Crown in St. Paul's-Churchyard"
"653";"printed";"for";"T. Thornton";"Southampton-Street";"in the";"printed for T. Thornton, Southampton-Street, in the Strand"
"658";"printed";"for";"J. Noon";"White Hart";"at the";"printed for J. Noon, at the White Hart in Chcap-Side ; R. King, at the Bible and Crown in Fore-Street; J. Waugh, at the Turk's Head in Grace-Church-Street; and M. Cooper, at the Globe in Pater-Noster-Row"
"662";"printed";"at";NA;"Rev. Mr. Wesley's preaching-houses";"at the";"printed and sold at the New Chapel, City-Road, and at the Rev. Mr. Wesley's preaching-houses in town and country"
"664";"printed";"for";"J. Towers";"Fore-Street";"at no. 111 , in near";"printed for J. Towers, at No 111, in Fore-Street, near Cripplegate"
"674";"printed";"by";"Samuel Baker";"Angel and Crown";"at the";"printed, and sold by Samuel Baker, Bookseller, at the Angel and Crown in Russel-Street near Covent-Garden"
"677";"printed";"by";"Felix Farley";"School-Room";"at the";"printed by Felix Farley; and sold at the School-Room in the Horse-Fair: also by T. Trye, near Gray's-Inn Gate, Holborn; and at the Foundry near Upper-Moor-Fields, London"
"678";"printed";"for";"J. Newbery";"Bible and Sun";"at the";"printed for J. Newbery, at the Bible and Sun in St. Paul's Church-Yard"
"685";"printed";"by";"David Niven";"Trongate";"";"printed by David Niven; for James Duncan, Bookseller, Trongate"
"693";"printed";"for";"Mr. Swan";"World";"at the office of the paper of the No. 335 , opposite to";"printed for Mr. Swan; and sold at the office of the paper of the World, No. 335, opposite to Somerset-House, Strand"
"694";"Printed";"by";"John Mott";"Nagg's Head-Court";"No. 1 ,";"Printed and sold by John Mott, Stationer and Bookseller, No. 1, Nagg's Head-Court, Grace-Church-Street, London"
"700";"Printed";"by";"C. Lowndes";"Drury-Lane";"No. 66 , next the stage-door , and sold in the";"Printed by C. Lowndes, No. 66, Drury-Lane, next the stage-door, and sold in the Theatre"
"706";"printed";"by";"W. Wilkins";"Dolphin";"at the";"printed by W. Wilkins, at the Dolphin in Little-Britain"
"709";"printed";"by";"S. Powell";"Essex-Street";"in opposite to the";"printed by S. Powell, for George Faulkner, in Essex-Street, opposite to the Bridge"
"718";"Printed";"at";NA;"Bow-Church-Yard";"in";"Printed and sold at the printing-office in Bow-Church-Yard, London"
"724";"printed";"by";"R. Marchbank";"New Buildings";"no. 11 ,";"printed and sold by R. Marchbank, No 11, New Buildings, Dame-Street"
"729";"printed";"by";"T. Maiden";"Sherbourn-Lane";"No. 31 ,";"printed by T. Maiden, Sherbourn-Lane, for Vernor and Hood, No. 31, Poultry"
"741";"Printed";"by";"W. Mackintosh";"Temple Bar";"";"Printed by W. Mackintosh, and sold by J. Downes, No.240, Temple Bar"
"742";"printed";"for";"J. Murray";"Fleet-Street and";"at No. 32 , in";"printed for J. Murray; at No. 32, in Fleet-Street and G. Robinson, at No. 25, in Paternoster-Row"
"747";"printed";"for";"C. Hitch";"Red-Lion";"at the";"printed for C. Hitch and L. Hawes, at the Red-Lion, Pater-Noster-Row"
"756";"printed";"by";"G. Paramore";"North-Green";"";"printed by G. Paramore; North-Green, Worship-Street; and sold by G. Whitfield; at the Chapel, City-Road and at the Methodist preaching-houses, in town and country"
"757";"printed";"by";"John Marshall";"Aldermary Church Yard";"No. 4 ,";"printed and sold by John Marshall, No. 4, Aldermary Church Yard, Bow-Lane, Cheapside"
"761";"printed";"by";"John Marshall";"Aldermary Church-Yard";"at No. 4 , and No. 17 ,";"printed by John Marshall, at No. 4, Aldermary Church-Yard, Bow-Lane, and No. 17, Queen-Street, Cheapside"
"762";"printed";"for";"F. Noble";"Circulating-Library";"at his";"printed for F. Noble; at his Circulating-Library in King-Street, Covent-Garden; and J. Noble, at his Circulating-Library in St. Martin's-Court, near Leicester-Square"
"790";"Printed";"by";"J. Evans";"Long-lane";"";"Printed by J. Evans, Long-lane, West-smithfield, London"
