publication_frequency_text	publication_frequency_annual	original_frequency	original_interval	original_time	Count
Two per Week	104.00	semiweekly	began with dec. 3, 1783 issue.;-[n.s.] vol. 2, no. 72 (august 11, 1786)	<1783>-[1786]	1
Two per Week	104.00	semiweekly	no. 1 (nov. 17, 1783)-no. 529 (dec. 24, 1788)	1783-1788	1
Two per Week	104.00	semiweekly	new-york, saturday, november 22, 1783.(no. 747.)-no. 758 (dec. 31, 1783)	1783]	1
Two per Week	104.00	semiweekly	began: may 16, 1783; ceased: jan. 7? 1786	1783-1786	1
Two per Week	104.00	semiweekly	(vol. i.) saturday, march 15, 1783. (numb. 1.)-(vol. ii.) from thursday, october 21, to saturday, october 23, 1784. (numb. 219)	[1783-1784	1
Two per Week	104.00	semiweekly	vol. 1, no. 1 (mar. 3, 1781)-	1781-	1
Two per Week	104.00	semiweekly	vol. 7, no. 760 (aug. 3, 1781)-v. 9, no. 906 (may 19, 1783)	1781-1783	1
Two per Week	104.00	semiweekly	no. 1 (oct. 17, 1781)-;ceased in 1781	1781-	1
Two per Week	104.00	semiweekly	vol. 1, no. 1 (june 8, 1780)-v. 5, no. 339 (sept. 12, 1782)	1780-1782	1
Two per Week	104.00	semiweekly	vol. 1, no. 1 (mar. 18, 1779)-v. 3, no. 157 (aug. 29, 1781)	1779-1781	1
Two per Week	104.00	semiweekly	no. 1. (saturday, january 23, 1779.)-no. 110. (saturday, may 27, 1780.)	1793]	1
Two per Week	104.00	semiweekly	no. 1 (mar. 3, 1778)-no. 25 (may 26, 1778)	1778	1
Two per Week	104.00	semiweekly	no. 2055 (apr. 9, 1777)-;ceased with mar. 24, 1785 issue	1777-	1
Two per Week	104.00	semiweekly	no. 106 (dec. 3, 1777)-no. 155 (may 23, 1778)	1777-1778	1
Two per Week	104.00	semiweekly	(saturday, december 13, 1777.) (no. 147.)-;ceased with: no. 746 (19 nov. 1783)	[1777-1783]	1
Two per Week	104.00	semiweekly	vol. 1, no. 1 (jan. 4, 1776)-no. 435 (nov. 8, 1784)	1776-1784	1
Two per Week	104.00	semiweekly	vol. 9, no. 429 (nov. 7, 1776)-v. 33, no. 2162 (dec. 17, 1801)	1776-1801	1
Two per Week	104.00	semiweekly	vol. 1, no. 1 (july 7, 1770)-	1770-	1
Two per Week	104.00	semiweekly	began: may 8, 1769.;- vol. 1, no. 40 (jan. 4, 1770)	1769-1770	1
Two per Week	104.00	semiweekly	vol. 1, no. 1 (dec. 21, 1767)-v. 3, no. 26 (june 25, 1770)	1767-1770	1
Two per Week	104.00	semiweekly	began in nov.? 1766; ceased in 1776	<1766-1776>	1
Two per Week	104.00	semiweekly	began with apr. 4, 1764 issue.;-v. 24, no. 1144 (feb. 28, 1781)	-1781	1
Two per Week	104.00	biweekly	began with aug. 10, 1751 issue?;-no. 13 (25. jan. 1752)	-1752	1
Two per Week	104.00	semiweekly	begins in 1739?	<1739-	1
Two per Week	104.00	biweekly	began in june, 1778; ceased june 9/23, 1780	1778-1780]	1
Two per Week	104.00	semiweekly	began in jan. 1773; ceased in 1774?	<1773-	1
Two per Week	104.00	semiweekly	began with: no. 1, 5 oct. 1791; ceased: 24 sept. 1794	1791-[1794]	1
Two per Week	104.00	biweekly	[vol. i] friday, october 5, 1786.-friday, october, 5, 1787	1786-1787]	1
Two per Week	104.00	biweekly	friday, february 15, 1793.-;ceased: 21 feb. 1794	1793-1794]	1
Two per Week	104.00	biweekly	71. stück (juni 16, 1746)-	1746-	1
Two per Week	104.00	semiweekly	vol. 1, no. 24 (july 31, 1800)-v. 2, no. 172 (dec. 31, 1801)	1800-1801	1
Two per Week	104.00	semiweekly	ceased with nov. 16, 1810.;vol. 1, no. 1 (mar. 12, 1800)-	1800-	1
Two per Week	104.00	semiweekly	vol. 1, no. 1 (may 12, 1800)-v. 1, no. 23 (july 28, 1800)	1800	1
Two per Week	104.00	semiweekly	vol. 9, no. 11 (oct. 9, 1800)-v. 13, no. 35 (dec. 30, 1802)	1800-1802	1
Two per Week	104.00	semiweekly	tom. i. no. i (vendredi, 28 juin, 1776)-;ceased 31 dec. 1791?	[1776-1791?]	1
Two per Week	104.00	semiweekly	numb. 1. (saturday, jan. 27. 1711.) - numb.6 (tuesday, february 13. to thursday, february 15. 1711)	1711	1
Two per Week	104.00	semiweekly	vol.i. numb.9. (monday, march 7. 1692.) - vol.ii. numb.1. (monday, may 30. 1692)	1692	1
Two per Week	104.00	semiweekly	vol.i. numb. 1. (monday, february 1. 1691 [1692]) - vol. i. numb.8 (friday, march 4. 1692)	1691. [i.e. 1692]	1
Two per Week	104.00	semiweekly	numb. 1. (wednesday, june 3. 1696. = mercredi, 3 juin, 1696.) - numb. 12. (from friday the 10th to monday the 13th of july, 1696. = depuis le vendredy 10. jusqu'au lundy 13. juillet 1696.)	[1696]	1
Two per Week	104.00	semiweekly	numb. 1. (fryday nov. the 29th 1700.)	1700	1
Two per Week	104.00	biweekly	[vol.1] saturday, may 25th, 1745. [no.3] - [vol.iii.] saturday, september the 9th, 1749. [no.64.]	1745-1749	1
Two per Week	104.00	biweekly	[vol.1.] saturday, april the 27th, 1745. [no.1.] - [vol.1.] saturday, may the 11th, 1745. [no.2.];ceased with v.3:no.64 1749:sept.9	1745-[1749]	1
Two per Week	104.00	biweekly	began in 1742.;saturday, august 23, 1746. no.111	[1742]-1746	1
Two per Week	104.00	semiweekly	numb. 1. (tuesday, november the 7th 1704.)-numb. 5. (tuesday november the 21st, to friday november the 24th. 1704.)	[1704]	1
Two per Week	104.00	semiweekly	began: 23 may 1768; ceased: 25 sept. 1769	<1768-1769>	1
Two per Week	104.00	semiweekly	began with: numb. 1 (2 mar. 1713); ceased with numb. 21 (24 apr. 1713)	1713]	1
Two per Week	104.00	semiweekly	number i. (tuesday, march 22, 1757.)-	1757- ]	1
Two per Week	104.00	biweekly	october i, 1794-may [15?], 1795	1794-1795]	1
Two per Week	104.00	semiweekly	numb. 1. [30 apr. 1714]-vol. ii. numb. 50. (saturday, april the 30th, to thursday, may the 12th, 1715.)	1714-[1715]	1
Two per Week	104.00	semiweekly	began in 1714?; ceased in dec. 1718	[ -1718]	1
Two per Week	104.00	semiweekly	vol. i. no. 1. (friday, june 22. 1716)-vol. i. no. 9 (friday, july 20. 1716)	1716]	1
Two per Week	104.00	semiweekly	numb. i (wednesday, january 11, 1721)-numb. lii (from saturday, july 8, to wednesday, july 12. 1721)	[1721]	1
Two per Week	104.00	semiweekly	began with: 29 feb. 1787[i.e.1788]; ceased in 1805	<1788-1805>	1
Two per Week	104.00	semiweekly	began in sept. 1727.;-numb. xxi. (monday, november 27. 1727.)	[1727]	1
Two per Week	104.00	semiweekly	numb. 1. (friday, january 18. 1733)-numb. 2. (wednesday, january 23. 1733)	[1733]	1
Two per Week	104.00	biweekly	no. 3. (friday, jan. 22, 1796-to friday, feb. 5, 1796.)-no. 8. (friday, apr. 1, to friday, apr. 15, 1796)	1796]	1
Two per Week	104.00	biweekly	friday, dec. 25, 1795-to friday, jan. 8, 1796.-friday, jan. 8, to friday, jan. 22, 1796	1796]	1
Two per Week	104.00	semiweekly	no. i. (vendredi, 28 juin, 1776.) tom. i.-;ceased: 29 oct. 1776	[1776]	1
Two per Week	104.00	semiweekly	numb. i, ii, iii. (december 23, 26,30, 1715.)-numb. lv (friday, june 29th, 1716.)	mdccxvi. [1716]	1
Two per Week	104.00	semiweekly	[numb. i(oct.? 1729)]-	[1729-	1
Two per Week	104.00	semiweekly	began in 1768? ceased in 1781?	-<1775>	1
Two per Week	104.00	semiweekly	began in 1778?	-<1785>	1
Two per Week	104.00	semiweekly	began in 1777? ceased in 1792?	<1777- >	1
Two per Week	104.00	semiweekly	numb. i. (friday, march 11, 1726.)-;ceased with: no. 84 (26 dec. 1726)	[1726]	1
Two per Week	104.00	biweekly	no. i. from january 1 to 15.-;ceased with: no. 4, 5 mar. 1741	[1741]	1
Two per Week	104.00	semiweekly	no. 1. (monday, june [sic] 28, 1792.)-	[1792-	1
Two per Week	104.00	semiweekly	numb. 1 (monday august, the 22. 1709.)-numb. 3 (friday august, the 26. to monday august, the 29. 1709.)	1709	1
Two per Week	104.00	biweekly	vol. i. numb. i. (saturday, november 24, 1750)-vol. i. numb. xxvii. (saturday, november 23, 1751)	1750-1751]	1
Two per Week	104.00	biweekly	numb. i. (wednesday, may 30. 1716.)-numb. ii. (wednesday, june 12. 1716.)	1716	1
Two per Week	104.00	semiweekly	[numb. 1. (tues. 19 jan.-sat. 23 jan. 1742)]-numb. 71. (tues. 21 sept.-sat. 25 sept. 1742.)	[1742]	1
Two per Week	104.00	semiweekly	numb. 1. (saturday, november 17th. 1711.)-numb. 6. (saturday december 1. to tuesday december 3. 1711.)	[1711]	1
Two per Week	104.00	two times a week	num. 1 (friday may the 23d. 1701.)-;ceased with no. 14, july 29 1701?	mdcci. [1701]	1
Two per Week	104.00	semiweekly	no. 1. [14 july 1715]-;ceased with: no. 26 (15 oct. 1715)	[1715]	1
Two per Week	104.00	semi-weekly	tuesday, march 1, 1796. number i. - number ii of the quarter. from tuesday, december 30. 1800 to friday, january 2. 1801. no.516 - 1801+	1796-	1
Two per Week	104.00	biweekly	no. 1 wednesday, jan. 13. 1796. vol. i - no. v. wednesday, march 10, 1796. vol. i	1796	1
Two per Week	104.00	biweekly	NA	<1792-1793>	1
Two per Week	104.00	semiweekly	began mar. 7, 1798; ceased in 1798	1798	1
Two per Week	104.00	semiweekly	numb. i. [6 sept. 1766]-;ceased with numb. 11 (19 nov. 1766)	[1766]	1
Two per Week	104.00	biweekly	september 1, to september 25, 1772-march 25, to april 8, 1774	1772-1774]	1
Two per Week	104.00	biweekly	numb. 1. saturday, november 18, 1749. vol. i.-[no. 33. vol. iv.] saturday, november 10, 1753	1749-[1753]	1
Two per Week	104.00	semiweekly	volume i. (no. 1. saturday, march 27, 1790.-no. 26. tuesday, june 22, 1790.)	mdccxc. [1790]	1
Two per Week	104.00	biweekly	number i. volume i.-	1776- ]	1
Two per Week	104.00	semiweekly	no. i-no. xxviii	[1799-1800]	1
Two per Week	104.00	semiweekly	number 1. tuesday, may 5, 1789.-;ceased in june? 1789?	[1789- ]	1
Two per Week	104.00	semiweekly	numb. i. monday, march 24. 1718.-numb. cccl. friday, july 28. 1721	[1718-1721]	1
Two per Week	104.00	semiweekly	began with: no. 1 (11 mar. 1714); ceased with: no. 76[ie.77] (15 mar. 1715)	<1714-1715>	1
Two per Week	104.00	semiweekly	number i. tuesday, september 22, 1795.-number xl. saturday, april 30, 1796	[1795-1796]	1
Two per Week	104.00	biweekly	numb. i.-;ceased with: numb. iv	mdccxlv. [1745]	1
Two per Week	104.00	semiweekly	no i. tuesday, nov. 7, 1786-no l. saturday, april 28, 1787	1786-1787]	1
Two per Week	104.00	semiweekly	numb. i. (wednesday, november 28. 1722).-numb. cxvix. [i.e. cxx] (friday, march 26 [i.e. 27]. 1724.)	[1722-1724]	1
Two per Week	104.00	semiweekly	num. 1. die lunae junij mensis tertio [i.e. june 3]-num. 36. a die mercurii vicesimo nono januarii, ad quintem diem mensis februarii [i.e. jan. 29/feb. 3]	1706-1707	1
Two per Week	104.00	biweekly	wednesday the 20th. of jan. to wednesday the 3d of feb. 1696/7. = le mecredy [sic] 20. janvier, jusqu'au mecredy 3. fevrier, 1696/7.-;ceased: 17 feb. 1697	a londres [i.e. london] :;[1697	1
Two per Week	104.00	biweekly	tuesday, april 3, 1792-tuesday, march 26, 1793	1792-1793]	1
Two per Week	104.00	biweekly	number xi. saturday, december 8, 1792.-;ceased with no. 16 (15 june 1793)	1792-[1793]	1
Two per Week	104.00	semiweekly	began in 1755?; ceased in 1791	< -1791>	1
Two per Week	104.00	semiweekly	began in dec.? 1724	[1724]-	1
Two per Week	104.00	semiweekly	began in jan. 1788	<1788-	1
Two per Week	104.00	semiweekly	began with: numb. 1. (27 sept. 1707)	1707-	1
Two per Week	104.00	semiweekly	number 1. (wednesday, april 15.)-number 104. (saturday, april 10. 1790.); no. 105. vol. ii. (wednesday, april 14, 1790.)- no. 1 of vol. v. (wednesday, december 11, 1793.) = no. 1-whole no. 458	1789-[1793]	1
Two per Week	104.00	semiweekly	numb. 1. (tuesday, july the 2. 1695)	1695	1
Two per Week	104.00	semiweekly	numb. 2 (from tuesday, july 2. to friday, july 5. 1695)-;ceased with no. 3 (july 9. 1695)?	1695	1
Two per Week	104.00	semiweekly	numb. 1. (thursday february 20th. 1707.)-no. 2. (thursday february 20th, to tuesday feb. 25. 1707.)	[1707]	1
Two per Week	104.00	semiweekly	began in mar. ? 1788	<1788-	1
Two per Week	104.00	semiweekly	began in 1743; ceased in 1744?	<1743>	1
Two per Week	104.00	biweekly	began in may? 1764	[1764-	1
Two per Week	104.00	semiweekly	began in july, 1796? ceased in 1799	[1796?-1799]	1
Two per Week	104.00	semiweekly	no. i. (du mardi, 4 aout, 1789.)-no. xvi. (du vendredi, 25 septembre, 1789.)	[1789]	1
Two per Week	104.00	semiweekly	began: june 1789.;-no. 841. (friday, jan. 17-to monday, jan. 20. 1794.) vol. xii	[1789-1794]	1
Two per Week	104.00	semiweekly	no. 842. (friday, jan. 24. 1794.) vol. xii.-;ceased: oct. 1802	[1794-	1
Two per Week	104.00	semiweekly	began in 1793; ceased in 1793?	1793-	1
Two per Week	104.00	semiweekly	numb. i. (friday, february 21, 1723-4)-numb. xxxii (monday, june 15. 1724)	[1724]	1
Two per Week	104.00	biweekly (mar./april-nov.)	began in april 1773?	1773]-	1
Two per Week	104.00	semiweekly	began and ceased in 1708	<1708>	1
Two per Week	104.00	semiweekly	began: sept. 24, 1714; ceased in jan 1722?	[1714-1722?]	1
Two per Week	104.00	biweekly	no. 1-no. 51	[1796-1798]]	1
Two per Week	104.00	semiweekly	began: july 18, 1769; ceased sept. 1, 1962	<1769-	1
Two per Week	104.00	semiweekly	began in 1767?; ceased in 1769	-1769>	1
Two per Week	104.00	semiweekly	vol. i. numb. 1 (friday, november the 1st, 1765.)-;ceased in 1765?	[1765]	1
Two per Week	104.00	semiweekly	began in 1789? ceased sometime after 1792	[1789?]-	1
Two per Week	104.00	semiweekly	no. i. (thursday, december 27, 1798.)-no. xxxii. (saturday, march 9, 1799.)	[1798-1799]	1
Two per Week	104.00	semiweekly	no. 1 (march 26 1800)-;ceased with no. 7 (17 apr. 1800)	[1800]	1
Two per Week	104.00	biweekly	[no. 1] (july 29th, 1762 to aug. 12th [1762])-number xxii. (may the 22d, to june 4th inclusive. [1763])	m dcc lxii. [1762-1763]	1
Two per Week	104.00	biweekly	rhan i. [3 march 1770]-;ceased with no. 15 (15 sept. 1770)	1770	1
Two per Week	104.00	semiweekly	[vol. 1] numb. 1. ([saturday, july 31, to tuesday, august the 3d. 1703])-vol. 3. numb. 3. (saturday march the 11th. to tuesday the th.14 [sic] 1703/4)	1703-1704	1
Two per Week	104.00	semiweekly	began in 1794?;-v. ix. (september 16,1797)	-[1797]	1
Two per Week	104.00	semiweekly	numb. 1. (friday, august 7, 1713.)-;ceased with: numb. 103. (friday, july 30. 1714.)	[1713-1714]	1
Two per Week	104.00	semiweekly	began with may 4, 1768 issue	[1768]-	1
Two per Week	104.00	semiweekly	no. 1 (monday, may 22, 1710)-no. 50 (monday, november 6 to friday, november 10, 1710)	[1710]	1
Two per Week	104.00	semiweekly	numb. 1 [friday nov. 25. 1681]-numb. 5 [monday dec. 19. 1681]	1681	1
Two per Week	104.00	semiweekly	numb. i. (friday, december 23. 1715.)-numb. lv. (friday, june 29. 1716.)	printed in the year 1715-[1716]	1
Two per Week	104.00	semiweekly	numb. i. (thursday, feb. 24. 1715.)-numb. xxxiv. (tuesday july 12. to friday july 15. 1715.)	[1715]	1
Two per Week	104.00	semiweekly	began with 4 jan. 1792 issue; ceased with 19 may 1797 issue	[1792-1797]	1
Two per Week	104.00	semiweekly	numb. 1. (monday, october 16, 1727)-numb. 27. (monday, january 15. 1727/8.)	m. dcc. xxvii.- [1727-1728]	1
Two per Week	104.00	semiweekly	number i (saturday, november 3, 1753)-number xix (saturday, january 5, 1754)	[1753-1754]	1
Two per Week	104.00	semiweekly	numb. i. (monday, july 11. 1715.)-numb. xxxviii. (monday, november 21. 1715.)	[1715]	1
Two per Week	104.00	biweekly (cumulated every thirteen numbers)	[volume the first] numb. i. (saturday, march 29. 1746.)-[volume the third.] numb. xxxix. (saturday, september 12. 1747.)	m.dcc.xlvi-m.dcc.xlvii. [1746-1747]	1
Two per Week	104.00	semiweekly	numb. 1 (tuesday, march 20, 1749-50[i.e. 1750])-no. 208 (saturday, march 14, 1752)	[1750-1752]	1
Two per Week	104.00	biweekly, with six-issue cumulations	number 1. ([nov. 1799])-number 12. ([may 1800])	1799-	1
Two per Week	104.00	semiweekly	numb. 101. (saturday april 19. to tuesday april 22. [1690])-;ceased with: numb. 147 (14-18 oct. 1690)	1690	1
Two per Week	104.00	semiweekly	numb. 30. (saturday june 15. to tuesday june 18. [1689])-numb. 100 (tuesday april 8. to saturday april 19 [1690])	1689-1690	1
Two per Week	104.00	semiweekly	numb. 2. (monday and tuesday, the 18th and 19th of this instant march, 1689.)-;ceased with: numb. 29 (11-15 june 1689)	m dc lxxx ix. [1689]	1
Two per Week	104.00	semiweekly	[numb. 1 (march 25. 1689)]	mdclxxxix. [1689]	1
Two per Week	104.00	semiweekly	numb. 1. (saturday, feb. 19. 1704.)-numb. 7. (tuesday, march 28. 1704.)	1704	1
Two per Week	104.00	semiweekly	numb. 24. (from thursday, february 1. to monday, february 5. 1665 [i.e 1666])-	1665 [i.e. 1666]-	1
Two per Week	104.00	semiweekly	numb. 1 [4-14 november 1665] - numb. 23 (from monday, january 29. to thursday, february 1. 1665 [i.e. 1666])	[1665-1666]	1
Two per Week	104.00	semiweekly	began june 3 1723.;-numb. lxxiv (monday, february 17. 1723-4 [i.e. 1724])	[1723-1724]	1
Two per Week	104.00	semiweekly	numb. 1 (from wednesday august the 2d, to saturday august the 5th, 1704.)	1704	1
Two per Week	104.00	biweekly	no. i. (saturday 30th of july, 1796.)-no. viii (saturday 5th of november, 1796.)	[1796]	1
Two per Week	104.00	semiweekly	number i (saturday, march 13, 1779.)-number xvii. (wednesday, june 2, 1779.)	[1779]	1
Two per Week	104.00	semi-weekly	[vol.1] numb. 2 (tuesday, march, 24th. 1690 [i.e. 1691])-vol.20 numb.10 (monday, june 14. 1697)	1690 [i.e. 1691]-1697	1
Two per Week	104.00	semiweekly	began in march? 1715; ceased in 1716?	<1715-	1
Two per Week	104.00	semiweekly	numb. i (saturday, january 2. 1720)-numb. xxviii (from saturday april 2. to tuesday april 5, 1720)	[1720]	1
Two per Week	104.00	semiweekly	numb. i (friday, february 21. 1724)-;ceased with no. xxxvi (22 june 1724)	[1724]	1
Two per Week	104.00	semiweekly	numb. i. (monday, march 23 1723-24.)-numb. cxvii. (friday, may 7. 1725.)	[1724-1725]	1
Two per Week	104.00	semiweekly	began with numb. i (dec. 5, 1726).;-numb. xliv (from friday, may 5. to monday, may 8. 1727)	1726-[1727]	1
Two per Week	104.00	semiweekly	[vol. i] numb. 1. (wednesday, april 1. 1702.)-vol. xi. numb. 60. [i.e. no. 61] (from saturday, july 26. to wednesday, july 30. 1712.)	1703 [i.e. 1702]-[1712]	1
Two per Week	104.00	semiweekly	numb. 12 (tuesday, may 31. to friday, june 3, 1681.)-numb. 115 (friday, may 26. to tuesday, may 30. 1682)	1681-[1682]	1
Two per Week	104.00	semiweekly	numb. 5 (saturday may 7. 1681.)-numb. 115 (from friday, may 26. to tuesday, may 30. 1682.)	1681-[1682]	1
Two per Week	104.00	biweekly	no. i. wednesday, october 16, 1782-;ceased in 1783?	1782-	1
Two per Week	104.00	semiweekly	numb. 10 (published from saturday, march 13. to tuesday, march. 16)-numb. 24 (published from saturday, may 1. to tuesday, may 4)	[1680]	1
Two per Week	104.00	semiweekly	numb. 1 (published saturday, feb. 14. 1679 [i.e. 1680].)-numb. 9 (published from tuesday, march. 9. to saturday, march 13)	[1680]	1
Two per Week	104.00	semiweekly	numb. 1 (tuesday, april 26. 1681.)-numb. 70 (tuesday decemb. 20. to saturday decemb. 24. 1681.)	1681	1
Two per Week	104.00	semiweekly	numb. 15. (from saturday, june 15. to monday, june 17. 1695.)	1695	1
Two per Week	104.00	semiweekly	numb. 2. (saturday, august 18. 1694.)-numb. 14 (from tuesday, june 11. to saturday, june 15. 1695.)	1694-1695	1
Two per Week	104.00	semiweekly	numb. 1. (beginning tuesday the 28 decemb'. 1680.)-no. 185 [i.e. 188] (wednesday, oct. 25, 1682)	1680-1682	1
Two per Week	104.00	semiweekly	[numb. 1] (published march the 10th)-numb. 7 (from munday, march the 28th. to munday [sic], march 31th)	[1681]	1
Two per Week	104.00	two times a week	began with no. 1 (11 march 1696); ceased with no. 545 (18 december 1700)	[1696-1700]	1
Two per Week	104.00	semiweekly	numb. 1 (monday, the twenty-fourth of april, 1682.)-[numb. 6] (from wednesday may 10. to saturday may 13. 1682.)	1682	1
Two per Week	104.00	biweekly	volume i. [july 13th-december 14th, 1776]-	[1776]-	1
Two per Week	104.00	semiweekly	numb. 1 (monday decemb. the 31. 1688.)-numb. 18 (from tuesday march 5. to saturday march 9. 1689.)	1688-1689	1
Two per Week	104.00	semiweekly	no. 1. (tuesday april 24, 1744.)-numb. 817. (saturday february 29, to tuesday march 3, 1752)	[1744-1752]	1
Two per Week	104.00	semiweekly	began with num. 21 (23 aug. 1682); ceased with num. 37 (23 oct. 1682)	1682	1
Two per Week	104.00	semiweekly	vol. v. number 509 (saturday november 14, to tuesday november 17, 1741.)-vol. vii. number 722 (tuesday december 27, to saturday december 31, 1743.)	[1741-1743]	1
Two per Week	104.00	semiweekly	vol. v. number 471 (saturday july 4, to tuesday july 7, 1741.)-vol. v. number 508 (tuesday november 10, to saturday november 14, 1741.)	[1741]	1
Two per Week	104.00	semiweekly	vol. i. numb. 1. (saturday january the 1st, to tuesday january the 4th, 1736-7.)-;ceased in july 1741	[1737]-	1
Two per Week	104.00	semiweekly	vol. i. numb. 1. (saturday, june 10, 1732.)-;ceased in 1741	[1732]-	1
Two per Week	104.00	semiweekly	began in mar.? 1727? ceased with 22 june 1734?	<1727-1732>	1
Two per Week	104.00	semiweekly	vol. i. numb. 19 (wednesday march the 8th 1726-7.)-;ceased in march 1727	[1727]	1
Two per Week	104.00	semiweekly	began in sept. 1726.;- numb. 719 [sic] (friday november, 10th. 1727)	-[1727]	1
Two per Week	104.00	semiweekly	numb. i (saturday, march 27, 1725)-;ceased in dec. 1727?	1725-[1727?]	1
Two per Week	104.00	biweekly	[numb. 1] ian. 17. 1643. [i.e. 1644]-numb. 2 (from tuesday the 31. of ianuary, to tuesday the 6. of february. 1644.)	1644]	1
Two per Week	104.00	biweekly	numb.1. (munday, 22 march, 1679 [i.e. 1680])-numb.4. (thursday, 1 april, 1680)	1680	1
Two per Week	104.00	two or three times a week	numb.5. (saturday, april 3. 1680)-numb.14. (thursday, may 6. 1680)	1680	1
Two per Week	104.00	semiweekly	num. 1. (munday october 10. 1681.-;ceased: oct. 17, 1681	1681	1
Two per Week	104.00	semiweekly	numb. 1 (published from tuesday march, 9. to saturday march 13)	1680	1
Two per Week	104.00	semiweekly	vol. i. numb. 1. (tuesday march the 7th, 1710.)-vol. ii. numb. 26. (from tuesday september the 12th, to saturday september the 16th, 1710.)	[1710]	1
Two per Week	104.00	semiweekly	numb. 1 (wednesday, june 14. 1682)-;ceased with no. 20 (19 aug. 1682)	1682	1
Two per Week	104.00	semiweekly	numb. 1. (fryday, june 9. 1682.)-numb. 46. (tuesday novem. 14. to friday novem. the 17. 1682.)	1682	1
Two per Week	104.00	semiweekly	numb. 1 (saturday december the 15th. 1688.)-;ceased with numb. 13 (14-18 feb. 1689)	1688-1689	1
Two per Week	104.00	semiweekly	began with numb. 1 (dec. 12, 1688).;-numb. 9 (from saturday, january 5. to tuesday, january 8. 1686 [i.e. 1689])	printed in the year [1688-1689]	1
Two per Week	104.00	semiweekly	numb. 1 (friday, may 13. 1681.)-numb. 155 (from munday november the 13. to thursday the 16. 1682.)	1681-1682	1
Two per Week	104.00	semiweekly	numb. 1 (fryday, april 23. 1680.)-;ceased with no. 7 (14 may 1680)?	1680	1
Two per Week	104.00	semiweekly	numb. 56 (fryday, january. 16. 1679 [i.e. 1680].)-numb. 114. (friday, april 15. 1681)	1679 [i.e. 1680]-1681	1
Two per Week	104.00	semiweekly	numb. 1 (monday, july the 9th [i.e. 7th], 1679.)-numb. 55 (tuesday, january. 13. 1679. [i.e. 1680])	1679-[1680]	1
Two per Week	104.00	semiweekly	numb. 1 (beginning june 4. 1666.)-;ceased with no. 24 aug. 23, 1666 issue	1666	1
Two per Week	104.00	semiweekly	numb. 8 (fryday, june 7. 1695)-numb. 14 (from tuesday june 25. to friday june 28. 1695)	1695	1
Two per Week	104.00	semiweekly	numb. 1 (tuesday, may, 14. 1695)-numb. 7 (tuesday, june 4. 1695)	1695	1
Two per Week	104.00	semiweekly	numb. 14. (monday july 22. to thursday july 24. [1667])-numb. 21. (thursday august 15. to monday august 19. [1667])	1667	1
Two per Week	104.00	semiweekly	numb. 1 (munday, april the 4th)-numb. 4 (from munday, april the 11th. to thursday, april the 14th)	[1681]	1
Two per Week	104.00	semiweekly	nombre 1. (depuis le lundy, 12. jusquau jeudy, 15. novembre 1666)-;ceased in 1705?	1666-[1705?]	1
Two per Week	104.00	semiweekly	[numb. 1 (june 10, 1667)]-numb. 13. (thursday july 18. to monday july 22. [1667])	[1667]	1
Two per Week	104.00	semiweekly	num. 1. (published on tuesday, july 22. 1679.)-num. 2. (published on friday, july 25. 1679.)	1679]	1
Two per Week	104.00	semiweekly	numb. i (tuesday, june 18, 1723)-numb. li (friday, january 31, 1723-4 [i.e. 1724])	[1723-1724]	1
Two per Week	104.00	semiweekly	numb. 1. (saturday, january 19. 1688. [1689])-	1688. [i.e. 1689]-	1
Two per Week	104.00	semiweekly	began in 1726?;ceased on june 30, 1884?	1726?-1884?]	1
Two per Week	104.00	semiweekly	numb. 1 (beginning wednesday the 22 of december, 1680)-num. 7 (from saturday january 8 to wednesday january 12. 1680 [i.e.1681])	1680-[1681]	1
Two per Week	104.00	semiweekly	num. 1. (monday, september 8. 1679.)-	[1679]	1
Two per Week	104.00	semiweekly	numb. 1. (saturday, may 25. 1695.)-;ceased with no. 2?	1695-	1
Two per Week	104.00	semiweekly	numb. 1 (wednesday, december 12th. 1688)-numb. 9. (friday january 4. to wednesday january 9. 1688/9.)	1688-1689	1
Two per Week	104.00	semiweekly	numb. 11. (from wednesday decemb. 24. to saturday decemb. 27. 1679.)-;ceased with numb. 51. (from wednesday may. 12. to saturday may. 15 1680.)?	1679-[1680?]	1
Two per Week	104.00	semiweekly	numb. 1. (from thursday nov. 13. to thursday nov. 20. 1679.)-numb. 10. (from saturday decemb. 20. to wednesday decemb. 24. 1679.)	1679	1
Two per Week	104.00	semiweekly	numb. 19. (tuesday, september 9. 1679.)-numb. 90. (from tuesday may 11. to friday may 14. 1680.)	anno domini, 1679-an. dom. 1680	1
Two per Week	104.00	semiweekly	numb. 1. (tuesday, february 1, 1680/1)-numb. 22. (from monday april 11. to thursday april 14 1681.)	1681	1
Two per Week	104.00	semiweekly	began in mar.? 1721.;-numb. 597 (tuesday january. 16th, 1721. [i.e. 1722])	-1721 [i.e. 1722]	1
Two per Week	104.00	semiweekly	began with: nov. 24? 1722; ceased in may 1724?	[1722-1724?]	1
Two per Week	104.00	semiweekly	numb. 1. (saturday october the 14th. 1721.)	[1721]	1
Two per Week	104.00	semiweekly	may. [no. 1.] (tuesday, may, 22, 1716.)-;ceased in june, 1716	1716-	1
