PrintedFor	PrintedBy	Ignored	Original	count
By Bonham Norton, and Iohn Bill, Printers to the Kings most Excellent Maiestie	NA	NA	By Bonham Norton, and Iohn Bill, printed to the Kings most excllent Maiestie	7
Printed by Iohn Wolfe	NA	NA	Printed by Iohn Wolfe	7
In Powles Churchyarde, by Richarde Iugge and Iohn Cawood, Printers to the Queenes Maiestie	NA	NA	printed inPowles Churchyarde, by Richarde Iugge and Iohn Cawood, printed to the Queenes Maiestie	7
printed for T. Davies	NA	NA	printed for T. Davies	7
printed for Richard Baldwin in the Old-Baily	NA	NA	printed for Richard Baldwin in the Old-Baily	7
printed for John Johnson	NA	NA	printed for John Johnson	7
printed for H.B.	NA	NA	printed for H.B	7
printed by Charles Bill, and the executrix of Thomas Newcomb, deceas'd, printers to the King's most excellent Majesty	NA	NA	printed by Charles Bill, and the executrix of Thomas Newcomb, deceas'd, printed to the King's most printedllent Majesty	7
Printed by James Flesher, printer to the honourable city of London	NA	NA	Printed by James Flesher, printed to the honourable city of London	7
re-printed by Christopher Higgins, in Harts Close, over against the Trone Church	NA	NA	reprinted by Christopher Higgins, in Harts Close, over against the Trone Church	7
by Evan Tyler, printer to the Kings most excellent Majestie	NA	NA	by Evan Tyler, printed to the Kings most printedllent Majestie	7
printed by E. Griffin	NA	NA	printed by E. Griffin	7
Printed by Samuel Roycroft, printer to the honourable City of London	NA	NA	Printed by Samuel Roycroft, printed to the honourable City of London	7
for George Horton	NA	NA	for George Horton	7
printed for Iohn Franke, and are to be sold at his shop next doore to the Kings head in Fleetstreet	NA	NA	printed for Iohn Franke, and are to be sold at his shop next doore to the Kings head in Fleetstreet	7
by L. Lichfield]	NA	NA	by L. Lichfield	7
printed by Charles Bill and the executrix of Thomas Newcomb deceas'd; printers to the King and Queens most Excellent Majesties	NA	NA	printed by Charles Bill and the executrix of Thomas Newcomb deceas'd; printed to the King and Queens most excllent Majesties	7
for John Wright at the Kings Head in the Old Baily	NA	NA	for John Wright at the Kings Head in the Old Baily	7
printed by Charles Bill and the executrix of Thomas Newcomb, deceas'd, printers to the Kings most excellent Majesty	NA	NA	printed by Charles Bill and the executrix of Thomas Newcomb, deceas'd, printed to the Kings most printedllent Majesty	7
for John Wright at the Kings head in the old Bayley	NA	NA	for John Wright at the Kings head in the old Bayley	7
printed for Thomas Simmons, at the Bull and Mouth near Aldersgate	NA	NA	printed for Thomas Simmons, at the Bull and Mouth near Aldersgate	7
By L. Lichfield	NA	NA	By L. Lichfield	7
printed by Charles Bill, and the executrix of Thomas Newcomb deceas'd, printers to the King and Queens most excellent Majesties	NA	NA	printed by Charles Bill, and the executrix of Thomas Newcomb deceas'd, printed to the King and Queens most printedllent Majesties	7
printed by Andrew Crook the assign of Benjamin Tooke printer to the King's most excellent Majesty; and are to be sold at his Majesties printing-house on Ormonde-Key	NA	NA	printed by Andrew Crook the assign of Benjamin Tooke printed to the King's most printedllent Majesty; and are to be sold at his Majesties printing-house on Ormonde-Key	7
Printed by Richard Cotes, printer to the honourable city of London	NA	NA	Printed by Richard Cotes, printed to the honourable city of London	7
printed by Andrew Crook, assignee of Benjamin Tooke, printer to the King and Queens most excellent Majesties on Ormonde-Key	NA	NA	printed by Andrew Crook, assignee of Benjamin Tooke, printed to the King and Queens most printedllent Majesties on Ormonde-Key	7
printed by Andrew Crook assignee of Benjamin Tooke printer to the King and Queen at Their Majesties printing-house on Ormonde-Key	NA	NA	printed by Andrew Crook assignee of Benjamin Tooke printed to the King and Queen at Their Majesties printing-house on Ormonde-Key	7
printed by J. Grismond	NA	NA	printed by J. Grismond	7
printed for T.B.	NA	NA	printed for T.B	7
printed for Edw. Husband, printer to the Honorable House of Commons	NA	NA	printed for Edw. Husband, printed to the Honorable House of Commons	7
printed by Christopher Barker and John Bill, printers to the Kings most Excellent Majesty	NA	NA	printed by Christopher Barker and John Bill, printed to the Kings most excllent Majesty	7
printed for Francis Leach	NA	NA	printed for Francis Leach	7
printed by E. Mallet	NA	NA	printed by E. Mallet	7
printed by Henry Hills and John Field, printers to the Committee of Safety	NA	NA	printed by Henry Hills and John Field, printed to the Committee of Safety	7
printed for Ralph Rounthwait	NA	NA	printed for Ralph Rounthwait	7
printed for John Field	NA	NA	printed for John Field	7
printed for Henry Overton	NA	NA	printed for Henry Overton	7
printed for Edward Husband, printer to the Honorable House of Commons, and are to be sold at his shop in Fleetstreet, at the sign of the Golden-Dragon, near the Inner-Temple	NA	NA	printed for Edward Husband, printed to the Honorable House of Commons, and are to be sold at his shop in Fleetstreet, at the sign of the Golden-Dragon, near the Inner-Temple	7
by Robert Ibbitson	NA	NA	by Robert Ibbitson	7
printed for W. Webb near St. Paul's	NA	NA	printed for W. Webb near St. Paul's	6
printed by Charles Bill, and the executrix of Thomas Newcomb deceas'd; printers to the Kings most Excellent Majesty	NA	NA	printed by Charles Bill, and the executrix of Thomas Newcomb deceas'd; printed to the Kings most excllent Majesty	6
printed for Edward Jones in the Savoy, and Timothy Goodwin at the Queen's Head against St. Dunstan's Church in Fleetstreet	NA	NA	printed for Edward Jones in the Savoy, and Timothy Goodwin at the Queen's Head against St. Dunstan's Church in Fleetstreet	6
printed by Thomas Baskett, printer to the King's most Excellent Majesty; and by the assigns of Robert Baskett	NA	NA	printed by Thomas Baskett, printed to the King's most excllent Majesty; and by the assigns of Robert Baskett	6
printed by Richard Cotes and John Raworth	NA	NA	printed by Richard Cotes and John Raworth	6
printed for William Sheares	NA	NA	printed for William Sheares	6
printed by George Grierson, printer to the King's most excellent Majesty	NA	NA	printed by George Grierson, printed to the King's most printedllent Majesty	6
printed by Charles Bill and the executrix of Thomas Newcomb, deceas'd; printers to the Kings most excellent Majesty	NA	NA	printed by Charles Bill and the executrix of Thomas Newcomb, deceas'd; printed to the Kings most printedllent Majesty	6
printed by Andrew Crooke, printer to the King's most excellent Majesty, at the Kings Arms in Copper-Alley	NA	NA	printed by Andrew Crooke, printed to the King's most printedllent Majesty, at the Kings Arms in Copper-Alley	6
Printed at London, and re-printed at Leith	NA	NA	printed in London, and reprinted in Leith	6
printed by Andrew Crook, printer to the Kings most excellent Majesty, on Ormonde-Key	NA	NA	printed by Andrew Crook, printed to the Kings most printedllent Majesty, on Ormonde-Key	6
printed by Andrew Crook, assignee of Benjamin Tooke, printer to the King and Queen's most excellent Majesties, on Ormonde-Key	NA	NA	printed by Andrew Crook, assignee of Benjamin Tooke, printed to the King and Queen's most printedllent Majesties, on Ormonde-Key	6
printed by W. Chase, by order of the goaler	NA	NA	printed by W. Chase, by order of the goaler	6
Printed by Edes and Gill, printers to the Honorable House of Representatives	NA	NA	Printed by Edes and Gill, printed to the Honorable House of Representatives	6
Printed by J. Franklin	NA	NA	Printed by J. Franklin	6
Printed and sold by Robert Bell, in Third-Street	NA	Robert Bell	NA	6
Printed by John Holt, in Water-Street, near the coffee-house	NA	NA	Printed by John Holt, in Water-Street, near the coffee-house	6
Printed by James Davis	NA	NA	Printed by James Davis	6
Printed by John Carter?	NA	NA	Printed by John Carter?	6
Printed by James Johnston	NA	NA	Printed by James Johnston	6
(Printed by Bennett Wheeler.)	NA	NA	(Printed by Bennett Wheeler.)	6
Printed by Timothy Green?	NA	NA	Printed by Timothy Green?	6
Printed by Hudson & Goodwin	NA	NA	Printed by Hudson & Goodwin	6
Printed by B. Green	NA	NA	Printed by B. Green	6
Printed by John Steele	NA	NA	Printed by John Steele	6
Printed by F. Bailey, at Yorick's Head, in Market Street	NA	NA	Printed by F. Bailey, at Yorick's Head, in Market Street	6
Printed by Robert Aitken, three doors above the coffee-house, in Market Street	NA	NA	Printed by Robert Aitken, three doors above the coffee-house, in Market Street	6
Printed by Thomas & John Fleet	NA	NA	Printed by Thomas & John Fleet	6
London, printed and published for the authors, by T.W. Shaw: Newport, reprinted [by Solomon Southwick]	the authors	NA	NA	6
Printed and sold by B. Towne	NA	B Towne	NA	6
printed for J. Roberts near the Oxford-Arms in Warwick-Lane	NA	NA	printed for J. Roberts near the Oxford-Arms in Warwick-Lane	6
printed for J. Scott, at the Black-Swan, in Pater-Noster-Row	NA	NA	printed for J. Scott, at the Black-Swan, in Pater-Noster-Row	6
printed for J. Baker at the Black-Boy in Pater-Noster-Row	NA	NA	printed for J. Baker at the Black-Boy in Pater-Noster-Row	6
printed for J. Morphew near Stationers-Hall	NA	NA	printed for J. Morphew near Stationers-Hall	6
printed for J. Nutt, near Stationers-Hall	NA	NA	printed for J. Nutt, near Stationers-Hall	6
printed, by assignment from Mr. Knapton, for T. Osborne and J. Shipton, J. Hodges, J. Robinson, H. Woodfall, W. Strahan, J. Rivington, J. Ward, R. Baldwin, W. Owen, W. Johnston, J. Richardson, P. Davey and B. Law, T. Longman, T. Caslon, S. Crowder and H. Woodgate, M. Cooper, and C. Ware	NA	NA	printed, by assignment from Mr. Knapton, for T. Osborne and J. Shipton, J. Hodges, J. Robinson, H. Woodfall, W. Strahan, J. Rivington, J. Ward, R. Baldwin, W. Owen, W. Johnston, J. Richardson, P. Davey and B. Law, T. Longman, T. Caslon, S. Crowder and H. Woodgate, M. Cooper, and C. Ware	6
aux dépens de la Compagnie	NA	NA	aux dépens de la Compagnie	6
printed for J. Wilkie, in St. Paul's Church-Yard	NA	NA	printed for J. Wilkie, in St. Paul's Church-Yard	6
printed for G. G. and J. Robinson	NA	NA	printed for G. G. and J. Robinson	6
printed for J. Wilkie	NA	NA	printed for J. Wilkie	6
printed by Samuel Fairbrother, and are to be sold at his shop	NA	NA	printed by Samuel Fairbrother, and are to be sold at his shop	6
printed for John and Paul Knapton, at the Crown in Ludgate-Street	NA	NA	printed for John and Paul Knapton, at the Crown in Ludgate-Street	6
printed for A. Millar in the Strand	NA	NA	printed for A. Millar in the Strand	6
E Theatro Sheldoniano	NA	NA	E Theatro Sheldoniano	6
printed by Charles Bill, and the executrix of Thomas Newcomb, deceas'd; printers to the King's most excellent Majesty	NA	NA	printed by Charles Bill, and the executrix of Thomas Newcomb, deceas'd; printed to the King's most printedllent Majesty	6
printed by and for George Faulkner	NA	NA	printed by and for George Faulkner	6
printed for John Stockdale, Opposite Burlington House, Piccadilly	NA	NA	printed for John Stockdale, Opposite Burlington House, Piccadilly	6
printed for R. Faulder, New Bond Street	NA	NA	printed for R. Faulder, New Bond Street	6
printed for J. Wright, Opposite Old Bond Street, Piccadilly	NA	NA	printed for J. Wright, Opposite Old Bond Street, Piccadilly	6
printed, and are to be sold by the booksellers of London and Westminster	NA	NA	printed, and are to be sold by the booksellers of London and Westminster	6
printed for R. Griffiths, in Pater-Noster-Row	NA	NA	printed for R. Griffiths, in Pater-Noster-Row	6
printed for T. Cooper, at the Globe in Pater-Noster Row	NA	NA	printed for T. Cooper, at the Globe in Pater-Noster Row	6
printed by James Moore, College-Green	NA	NA	printed by James Moore, College-Green	6
chez Jean Nourse	NA	NA	chez Jean Nourse	6
printed for T. Cooper	NA	NA	printed for T. Cooper	6
printed for John Clark, at the Bible and Crown in the Poultry, near Cheapside	NA	NA	printed for John Clark, at the Bible and Crown in the Poultry, near Cheapside	6
printed for M. Cooper, at the Globe, in Pater-Noster-Row	NA	NA	printed for M. Cooper, at the Globe, in Pater-Noster-Row	6
printed by and for J. Nichols, Printer to the Society of Antiquaries; and Sold by all the Booksellers in Great Britain and Ireland	NA	NA	printed by and for J. Nichols, printed to the Society of Antiquaries; and Sold by all the Booksellers in Great Britain and Ireland	6
printed by and for J. Nichols, printer to the Society of Antiquaries; and sold by all the booksellers in Great Britain and Ireland	NA	all the booksellers	NA	6
printed for Nath. Crouch at the Bell in the Poultry near Cheapside	NA	NA	printed for Nath. Crouch at the Bell in the Poultry near Cheapside	6
printed for James Knapton, at the Crown in St. Paul's Church-Yard	NA	NA	printed for James Knapton, at the Crown in St. Paul's Church-Yard	6
Printed for J. Milliken, 32, Grafton-Street	NA	NA	Printed for J. Milliken, 32, Grafton-Street	6
printed for G. Kearsly, Fleet-Street	NA	NA	printed for G. Kearsly, Fleet-Street	6
Printed by John Baskett, printer to the Queens Most Excellent Majesty, and the assigns of Thomas Newcomb, and Henry Hills, deceas'd	NA	NA	Printed by John Baskett, printed to the Queens Most excllent Majesty, and the assigns of Thomas Newcomb, and Henry Hills, deceas'd	6
printed by John Baskett; and Thomas Norris, assignee to George Hills	NA	NA	printed by John Baskett; and Thomas Norris, assignee to George Hills	6
by Christopher Barker, printer to the Queenes most excellent Maiestie	NA	NA	by Christopher Barker, printed to the Queenes most printedllent Maiestie	6
by Robert Barker, printer to the Queenes most excellent Maiestie	NA	NA	by Robert Barker, printed to the Queenes most printedllent Maiestie	6
printed [J. Dawson?] for Nath: Butter and Nicolas Bourne	NA	NA	printed J. Dawson? for Nath: Butter and Nicolas Bourne	6
Be Robert Lekpreuik	NA	NA	Be Robert Lekpreuik	6
Printed [by Richard Overton]	NA	NA	Printed by Richard Overton	6
Printed by Edw. Jones, in the Savoy	NA	NA	Printed by Edw. Jones, in the Savoy	6
printed by Charles Bill, and Thomas Newcomb, printers to the Kings most Excellent Majesty	NA	NA	printed by Charles Bill, and Thomas Newcomb, printed to the Kings most excllent Majesty	6
printed by I.C.	NA	NA	printed by I.C	6
John Forbes	NA	NA	John Forbes	6
imprinted by James Brown	NA	NA	printed by James Brown	6
printed for W.D.	NA	NA	printed for W.D	6
L. Lichfield	NA	NA	L. Lichfield	6
printed for George Lindsey	NA	NA	printed for George Lindsey	6
Printed by His Majesties command, at the desire of the Lords and Commons of Parliament assembled at Oxford, by Leonard Lichfield, printer to the Vniversity	NA	NA	Printed by His Majesties command, at the desire of the Lords and Commons of Parliament assembled at Oxford, by Leonard Lichfield, printed to the Vniversity	6
printed for James Partridge, Matthew Gillyflower, and Samuel Heyrick	NA	NA	printed for James Partridge, Matthew Gillyflower, and Samuel Heyrick	6
printed for Thomas Watson	NA	NA	printed for Thomas Watson	6
by the heir of Andrew Anderson	NA	NA	by the heir of Andrew Anderson	6
printed by Richard Chiswell, printer to the Royal Society	NA	NA	printed by Richard Chiswell, printed to the Royal Society	6
printed for T.P.	NA	NA	printed for T.P	6
printed for Andrew Coe	NA	NA	printed for Andrew Coe	6
printed by the heir of Andrew Anderson, printer to Their most Excellent Majesties	NA	NA	printed by the heir of Andrew Anderson, printed to Their most excllent Majesties	6
printed by R. Wood	NA	NA	printed by R. Wood	6
printed for William Ley	NA	NA	printed for William Ley	6
printed by Tho. Newcomb	NA	NA	printed by Tho. Newcomb	6
printed for Thomas Bates	NA	NA	printed for Thomas Bates	6
Printed for Edward Husband	NA	NA	Printed for Edward Husband	6
printed, and are to be sold by Rich. Janeway in Queen's-head Court in Pater-Noster Row	NA	NA	printed, and are to be sold by Rich. Janeway in Queen's-head Court in Pater-Noster Row	6
Printed by Samuel Roycroft, printer to the Honourable City of London	NA	NA	Printed by Samuel Roycroft, printed to the Honourable City of London	6
printed for Iohn Franke	NA	NA	printed for Iohn Franke	6
printed by Iohn Field for Edward Husband, printer to the Parliament of England	NA	NA	printed by Iohn Field for Edward Husband, printed to the Parliament of England	6
printed for Richard Janeway	NA	NA	printed for Richard Janeway	6
printed by J. Leake, for Henry Rhodes, near Bride-lane, in Fleet-street	NA	NA	printed by J. Leake, for Henry Rhodes, near Bride-lane, in Fleet-street	6
printed by J.C. for L. Chapman	NA	NA	printed by J.C. for L. Chapman	6
printed for W. Fielding	NA	NA	printed for W. Fielding	6
printed for John Wright, at the Kings Head in the Old-Bayley	NA	NA	printed for John Wright, at the Kings Head in the Old-Bayley	6
Printed for Hugh Perry	NA	NA	Printed for Hugh Perry	6
printed by Robert Ibbitson, in Smithfield, neer the Queenes-head Tavern	NA	NA	printed by Robert Ibbitson, in Smithfield, neer the Queenes-head Tavern	6
printed by Charles Bill and the executrix of Thomas Newcomb deceas'd, printers to the King and Queens most Excellent Majesties	NA	NA	printed by Charles Bill and the executrix of Thomas Newcomb deceas'd, printed to the King and Queens most excllent Majesties	6
printed, and are to be sold by Edward Thomas at the Adam and Eve in Little Britain	NA	NA	printed, and are to be sold by Edward Thomas at the Adam and Eve in Little Britain	6
printed for I. Horton	NA	NA	printed for I. Horton	6
In the Savoy: printed by Tho. Newcomb	NA	Tho Newcomb	NA	6
Printed for B.A.	NA	NA	Printed for B.A	6
printed for Edward Blackmore	NA	NA	printed for Edward Blackmore	6
printed for Iohn Hammond	NA	NA	printed for Iohn Hammond	6
for G. Wharton	NA	NA	for G. Wharton	6
printed for Robert Ibbitson dwelling in Smithfield neere Hosier Lane end	NA	NA	printed for Robert Ibbitson dwelling in Smithfield neere Hosier Lane end	6
for R.VV.	NA	NA	for R.VV	6
printed for Edward Husbands, and are to be sold at his shop in the Middle Temple	NA	NA	printed for Edward Husbands, and are to be sold at his shop in the Middle Temple	6
Printed for R. Smithurst, neer Pye-corner	NA	NA	Printed for R. Smithurst, neer Pye-corner	6
printed for the generall satisfaction of moderate men	NA	NA	printed for the generall satisfaction of moderate men	6
By Robert Ibbitson	NA	NA	By Robert Ibbitson	6
Printed by Jane Coe	NA	NA	Printed by Jane Coe	6
Printed by T.W. for Ed. Husband	NA	NA	Printed by T.W. for Ed. Husband	6
printed by H. Hall	NA	NA	printed by H. Hall	6
printed for I. Wright in the Old-baily	NA	NA	printed for I. Wright in the Old-baily	6
printed for J. Smith	NA	NA	printed for J. Smith	5
printed by Charles Bill and the executrix of Thomas Newcomb, deceas'd; printers to the Kings most Excellent Majesty	NA	NA	printed by Charles Bill and the executrix of Thomas Newcomb, deceas'd; printed to the Kings most excllent Majesty	5
printed by Mark Baskett, printer to the King's most Excellent Majesty; and by the assigns of Robert Baskett	NA	NA	printed by Mark Baskett, printed to the King's most excllent Majesty; and by the assigns of Robert Baskett	5
printed by Christopher Higgins, in Harts Close, over against the Trone Church	NA	NA	printed by Christopher Higgins, in Harts Close, over against the Trone Church	5
printed by George Mosman, printer to this Church and its assemblies	NA	NA	printed by George Mosman, printed to this Church and its assemblies	5
printed for J.C. near Fleet-Bridge	NA	NA	printed for J.C. near Fleet-Bridge	5
printed for Henry Overton, and are to be sold at his shop in Popes-head-Alley	NA	NA	printed for Henry Overton, and are to be sold at his shop in Popes-head-Alley	5
printed by James Watson	NA	NA	printed by James Watson	5
printed by Tho. Newcomb living over against Baynard's Castle in Thames-street	NA	NA	printed by Tho. Newcomb living over against Baynard's Castle in Thames-street	5
printed for George Whittington at the Blew Anchor in Cornehill neere the Royall Exchange	NA	NA	printed for George Whittington at the Blew Anchor in Cornehill neere the Royall excange	5
printed for Francis Coles	NA	NA	printed for Francis Coles	5
printed for T. Osborne, in Gray's Inn	NA	NA	printed for T. Osborne, in Gray's Inn	5
printed by William Chase, by order of the goaler	NA	NA	printed by William Chase, by order of the goaler	5
re-printed by Christopher Higgins, in Harts-Close, over against the Trone-Church	NA	NA	reprinted by Christopher Higgins, in Harts-Close, over against the Trone-Church	5
Printed by Bartholomew Green	NA	NA	Printed by Bartholomew Green	5
Printed [by James Rivington?]	NA	NA	Printed by James Rivington?	5
Printed and sold by S. Kneeland in Queen-Street	NA	S Kneeland	NA	5
Printed by John Mycall	NA	NA	Printed by John Mycall	5
Printed by Edes and Gill, in Queen-Street	NA	NA	Printed by Edes and Gill, in Queen-Street	5
Printed by Ebenezer Watson	NA	NA	Printed by Ebenezer Watson	5
Published by William Cobbett, opposite Christ Church	NA	NA	printed by William Cobbett, opposite Christ Church	5
Printed by Robert Bell, in Third-Street	NA	NA	Printed by Robert Bell, in Third-Street	5
Printed by Timothy Green, printer to the governor and Company	NA	NA	Printed by Timothy Green, printed to the governor and Company	5
Printed by B. Franklin, and D. Hall	NA	NA	Printed by B. Franklin, and D. Hall	5
Printed by Bartholomew Green?	NA	NA	Printed by Bartholomew Green?	5
Printed by James Franklin	NA	NA	Printed by James Franklin	5
Printed by D. Hall, and W. Sellers	NA	NA	Printed by D. Hall, and W. Sellers	5
Printed by John Draper, printer to his excellency the governor and the honorable his majesty's Council	NA	NA	Printed by John Draper, printed to his printedllency the governor and the honorable his majesty's Council	5
Printed by Daniel Fowle	NA	NA	Printed by Daniel Fowle	5
Gedruckt und zu haben bey B. Franklin	NA	NA	gedrucht und zu haben bey B. Franklin	5
London: printed. Norwich: re-printed and sold by Judah P. Spooner	NA	NA	London: printed. Norwich: reprinted by Judah P. Spooner	5
Printed by T. Green, printer to the governor and Company	NA	NA	Printed by T. Green, printed to the governor and Company	5
Printed by James Humphreys, Junr. in Market-Street, between Front and Second-Streets	NA	NA	Printed by James Humphreys, Junr. in Market-Street, between Front and Second-Streets	5
Printed by S. Kneeland, by order of His Honour the lieut. governour, Council and House of Representatives	NA	NA	Printed by S. Kneeland, by order of His Honour the lieut. governour, Council and House of Representatives	5
printed for J. Tonson in the Strand	NA	NA	printed for J. Tonson in the Strand	5
Printed for J. Debrett, opposite Burlington-House, Piccadilly	NA	NA	Printed for J. Debrett, opposite Burlington-House, Piccadilly	5
printed for T. Warner	NA	NA	printed for T. Warner	5
printed by Charles Bill, and the executrix of Thomas Newcomb, deceas'd; Printers to the Kings most Excellent Majesty	NA	NA	printed by Charles Bill, and the executrix of Thomas Newcomb, deceas'd; printed to the Kings most excllent Majesty	5
printed for J. Baker, at the Black-Boy in Pater-Noster-Row	NA	NA	printed for J. Baker, at the Black-Boy in Pater-Noster-Row	5
printed for R. and J. Dodsley in Pall-Mall	NA	NA	printed for R. and J. Dodsley in Pall-Mall	5
printed for G. Kearsly	NA	NA	printed for G. Kearsly	5
printed for A. Baldwin in Warwick-Lane	NA	NA	printed for A. Baldwin in Warwick-Lane	5
printed for J. and R. Tonson and S. Draper in the Strand	NA	NA	printed for J. and R. Tonson and S. Draper in the Strand	5
printed for W. Meadows, at the Angel in Cornhill	NA	NA	printed for W. Meadows, at the Angel in Cornhill	5
printed for J. S. Jordan, No. 166, Fleet-Street	NA	NA	printed for J. S. Jordan, No. 166, Fleet-Street	5
Printed for G. Wright	NA	NA	Printed for G. Wright	5
Luke White	NA	NA	Luke White	5
printed for J. Roberts, near the Oxford-Arms, in Warwick-Lane	NA	NA	printed for J. Roberts, near the Oxford-Arms, in Warwick-Lane	5
printed for G. G. J. and J. Robinson	NA	NA	printed for G. G. J. and J. Robinson	5
printed for J. Dodsley	NA	NA	printed for J. Dodsley	5
printed for J. and R. Tonson in the Strand	NA	NA	printed for J. and R. Tonson in the Strand	5
printed for T. Warner, at the Black Boy in Pater-Noster-Row	NA	NA	printed for T. Warner, at the Black Boy in Pater-Noster-Row	5
printed by Andrew Crooke	NA	NA	printed by Andrew Crooke	5
printed by Robert Urie	NA	NA	printed by Robert Urie	5
printed for J. Moore, 45, College-Green	NA	NA	printed for J. Moore, 45, College-Green	5
printed for Peter Wilson, in Dame-Street	NA	NA	printed for Peter Wilson, in Dame-Street	5
printed for A	NA	NA	printed for A	5
printed for J. Nutt near Stationers-Hall	NA	NA	printed for J. Nutt near Stationers-Hall	5
printed for T. Becket and P. A. de Hondt, in the Strand	NA	NA	printed for T. Becket and P. A. de Hondt, in the Strand	5
printed for C. Dilly	NA	NA	printed for C. Dilly	5
printed for J. Hodges, at the Looking-Glass on London-Bridge	NA	NA	printed for J. Hodges, at the Looking-Glass on London-Bridge	5
printed for S[arah]. Popping at the Black Raven in Paternoster-Row. 1719. (Price 6d.) Where letters are taken in, directed for The Plebeian	NA	NA	printed for Sarah. Popping at the Black Raven in Paternoster-Row. 1719. (Price 6d.) Where letters are taken in, printedd for The Plebeian	5
printed for J. Millan, near Whitehall	NA	NA	printed for J. Millan, near Whitehall	5
printed for W. Webb	NA	NA	printed for W. Webb	5
printed for W. Nicoll, at the Paper-Mill, in St. Paul's Church-Yard	NA	NA	printed for W. Nicoll, at the Paper-Mill, in St. Paul's Church-Yard	5
printed by H. Fitzpatrick, No. 2, Upper Ormond-Quay	NA	NA	printed by H. Fitzpatrick, No. 2, Upper Ormond-Quay	5
printed for Charles Dilly, in the Poultry	NA	NA	printed for Charles Dilly, in the Poultry	5
printed for J. Stockdale, opposite Burlington House, Piccadilly	NA	NA	printed for J. Stockdale, opposite Burlington House, Piccadilly	5
printed and sold by James Phillips, George-Yard, Lombard-Street	NA	NA	printed by James Phillips, George-Yard, Lombard-Street	5
printed for J. Newbery, at the Bible and Sun in St. Paul's Church-Yard	NA	NA	printed for J. Newbery, at the Bible and Sun in St. Paul's Church-Yard	5
printed for J. Peele, at Locke's Head in Pater-Noster-Row	NA	NA	printed for J. Peele, at Locke's Head in Pater-Noster-Row	5
printed for M. Cooper, at the Globe, in Pater-Noster Row	NA	NA	printed for M. Cooper, at the Globe, in Pater-Noster Row	5
printed for Edward and Charles Dilly, in the Poultry	NA	NA	printed for Edward and Charles Dilly, in the Poultry	5
printed for J. Stockdale, Opposite Burlington-House, Piccadilly	NA	NA	printed for J. Stockdale, Opposite Burlington-House, Piccadilly	5
printed by James Moore	NA	NA	printed by James Moore	5
printed for T. Cadell: and sold by T. Longman	NA	T Longman	NA	5
printed for S. Bladon, in Pater-Noster-Row	NA	NA	printed for S. Bladon, in Pater-Noster-Row	5
printed by Thomas Baskett, Printer to the King's most Excellent Majesty; and by the assigns of Robert Baskett	NA	NA	printed by Thomas Baskett, printed to the King's most excllent Majesty; and by the assigns of Robert Baskett	5
printed by Charles Eyre and Andrew Strahan, Printers to the King's most Excellent Majesty	NA	NA	printed by Charles Eyre and Andrew Strahan, printed to the King's most excllent Majesty	5
printed for Nath. Crouch	NA	NA	printed for Nath. Crouch	5
printed for Nath. Crouch, at the Bell in the Poultrey, near Cheapside	NA	NA	printed for Nath. Crouch, at the Bell in the Poultrey, near Cheapside	5
printed by Charles Bill, and the executrix of Thomas Newcomb, deceas'd ; Printers to the Queens most Excellent Majesty	NA	NA	printed by Charles Bill, and the executrix of Thomas Newcomb, deceas'd ; printed to the Queens most excllent Majesty	5
Printed and sold in London	NA	NA	Printed and sold in London	5
printed for J. Tonson, and the rest of the proprietors; and sold by the booksellers of London and Westminster	NA	the booksellers of London and Westminster	NA	5
printed by P. Byrne	NA	NA	printed by P. Byrne	5
Printed by the executor of George Abraham Grierson, printer to the King's Most Excellent Majesty, at the King's-Arms and Two Bibles in Essex-Street	NA	NA	Printed by the executor of George Abraham Grierson, printed to the King's Most excllent Majesty, at the King's-Arms and Two Bibles in Essex-Street	5
Printed for T. Cadell, in the Strand	NA	NA	Printed for T. Cadell, in the Strand	5
printed and sold by R. Nutt in the Old Baily, near Ludgate, where compleat Sets and single Parts may be had, at 1 s. each Register. Sold also by E. Nutt at the Royal Exchange, R. Gosling in Fleet-Street, D. Browne without Temple-Bar, C. King in Westminster-Hall, and at the Sun Fire-Office behind the Royal Exchange	NA	NA	printed by R. Nutt in the Old Baily, near Ludgate, where compleat Sets and single Parts may be had, at 1 s. each Register. Sold also by E. Nutt at the Royal excange, R. Gosling in Fleet-Street, D. Browne without Temple-Bar, C. King in Westminster-Hall, and at the Sun Fire-Office behind the Royal excange	5
printed and sold by R. Baldwin, G. Robinson, and S. Crowder; T. Carnan; and B. C. Collins, in Salisbury	NA	NA	printed by R. Baldwin, G. Robinson, and S. Crowder; T. Carnan; and B. C. Collins, in Salisbury	5
printed for J. Stockdale	NA	NA	printed for J. Stockdale	5
printed by Thomas Baskett and Robert Baskett, printers to the King's most excellent Majesty	NA	NA	printed by Thomas Baskett and Robert Baskett, printed to the King's most printedllent Majesty	5
Printed by Charles Bill, and the Executrix of Thomas Newcomb, deceas'd, printers to the Queens Most Excellent Majesty	NA	NA	Printed by Charles Bill, and the Executrix of Thomas Newcomb, deceas'd, printed to the Queens Most excllent Majesty	5
printed for J. Almon, opposite Burlington House, in Piccadilly	NA	NA	printed for J. Almon, opposite Burlington House, in Piccadilly	5
printed by S. Buckley	NA	NA	printed by S. Buckley	5
